"level0","Total household income(1)","count"
"Te Tai Tonga","$35,001– $40,000",3924
"Waiariki","$35,001– $40,000",3234
"Area Outside Māori Electorate","$35,001– $40,000",NA
"Hauraki-Waikato","$40,001– $50,000",5691
"Ikaroa-Rāwhiti","$40,001– $50,000",6036
"Tāmaki Makaurau","$40,001– $50,000",4323
"Te Tai Hauāuru","$40,001– $50,000",6618
"Te Tai Tokerau","$40,001– $50,000",5979
"Te Tai Tonga","$40,001– $50,000",7536
"Waiariki","$40,001– $50,000",6099
"Area Outside Māori Electorate","$40,001– $50,000",NA
"Hauraki-Waikato","$50,001– $60,000",6048
"Ikaroa-Rāwhiti","$50,001– $60,000",6453
"Tāmaki Makaurau","$50,001– $60,000",4314
"Te Tai Hauāuru","$50,001– $60,000",7092
"Te Tai Tokerau","$50,001– $60,000",5901
"Te Tai Tonga","$50,001– $60,000",8484
"Waiariki","$50,001– $60,000",6210
"Area Outside Māori Electorate","$50,001– $60,000",NA
"Hauraki-Waikato","$60,001– $70,000",5880
"Ikaroa-Rāwhiti","$60,001– $70,000",5778
"Tāmaki Makaurau","$60,001– $70,000",4098
"Te Tai Hauāuru","$60,001– $70,000",6471
"Te Tai Tokerau","$60,001– $70,000",5745
"Te Tai Tonga","$60,001– $70,000",8526
"Waiariki","$60,001– $70,000",5469
"Area Outside Māori Electorate","$60,001– $70,000",NA
"Hauraki-Waikato","$70,001– $100,000",15060
"Ikaroa-Rāwhiti","$70,001– $100,000",13620
"Tāmaki Makaurau","$70,001– $100,000",12438
"Te Tai Hauāuru","$70,001– $100,000",15714
"Te Tai Tokerau","$70,001– $100,000",14397
"Te Tai Tonga","$70,001– $100,000",22047
"Waiariki","$70,001– $100,000",12840
"Area Outside Māori Electorate","$70,001– $100,000",NA
"Hauraki-Waikato","$100,001– $150,000",12966
"Ikaroa-Rāwhiti","$100,001– $150,000",9210
"Tāmaki Makaurau","$100,001– $150,000",13647
"Te Tai Hauāuru","$100,001– $150,000",11028
"Te Tai Tokerau","$100,001– $150,000",13125
"Te Tai Tonga","$100,001– $150,000",18675
"Waiariki","$100,001– $150,000",9591
"Area Outside Māori Electorate","$100,001– $150,000",NA
"Hauraki-Waikato","$150,001 or More",8208
"Ikaroa-Rāwhiti","$150,001 or More",4200
"Tāmaki Makaurau","$150,001 or More",13782
"Te Tai Hauāuru","$150,001 or More",5973
"Te Tai Tokerau","$150,001 or More",9486
"Te Tai Tonga","$150,001 or More",12471
"Waiariki","$150,001 or More",4329
"Area Outside Māori Electorate","$150,001 or More",NA
"Hauraki-Waikato","Not stated(4)",16485
"Ikaroa-Rāwhiti","Not stated(4)",15165
"Tāmaki Makaurau","Not stated(4)",16644
"Te Tai Hauāuru","Not stated(4)",16242
"Te Tai Tokerau","Not stated(4)",16440
"Te Tai Tonga","Not stated(4)",15243
"Waiariki","Not stated(4)",15234
"Area Outside Māori Electorate","Not stated(4)",NA
