"level0","level1","level2","level3","Ethnic group (grouped total responses)(1)","count"
"Male","65–69 Years","Bay of Plenty","North Island general electorates","European",1572
"Female","65–69 Years","Bay of Plenty","North Island general electorates","European",1755
"Male","70–74 Years","Bay of Plenty","North Island general electorates","European",1350
"Female","70–74 Years","Bay of Plenty","North Island general electorates","European",1479
"Male","75–79 Years","Bay of Plenty","North Island general electorates","European",912
"Female","75–79 Years","Bay of Plenty","North Island general electorates","European",1011
"Male","80–84 Years","Bay of Plenty","North Island general electorates","European",684
"Female","80–84 Years","Bay of Plenty","North Island general electorates","European",774
"Male","85 Years And Over","Bay of Plenty","North Island general electorates","European",477
"Female","85 Years And Over","Bay of Plenty","North Island general electorates","European",720
"Male","18 Years And Over","Bay of Plenty","North Island general electorates","European",18207
"Female","18 Years And Over","Bay of Plenty","North Island general electorates","European",21060
"Male","0–4 Years","Botany","North Island general electorates","European",885
"Female","0–4 Years","Botany","North Island general electorates","European",792
"Male","5–9 Years","Botany","North Island general electorates","European",1053
"Female","5–9 Years","Botany","North Island general electorates","European",996
"Male","10–14 Years","Botany","North Island general electorates","European",1032
"Female","10–14 Years","Botany","North Island general electorates","European",1044
"Male","15–19 Years","Botany","North Island general electorates","European",1035
"Female","15–19 Years","Botany","North Island general electorates","European",966
"Male","20–24 Years","Botany","North Island general electorates","European",777
"Female","20–24 Years","Botany","North Island general electorates","European",768
"Male","25–29 Years","Botany","North Island general electorates","European",609
"Female","25–29 Years","Botany","North Island general electorates","European",666
"Male","30–34 Years","Botany","North Island general electorates","European",627
"Female","30–34 Years","Botany","North Island general electorates","European",720
"Male","35–39 Years","Botany","North Island general electorates","European",750
"Female","35–39 Years","Botany","North Island general electorates","European",879
"Male","40–44 Years","Botany","North Island general electorates","European",1029
"Female","40–44 Years","Botany","North Island general electorates","European",1203
"Male","45–49 Years","Botany","North Island general electorates","European",1155
"Female","45–49 Years","Botany","North Island general electorates","European",1167
"Male","50–54 Years","Botany","North Island general electorates","European",1026
"Female","50–54 Years","Botany","North Island general electorates","European",1038
"Male","55–59 Years","Botany","North Island general electorates","European",864
"Female","55–59 Years","Botany","North Island general electorates","European",858
"Male","60–64 Years","Botany","North Island general electorates","European",777
"Female","60–64 Years","Botany","North Island general electorates","European",819
"Male","65–69 Years","Botany","North Island general electorates","European",678
"Female","65–69 Years","Botany","North Island general electorates","European",756
"Male","70–74 Years","Botany","North Island general electorates","European",498
"Female","70–74 Years","Botany","North Island general electorates","European",582
"Male","75–79 Years","Botany","North Island general electorates","European",357
"Female","75–79 Years","Botany","North Island general electorates","European",414
"Male","80–84 Years","Botany","North Island general electorates","European",234
"Female","80–84 Years","Botany","North Island general electorates","European",306
"Male","85 Years And Over","Botany","North Island general electorates","European",180
"Female","85 Years And Over","Botany","North Island general electorates","European",285
"Male","18 Years And Over","Botany","North Island general electorates","European",9960
"Female","18 Years And Over","Botany","North Island general electorates","European",10839
"Male","0–4 Years","Coromandel","North Island general electorates","European",1491
"Female","0–4 Years","Coromandel","North Island general electorates","European",1476
"Male","5–9 Years","Coromandel","North Island general electorates","European",1590
"Female","5–9 Years","Coromandel","North Island general electorates","European",1563
"Male","10–14 Years","Coromandel","North Island general electorates","European",1746
"Female","10–14 Years","Coromandel","North Island general electorates","European",1674
"Male","15–19 Years","Coromandel","North Island general electorates","European",1488
"Female","15–19 Years","Coromandel","North Island general electorates","European",1350
"Male","20–24 Years","Coromandel","North Island general electorates","European",1005
"Female","20–24 Years","Coromandel","North Island general electorates","European",957
"Male","25–29 Years","Coromandel","North Island general electorates","European",876
"Female","25–29 Years","Coromandel","North Island general electorates","European",981
"Male","30–34 Years","Coromandel","North Island general electorates","European",876
"Female","30–34 Years","Coromandel","North Island general electorates","European",978
"Male","35–39 Years","Coromandel","North Island general electorates","European",1125
"Female","35–39 Years","Coromandel","North Island general electorates","European",1392
"Male","40–44 Years","Coromandel","North Island general electorates","European",1530
"Female","40–44 Years","Coromandel","North Island general electorates","European",1710
"Male","45–49 Years","Coromandel","North Island general electorates","European",1674
"Female","45–49 Years","Coromandel","North Island general electorates","European",1917
"Male","50–54 Years","Coromandel","North Island general electorates","European",1893
"Female","50–54 Years","Coromandel","North Island general electorates","European",2166
"Male","55–59 Years","Coromandel","North Island general electorates","European",2052
"Female","55–59 Years","Coromandel","North Island general electorates","European",2184
"Male","60–64 Years","Coromandel","North Island general electorates","European",2223
"Female","60–64 Years","Coromandel","North Island general electorates","European",2376
"Male","65–69 Years","Coromandel","North Island general electorates","European",2280
"Female","65–69 Years","Coromandel","North Island general electorates","European",2379
"Male","70–74 Years","Coromandel","North Island general electorates","European",1872
"Female","70–74 Years","Coromandel","North Island general electorates","European",1911
"Male","75–79 Years","Coromandel","North Island general electorates","European",1311
"Female","75–79 Years","Coromandel","North Island general electorates","European",1302
"Male","80–84 Years","Coromandel","North Island general electorates","European",927
"Female","80–84 Years","Coromandel","North Island general electorates","European",927
"Male","85 Years And Over","Coromandel","North Island general electorates","European",570
"Female","85 Years And Over","Coromandel","North Island general electorates","European",933
"Male","18 Years And Over","Coromandel","North Island general electorates","European",20664
"Female","18 Years And Over","Coromandel","North Island general electorates","European",22503
"Male","0–4 Years","East Coast","North Island general electorates","European",1851
"Female","0–4 Years","East Coast","North Island general electorates","European",1857
"Male","5–9 Years","East Coast","North Island general electorates","European",1977
"Female","5–9 Years","East Coast","North Island general electorates","European",1836
"Male","10–14 Years","East Coast","North Island general electorates","European",2013
"Female","10–14 Years","East Coast","North Island general electorates","European",1860
"Male","15–19 Years","East Coast","North Island general electorates","European",1698
"Female","15–19 Years","East Coast","North Island general electorates","European",1566
"Male","20–24 Years","East Coast","North Island general electorates","European",1203
"Female","20–24 Years","East Coast","North Island general electorates","European",1272
"Male","25–29 Years","East Coast","North Island general electorates","European",1023
"Female","25–29 Years","East Coast","North Island general electorates","European",1272
"Male","30–34 Years","East Coast","North Island general electorates","European",1059
"Female","30–34 Years","East Coast","North Island general electorates","European",1395
"Male","35–39 Years","East Coast","North Island general electorates","European",1317
"Female","35–39 Years","East Coast","North Island general electorates","European",1527
"Male","40–44 Years","East Coast","North Island general electorates","European",1590
"Female","40–44 Years","East Coast","North Island general electorates","European",1959
"Male","45–49 Years","East Coast","North Island general electorates","European",1629
"Female","45–49 Years","East Coast","North Island general electorates","European",1893
"Male","50–54 Years","East Coast","North Island general electorates","European",1881
"Female","50–54 Years","East Coast","North Island general electorates","European",2082
"Male","55–59 Years","East Coast","North Island general electorates","European",1869
"Female","55–59 Years","East Coast","North Island general electorates","European",2022
"Male","60–64 Years","East Coast","North Island general electorates","European",1920
"Female","60–64 Years","East Coast","North Island general electorates","European",1872
"Male","65–69 Years","East Coast","North Island general electorates","European",1602
"Female","65–69 Years","East Coast","North Island general electorates","European",1614
"Male","70–74 Years","East Coast","North Island general electorates","European",1254
"Female","70–74 Years","East Coast","North Island general electorates","European",1344
"Male","75–79 Years","East Coast","North Island general electorates","European",882
"Female","75–79 Years","East Coast","North Island general electorates","European",945
"Male","80–84 Years","East Coast","North Island general electorates","European",678
"Female","80–84 Years","East Coast","North Island general electorates","European",771
"Male","85 Years And Over","East Coast","North Island general electorates","European",441
"Female","85 Years And Over","East Coast","North Island general electorates","European",750
"Male","18 Years And Over","East Coast","North Island general electorates","European",18861
"Female","18 Years And Over","East Coast","North Island general electorates","European",21162
"Male","0–4 Years","East Coast Bays","North Island general electorates","European",1200
"Female","0–4 Years","East Coast Bays","North Island general electorates","European",1224
"Male","5–9 Years","East Coast Bays","North Island general electorates","European",1290
"Female","5–9 Years","East Coast Bays","North Island general electorates","European",1338
"Male","10–14 Years","East Coast Bays","North Island general electorates","European",1515
"Female","10–14 Years","East Coast Bays","North Island general electorates","European",1419
"Male","15–19 Years","East Coast Bays","North Island general electorates","European",1599
"Female","15–19 Years","East Coast Bays","North Island general electorates","European",1584
"Male","20–24 Years","East Coast Bays","North Island general electorates","European",1437
"Female","20–24 Years","East Coast Bays","North Island general electorates","European",1278
"Male","25–29 Years","East Coast Bays","North Island general electorates","European",915
"Female","25–29 Years","East Coast Bays","North Island general electorates","European",921
"Male","30–34 Years","East Coast Bays","North Island general electorates","European",939
"Female","30–34 Years","East Coast Bays","North Island general electorates","European",960
"Male","35–39 Years","East Coast Bays","North Island general electorates","European",1152
"Female","35–39 Years","East Coast Bays","North Island general electorates","European",1299
"Male","40–44 Years","East Coast Bays","North Island general electorates","European",1578
"Female","40–44 Years","East Coast Bays","North Island general electorates","European",1851
"Male","45–49 Years","East Coast Bays","North Island general electorates","European",1623
"Female","45–49 Years","East Coast Bays","North Island general electorates","European",1764
"Male","50–54 Years","East Coast Bays","North Island general electorates","European",1572
"Female","50–54 Years","East Coast Bays","North Island general electorates","European",1683
"Male","55–59 Years","East Coast Bays","North Island general electorates","European",1350
"Female","55–59 Years","East Coast Bays","North Island general electorates","European",1368
"Male","60–64 Years","East Coast Bays","North Island general electorates","European",1095
"Female","60–64 Years","East Coast Bays","North Island general electorates","European",1173
"Male","65–69 Years","East Coast Bays","North Island general electorates","European",930
"Female","65–69 Years","East Coast Bays","North Island general electorates","European",981
"Male","70–74 Years","East Coast Bays","North Island general electorates","European",660
"Female","70–74 Years","East Coast Bays","North Island general electorates","European",783
"Male","75–79 Years","East Coast Bays","North Island general electorates","European",501
"Female","75–79 Years","East Coast Bays","North Island general electorates","European",612
"Male","80–84 Years","East Coast Bays","North Island general electorates","European",375
"Female","80–84 Years","East Coast Bays","North Island general electorates","European",489
"Male","85 Years And Over","East Coast Bays","North Island general electorates","European",300
"Female","85 Years And Over","East Coast Bays","North Island general electorates","European",666
"Male","18 Years And Over","East Coast Bays","North Island general electorates","European",15018
"Female","18 Years And Over","East Coast Bays","North Island general electorates","European",16485
"Male","0–4 Years","Epsom","North Island general electorates","European",738
"Female","0–4 Years","Epsom","North Island general electorates","European",708
"Male","5–9 Years","Epsom","North Island general electorates","European",1149
"Female","5–9 Years","Epsom","North Island general electorates","European",1113
"Male","10–14 Years","Epsom","North Island general electorates","European",1596
"Female","10–14 Years","Epsom","North Island general electorates","European",1485
"Male","15–19 Years","Epsom","North Island general electorates","European",1536
"Female","15–19 Years","Epsom","North Island general electorates","European",1392
"Male","20–24 Years","Epsom","North Island general electorates","European",1413
"Female","20–24 Years","Epsom","North Island general electorates","European",1635
"Male","25–29 Years","Epsom","North Island general electorates","European",1290
"Female","25–29 Years","Epsom","North Island general electorates","European",1326
"Male","30–34 Years","Epsom","North Island general electorates","European",930
"Female","30–34 Years","Epsom","North Island general electorates","European",1038
"Male","35–39 Years","Epsom","North Island general electorates","European",903
"Female","35–39 Years","Epsom","North Island general electorates","European",1002
"Male","40–44 Years","Epsom","North Island general electorates","European",1242
"Female","40–44 Years","Epsom","North Island general electorates","European",1410
"Male","45–49 Years","Epsom","North Island general electorates","European",1509
"Female","45–49 Years","Epsom","North Island general electorates","European",1650
"Male","50–54 Years","Epsom","North Island general electorates","European",1491
"Female","50–54 Years","Epsom","North Island general electorates","European",1596
"Male","55–59 Years","Epsom","North Island general electorates","European",1317
"Female","55–59 Years","Epsom","North Island general electorates","European",1323
"Male","60–64 Years","Epsom","North Island general electorates","European",1173
"Female","60–64 Years","Epsom","North Island general electorates","European",1221
"Male","65–69 Years","Epsom","North Island general electorates","European",930
"Female","65–69 Years","Epsom","North Island general electorates","European",945
"Male","70–74 Years","Epsom","North Island general electorates","European",612
"Female","70–74 Years","Epsom","North Island general electorates","European",705
"Male","75–79 Years","Epsom","North Island general electorates","European",375
"Female","75–79 Years","Epsom","North Island general electorates","European",447
"Male","80–84 Years","Epsom","North Island general electorates","European",318
"Female","80–84 Years","Epsom","North Island general electorates","European",414
"Male","85 Years And Over","Epsom","North Island general electorates","European",273
"Female","85 Years And Over","Epsom","North Island general electorates","European",660
"Male","18 Years And Over","Epsom","North Island general electorates","European",14244
"Female","18 Years And Over","Epsom","North Island general electorates","European",15858
"Male","0–4 Years","Hamilton East","North Island general electorates","European",1635
"Female","0–4 Years","Hamilton East","North Island general electorates","European",1533
"Male","5–9 Years","Hamilton East","North Island general electorates","European",1473
"Female","5–9 Years","Hamilton East","North Island general electorates","European",1437
"Male","10–14 Years","Hamilton East","North Island general electorates","European",1533
"Female","10–14 Years","Hamilton East","North Island general electorates","European",1452
"Male","15–19 Years","Hamilton East","North Island general electorates","European",2118
"Female","15–19 Years","Hamilton East","North Island general electorates","European",2214
"Male","20–24 Years","Hamilton East","North Island general electorates","European",2208
"Female","20–24 Years","Hamilton East","North Island general electorates","European",2406
"Male","25–29 Years","Hamilton East","North Island general electorates","European",1314
"Female","25–29 Years","Hamilton East","North Island general electorates","European",1350
"Male","30–34 Years","Hamilton East","North Island general electorates","European",1149
"Female","30–34 Years","Hamilton East","North Island general electorates","European",1365
"Male","35–39 Years","Hamilton East","North Island general electorates","European",1338
"Female","35–39 Years","Hamilton East","North Island general electorates","European",1539
"Male","40–44 Years","Hamilton East","North Island general electorates","European",1461
"Female","40–44 Years","Hamilton East","North Island general electorates","European",1689
"Male","45–49 Years","Hamilton East","North Island general electorates","European",1302
"Female","45–49 Years","Hamilton East","North Island general electorates","European",1566
"Male","50–54 Years","Hamilton East","North Island general electorates","European",1386
"Female","50–54 Years","Hamilton East","North Island general electorates","European",1575
"Male","55–59 Years","Hamilton East","North Island general electorates","European",1149
"Female","55–59 Years","Hamilton East","North Island general electorates","European",1344
"Male","60–64 Years","Hamilton East","North Island general electorates","European",1056
"Female","60–64 Years","Hamilton East","North Island general electorates","European",1251
"Male","65–69 Years","Hamilton East","North Island general electorates","European",918
"Female","65–69 Years","Hamilton East","North Island general electorates","European",1071
"Male","70–74 Years","Hamilton East","North Island general electorates","European",720
"Female","70–74 Years","Hamilton East","North Island general electorates","European",894
"Male","75–79 Years","Hamilton East","North Island general electorates","European",474
"Female","75–79 Years","Hamilton East","North Island general electorates","European",714
"Male","80–84 Years","Hamilton East","North Island general electorates","European",450
"Female","80–84 Years","Hamilton East","North Island general electorates","European",669
"Male","85 Years And Over","Hamilton East","North Island general electorates","European",372
"Female","85 Years And Over","Hamilton East","North Island general electorates","European",726
"Male","18 Years And Over","Hamilton East","North Island general electorates","European",16389
"Female","18 Years And Over","Hamilton East","North Island general electorates","European",19350
"Male","0–4 Years","Hamilton West","North Island general electorates","European",2040
"Female","0–4 Years","Hamilton West","North Island general electorates","European",1839
"Male","5–9 Years","Hamilton West","North Island general electorates","European",1563
"Female","5–9 Years","Hamilton West","North Island general electorates","European",1635
"Male","10–14 Years","Hamilton West","North Island general electorates","European",1362
"Female","10–14 Years","Hamilton West","North Island general electorates","European",1416
"Male","15–19 Years","Hamilton West","North Island general electorates","European",1515
"Female","15–19 Years","Hamilton West","North Island general electorates","European",1542
"Male","20–24 Years","Hamilton West","North Island general electorates","European",1767
"Female","20–24 Years","Hamilton West","North Island general electorates","European",2037
"Male","25–29 Years","Hamilton West","North Island general electorates","European",1647
"Female","25–29 Years","Hamilton West","North Island general electorates","European",1989
"Male","30–34 Years","Hamilton West","North Island general electorates","European",1530
"Female","30–34 Years","Hamilton West","North Island general electorates","European",1662
"Male","35–39 Years","Hamilton West","North Island general electorates","European",1392
"Female","35–39 Years","Hamilton West","North Island general electorates","European",1536
"Male","40–44 Years","Hamilton West","North Island general electorates","European",1389
"Female","40–44 Years","Hamilton West","North Island general electorates","European",1605
"Male","45–49 Years","Hamilton West","North Island general electorates","European",1350
"Female","45–49 Years","Hamilton West","North Island general electorates","European",1479
"Male","50–54 Years","Hamilton West","North Island general electorates","European",1326
"Female","50–54 Years","Hamilton West","North Island general electorates","European",1590
"Male","55–59 Years","Hamilton West","North Island general electorates","European",1293
"Female","55–59 Years","Hamilton West","North Island general electorates","European",1503
"Male","60–64 Years","Hamilton West","North Island general electorates","European",1158
"Female","60–64 Years","Hamilton West","North Island general electorates","European",1365
"Male","65–69 Years","Hamilton West","North Island general electorates","European",981
"Female","65–69 Years","Hamilton West","North Island general electorates","European",1104
"Male","70–74 Years","Hamilton West","North Island general electorates","European",675
"Female","70–74 Years","Hamilton West","North Island general electorates","European",819
"Male","75–79 Years","Hamilton West","North Island general electorates","European",507
"Female","75–79 Years","Hamilton West","North Island general electorates","European",624
"Male","80–84 Years","Hamilton West","North Island general electorates","European",372
"Female","80–84 Years","Hamilton West","North Island general electorates","European",561
"Male","85 Years And Over","Hamilton West","North Island general electorates","European",270
"Female","85 Years And Over","Hamilton West","North Island general electorates","European",501
"Male","18 Years And Over","Hamilton West","North Island general electorates","European",16278
"Female","18 Years And Over","Hamilton West","North Island general electorates","European",19023
"Male","0–4 Years","Helensville","North Island general electorates","European",1728
"Female","0–4 Years","Helensville","North Island general electorates","European",1587
"Male","5–9 Years","Helensville","North Island general electorates","European",1965
"Female","5–9 Years","Helensville","North Island general electorates","European",1878
"Male","10–14 Years","Helensville","North Island general electorates","European",1980
"Female","10–14 Years","Helensville","North Island general electorates","European",1890
"Male","15–19 Years","Helensville","North Island general electorates","European",1758
"Female","15–19 Years","Helensville","North Island general electorates","European",1755
"Male","20–24 Years","Helensville","North Island general electorates","European",1353
"Female","20–24 Years","Helensville","North Island general electorates","European",1353
"Male","25–29 Years","Helensville","North Island general electorates","European",981
"Female","25–29 Years","Helensville","North Island general electorates","European",1089
"Male","30–34 Years","Helensville","North Island general electorates","European",1050
"Female","30–34 Years","Helensville","North Island general electorates","European",1269
"Male","35–39 Years","Helensville","North Island general electorates","European",1473
"Female","35–39 Years","Helensville","North Island general electorates","European",1770
"Male","40–44 Years","Helensville","North Island general electorates","European",2118
"Female","40–44 Years","Helensville","North Island general electorates","European",2451
"Male","45–49 Years","Helensville","North Island general electorates","European",2283
"Female","45–49 Years","Helensville","North Island general electorates","European",2406
"Male","50–54 Years","Helensville","North Island general electorates","European",2139
"Female","50–54 Years","Helensville","North Island general electorates","European",2196
"Male","55–59 Years","Helensville","North Island general electorates","European",1683
"Female","55–59 Years","Helensville","North Island general electorates","European",1719
"Male","60–64 Years","Helensville","North Island general electorates","European",1503
"Female","60–64 Years","Helensville","North Island general electorates","European",1452
"Male","65–69 Years","Helensville","North Island general electorates","European",1209
"Female","65–69 Years","Helensville","North Island general electorates","European",1113
"Male","70–74 Years","Helensville","North Island general electorates","European",768
"Female","70–74 Years","Helensville","North Island general electorates","European",699
"Male","75–79 Years","Helensville","North Island general electorates","European",429
"Female","75–79 Years","Helensville","North Island general electorates","European",411
"Male","80–84 Years","Helensville","North Island general electorates","European",252
"Female","80–84 Years","Helensville","North Island general electorates","European",240
"Male","85 Years And Over","Helensville","North Island general electorates","European",180
"Female","85 Years And Over","Helensville","North Island general electorates","European",237
"Male","18 Years And Over","Helensville","North Island general electorates","European",18084
"Female","18 Years And Over","Helensville","North Island general electorates","European",19044
"Male","0–4 Years","Hunua","North Island general electorates","European",1719
"Female","0–4 Years","Hunua","North Island general electorates","European",1653
"Male","5–9 Years","Hunua","North Island general electorates","European",1965
"Female","5–9 Years","Hunua","North Island general electorates","European",1755
"Male","10–14 Years","Hunua","North Island general electorates","European",1977
"Female","10–14 Years","Hunua","North Island general electorates","European",1845
"Male","15–19 Years","Hunua","North Island general electorates","European",1683
"Female","15–19 Years","Hunua","North Island general electorates","European",1560
"Male","20–24 Years","Hunua","North Island general electorates","European",1131
"Female","20–24 Years","Hunua","North Island general electorates","European",1152
"Male","25–29 Years","Hunua","North Island general electorates","European",897
"Female","25–29 Years","Hunua","North Island general electorates","European",972
"Male","30–34 Years","Hunua","North Island general electorates","European",990
"Female","30–34 Years","Hunua","North Island general electorates","European",1203
"Male","35–39 Years","Hunua","North Island general electorates","European",1443
"Female","35–39 Years","Hunua","North Island general electorates","European",1674
"Male","40–44 Years","Hunua","North Island general electorates","European",1902
"Female","40–44 Years","Hunua","North Island general electorates","European",2235
"Male","45–49 Years","Hunua","North Island general electorates","European",1965
"Female","45–49 Years","Hunua","North Island general electorates","European",2046
"Male","50–54 Years","Hunua","North Island general electorates","European",1875
"Female","50–54 Years","Hunua","North Island general electorates","European",1899
"Male","55–59 Years","Hunua","North Island general electorates","European",1506
"Female","55–59 Years","Hunua","North Island general electorates","European",1521
"Male","60–64 Years","Hunua","North Island general electorates","European",1395
"Female","60–64 Years","Hunua","North Island general electorates","European",1431
"Male","65–69 Years","Hunua","North Island general electorates","European",1149
"Female","65–69 Years","Hunua","North Island general electorates","European",1272
"Male","70–74 Years","Hunua","North Island general electorates","European",933
"Female","70–74 Years","Hunua","North Island general electorates","European",963
"Male","75–79 Years","Hunua","North Island general electorates","European",603
"Female","75–79 Years","Hunua","North Island general electorates","European",609
"Male","80–84 Years","Hunua","North Island general electorates","European",399
"Female","80–84 Years","Hunua","North Island general electorates","European",459
"Male","85 Years And Over","Hunua","North Island general electorates","European",270
"Female","85 Years And Over","Hunua","North Island general electorates","European",522
"Male","18 Years And Over","Hunua","North Island general electorates","European",17031
"Female","18 Years And Over","Hunua","North Island general electorates","European",18498
"Male","0–4 Years","Hutt South","North Island general electorates","European",1752
"Female","0–4 Years","Hutt South","North Island general electorates","European",1740
"Male","5–9 Years","Hutt South","North Island general electorates","European",1725
"Female","5–9 Years","Hutt South","North Island general electorates","European",1686
"Male","10–14 Years","Hutt South","North Island general electorates","European",1611
"Female","10–14 Years","Hutt South","North Island general electorates","European",1611
"Male","15–19 Years","Hutt South","North Island general electorates","European",1572
"Female","15–19 Years","Hutt South","North Island general electorates","European",1536
"Male","20–24 Years","Hutt South","North Island general electorates","European",1401
"Female","20–24 Years","Hutt South","North Island general electorates","European",1497
"Male","25–29 Years","Hutt South","North Island general electorates","European",1212
"Female","25–29 Years","Hutt South","North Island general electorates","European",1320
"Male","30–34 Years","Hutt South","North Island general electorates","European",1329
"Female","30–34 Years","Hutt South","North Island general electorates","European",1512
"Male","35–39 Years","Hutt South","North Island general electorates","European",1524
"Female","35–39 Years","Hutt South","North Island general electorates","European",1692
"Male","40–44 Years","Hutt South","North Island general electorates","European",1755
"Female","40–44 Years","Hutt South","North Island general electorates","European",2025
"Male","45–49 Years","Hutt South","North Island general electorates","European",1758
"Female","45–49 Years","Hutt South","North Island general electorates","European",1935
"Male","50–54 Years","Hutt South","North Island general electorates","European",1860
"Female","50–54 Years","Hutt South","North Island general electorates","European",1941
"Male","55–59 Years","Hutt South","North Island general electorates","European",1590
"Female","55–59 Years","Hutt South","North Island general electorates","European",1662
"Male","60–64 Years","Hutt South","North Island general electorates","European",1383
"Female","60–64 Years","Hutt South","North Island general electorates","European",1413
"Male","65–69 Years","Hutt South","North Island general electorates","European",1149
"Female","65–69 Years","Hutt South","North Island general electorates","European",1176
"Male","70–74 Years","Hutt South","North Island general electorates","European",828
"Female","70–74 Years","Hutt South","North Island general electorates","European",984
"Male","75–79 Years","Hutt South","North Island general electorates","European",573
"Female","75–79 Years","Hutt South","North Island general electorates","European",675
"Male","80–84 Years","Hutt South","North Island general electorates","European",405
"Female","80–84 Years","Hutt South","North Island general electorates","European",576
"Male","85 Years And Over","Hutt South","North Island general electorates","European",294
"Female","85 Years And Over","Hutt South","North Island general electorates","European",492
"Male","18 Years And Over","Hutt South","North Island general electorates","European",17652
"Female","18 Years And Over","Hutt South","North Island general electorates","European",19491
"Male","0–4 Years","Kelston","North Island general electorates","European",1458
"Female","0–4 Years","Kelston","North Island general electorates","European",1326
"Male","5–9 Years","Kelston","North Island general electorates","European",1122
"Female","5–9 Years","Kelston","North Island general electorates","European",1008
"Male","10–14 Years","Kelston","North Island general electorates","European",1002
"Female","10–14 Years","Kelston","North Island general electorates","European",936
"Male","15–19 Years","Kelston","North Island general electorates","European",960
"Female","15–19 Years","Kelston","North Island general electorates","European",951
"Male","20–24 Years","Kelston","North Island general electorates","European",1005
