"level0","level1","level2","level3","Cigarette smoking behaviour","count"
"Female","45–49 Years","Bay of Plenty","North Island general electorates","Regular Smoker",342
"Male","50–54 Years","Bay of Plenty","North Island general electorates","Regular Smoker",309
"Female","50–54 Years","Bay of Plenty","North Island general electorates","Regular Smoker",414
"Male","55–59 Years","Bay of Plenty","North Island general electorates","Regular Smoker",252
"Female","55–59 Years","Bay of Plenty","North Island general electorates","Regular Smoker",282
"Male","60–64 Years","Bay of Plenty","North Island general electorates","Regular Smoker",165
"Female","60–64 Years","Bay of Plenty","North Island general electorates","Regular Smoker",201
"Male","65–69 Years","Bay of Plenty","North Island general electorates","Regular Smoker",147
"Female","65–69 Years","Bay of Plenty","North Island general electorates","Regular Smoker",150
"Male","70–74 Years","Bay of Plenty","North Island general electorates","Regular Smoker",69
"Female","70–74 Years","Bay of Plenty","North Island general electorates","Regular Smoker",78
"Male","75–79 Years","Bay of Plenty","North Island general electorates","Regular Smoker",42
"Female","75–79 Years","Bay of Plenty","North Island general electorates","Regular Smoker",42
"Male","80–84 Years","Bay of Plenty","North Island general electorates","Regular Smoker",9
"Female","80–84 Years","Bay of Plenty","North Island general electorates","Regular Smoker",12
"Male","85 Years And Over","Bay of Plenty","North Island general electorates","Regular Smoker",9
"Female","85 Years And Over","Bay of Plenty","North Island general electorates","Regular Smoker",15
"Male","15–19 Years","Botany","North Island general electorates","Regular Smoker",147
"Female","15–19 Years","Botany","North Island general electorates","Regular Smoker",114
"Male","20–24 Years","Botany","North Island general electorates","Regular Smoker",351
"Female","20–24 Years","Botany","North Island general electorates","Regular Smoker",228
"Male","25–29 Years","Botany","North Island general electorates","Regular Smoker",363
"Female","25–29 Years","Botany","North Island general electorates","Regular Smoker",222
"Male","30–34 Years","Botany","North Island general electorates","Regular Smoker",372
"Female","30–34 Years","Botany","North Island general electorates","Regular Smoker",213
"Male","35–39 Years","Botany","North Island general electorates","Regular Smoker",273
"Female","35–39 Years","Botany","North Island general electorates","Regular Smoker",159
"Male","40–44 Years","Botany","North Island general electorates","Regular Smoker",291
"Female","40–44 Years","Botany","North Island general electorates","Regular Smoker",207
"Male","45–49 Years","Botany","North Island general electorates","Regular Smoker",294
"Female","45–49 Years","Botany","North Island general electorates","Regular Smoker",210
"Male","50–54 Years","Botany","North Island general electorates","Regular Smoker",240
"Female","50–54 Years","Botany","North Island general electorates","Regular Smoker",147
"Male","55–59 Years","Botany","North Island general electorates","Regular Smoker",186
"Female","55–59 Years","Botany","North Island general electorates","Regular Smoker",117
"Male","60–64 Years","Botany","North Island general electorates","Regular Smoker",135
"Female","60–64 Years","Botany","North Island general electorates","Regular Smoker",78
"Male","65–69 Years","Botany","North Island general electorates","Regular Smoker",84
"Female","65–69 Years","Botany","North Island general electorates","Regular Smoker",54
"Male","70–74 Years","Botany","North Island general electorates","Regular Smoker",39
"Female","70–74 Years","Botany","North Island general electorates","Regular Smoker",24
"Male","75–79 Years","Botany","North Island general electorates","Regular Smoker",24
"Female","75–79 Years","Botany","North Island general electorates","Regular Smoker",15
"Male","80–84 Years","Botany","North Island general electorates","Regular Smoker",12
"Female","80–84 Years","Botany","North Island general electorates","Regular Smoker",6
"Male","85 Years And Over","Botany","North Island general electorates","Regular Smoker",3
"Female","85 Years And Over","Botany","North Island general electorates","Regular Smoker",6
"Male","15–19 Years","Coromandel","North Island general electorates","Regular Smoker",243
"Female","15–19 Years","Coromandel","North Island general electorates","Regular Smoker",153
"Male","20–24 Years","Coromandel","North Island general electorates","Regular Smoker",399
"Female","20–24 Years","Coromandel","North Island general electorates","Regular Smoker",318
"Male","25–29 Years","Coromandel","North Island general electorates","Regular Smoker",378
"Female","25–29 Years","Coromandel","North Island general electorates","Regular Smoker",315
"Male","30–34 Years","Coromandel","North Island general electorates","Regular Smoker",336
"Female","30–34 Years","Coromandel","North Island general electorates","Regular Smoker",291
"Male","35–39 Years","Coromandel","North Island general electorates","Regular Smoker",330
"Female","35–39 Years","Coromandel","North Island general electorates","Regular Smoker",387
"Male","40–44 Years","Coromandel","North Island general electorates","Regular Smoker",465
"Female","40–44 Years","Coromandel","North Island general electorates","Regular Smoker",492
"Male","45–49 Years","Coromandel","North Island general electorates","Regular Smoker",432
"Female","45–49 Years","Coromandel","North Island general electorates","Regular Smoker",516
"Male","50–54 Years","Coromandel","North Island general electorates","Regular Smoker",507
"Female","50–54 Years","Coromandel","North Island general electorates","Regular Smoker",504
"Male","55–59 Years","Coromandel","North Island general electorates","Regular Smoker",417
"Female","55–59 Years","Coromandel","North Island general electorates","Regular Smoker",384
"Male","60–64 Years","Coromandel","North Island general electorates","Regular Smoker",324
"Female","60–64 Years","Coromandel","North Island general electorates","Regular Smoker",330
"Male","65–69 Years","Coromandel","North Island general electorates","Regular Smoker",231
"Female","65–69 Years","Coromandel","North Island general electorates","Regular Smoker",252
"Male","70–74 Years","Coromandel","North Island general electorates","Regular Smoker",147
"Female","70–74 Years","Coromandel","North Island general electorates","Regular Smoker",135
"Male","75–79 Years","Coromandel","North Island general electorates","Regular Smoker",66
"Female","75–79 Years","Coromandel","North Island general electorates","Regular Smoker",69
"Male","80–84 Years","Coromandel","North Island general electorates","Regular Smoker",30
"Female","80–84 Years","Coromandel","North Island general electorates","Regular Smoker",36
"Male","85 Years And Over","Coromandel","North Island general electorates","Regular Smoker",12
"Female","85 Years And Over","Coromandel","North Island general electorates","Regular Smoker",24
"Male","15–19 Years","East Coast","North Island general electorates","Regular Smoker",519
"Female","15–19 Years","East Coast","North Island general electorates","Regular Smoker",546
"Male","20–24 Years","East Coast","North Island general electorates","Regular Smoker",846
"Female","20–24 Years","East Coast","North Island general electorates","Regular Smoker",909
"Male","25–29 Years","East Coast","North Island general electorates","Regular Smoker",690
"Female","25–29 Years","East Coast","North Island general electorates","Regular Smoker",825
"Male","30–34 Years","East Coast","North Island general electorates","Regular Smoker",564
"Female","30–34 Years","East Coast","North Island general electorates","Regular Smoker",786
"Male","35–39 Years","East Coast","North Island general electorates","Regular Smoker",624
"Female","35–39 Years","East Coast","North Island general electorates","Regular Smoker",774
"Male","40–44 Years","East Coast","North Island general electorates","Regular Smoker",756
"Female","40–44 Years","East Coast","North Island general electorates","Regular Smoker",924
"Male","45–49 Years","East Coast","North Island general electorates","Regular Smoker",678
"Female","45–49 Years","East Coast","North Island general electorates","Regular Smoker",855
"Male","50–54 Years","East Coast","North Island general electorates","Regular Smoker",720
"Female","50–54 Years","East Coast","North Island general electorates","Regular Smoker",876
"Male","55–59 Years","East Coast","North Island general electorates","Regular Smoker",582
"Female","55–59 Years","East Coast","North Island general electorates","Regular Smoker",648
"Male","60–64 Years","East Coast","North Island general electorates","Regular Smoker",390
"Female","60–64 Years","East Coast","North Island general electorates","Regular Smoker",435
"Male","65–69 Years","East Coast","North Island general electorates","Regular Smoker",282
"Female","65–69 Years","East Coast","North Island general electorates","Regular Smoker",294
"Male","70–74 Years","East Coast","North Island general electorates","Regular Smoker",141
"Female","70–74 Years","East Coast","North Island general electorates","Regular Smoker",150
"Male","75–79 Years","East Coast","North Island general electorates","Regular Smoker",69
"Female","75–79 Years","East Coast","North Island general electorates","Regular Smoker",84
"Male","80–84 Years","East Coast","North Island general electorates","Regular Smoker",36
"Female","80–84 Years","East Coast","North Island general electorates","Regular Smoker",33
"Male","85 Years And Over","East Coast","North Island general electorates","Regular Smoker",18
"Female","85 Years And Over","East Coast","North Island general electorates","Regular Smoker",18
"Male","15–19 Years","East Coast Bays","North Island general electorates","Regular Smoker",123
"Female","15–19 Years","East Coast Bays","North Island general electorates","Regular Smoker",69
"Male","20–24 Years","East Coast Bays","North Island general electorates","Regular Smoker",330
"Female","20–24 Years","East Coast Bays","North Island general electorates","Regular Smoker",183
"Male","25–29 Years","East Coast Bays","North Island general electorates","Regular Smoker",327
"Female","25–29 Years","East Coast Bays","North Island general electorates","Regular Smoker",156
"Male","30–34 Years","East Coast Bays","North Island general electorates","Regular Smoker",279
"Female","30–34 Years","East Coast Bays","North Island general electorates","Regular Smoker",117
"Male","35–39 Years","East Coast Bays","North Island general electorates","Regular Smoker",192
"Female","35–39 Years","East Coast Bays","North Island general electorates","Regular Smoker",93
"Male","40–44 Years","East Coast Bays","North Island general electorates","Regular Smoker",240
"Female","40–44 Years","East Coast Bays","North Island general electorates","Regular Smoker",201
"Male","45–49 Years","East Coast Bays","North Island general electorates","Regular Smoker",267
"Female","45–49 Years","East Coast Bays","North Island general electorates","Regular Smoker",171
"Male","50–54 Years","East Coast Bays","North Island general electorates","Regular Smoker",201
"Female","50–54 Years","East Coast Bays","North Island general electorates","Regular Smoker",147
"Male","55–59 Years","East Coast Bays","North Island general electorates","Regular Smoker",153
"Female","55–59 Years","East Coast Bays","North Island general electorates","Regular Smoker",135
"Male","60–64 Years","East Coast Bays","North Island general electorates","Regular Smoker",84
"Female","60–64 Years","East Coast Bays","North Island general electorates","Regular Smoker",87
"Male","65–69 Years","East Coast Bays","North Island general electorates","Regular Smoker",75
"Female","65–69 Years","East Coast Bays","North Island general electorates","Regular Smoker",93
"Male","70–74 Years","East Coast Bays","North Island general electorates","Regular Smoker",33
"Female","70–74 Years","East Coast Bays","North Island general electorates","Regular Smoker",48
"Male","75–79 Years","East Coast Bays","North Island general electorates","Regular Smoker",15
"Female","75–79 Years","East Coast Bays","North Island general electorates","Regular Smoker",27
"Male","80–84 Years","East Coast Bays","North Island general electorates","Regular Smoker",6
"Female","80–84 Years","East Coast Bays","North Island general electorates","Regular Smoker",15
"Male","85 Years And Over","East Coast Bays","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","East Coast Bays","North Island general electorates","Regular Smoker",6
"Male","15–19 Years","Epsom","North Island general electorates","Regular Smoker",84
"Female","15–19 Years","Epsom","North Island general electorates","Regular Smoker",48
"Male","20–24 Years","Epsom","North Island general electorates","Regular Smoker",279
"Female","20–24 Years","Epsom","North Island general electorates","Regular Smoker",141
"Male","25–29 Years","Epsom","North Island general electorates","Regular Smoker",267
"Female","25–29 Years","Epsom","North Island general electorates","Regular Smoker",144
"Male","30–34 Years","Epsom","North Island general electorates","Regular Smoker",225
"Female","30–34 Years","Epsom","North Island general electorates","Regular Smoker",117
"Male","35–39 Years","Epsom","North Island general electorates","Regular Smoker",150
"Female","35–39 Years","Epsom","North Island general electorates","Regular Smoker",99
"Male","40–44 Years","Epsom","North Island general electorates","Regular Smoker",192
"Female","40–44 Years","Epsom","North Island general electorates","Regular Smoker",108
"Male","45–49 Years","Epsom","North Island general electorates","Regular Smoker",213
"Female","45–49 Years","Epsom","North Island general electorates","Regular Smoker",123
"Male","50–54 Years","Epsom","North Island general electorates","Regular Smoker",174
"Female","50–54 Years","Epsom","North Island general electorates","Regular Smoker",102
"Male","55–59 Years","Epsom","North Island general electorates","Regular Smoker",141
"Female","55–59 Years","Epsom","North Island general electorates","Regular Smoker",99
"Male","60–64 Years","Epsom","North Island general electorates","Regular Smoker",102
"Female","60–64 Years","Epsom","North Island general electorates","Regular Smoker",69
"Male","65–69 Years","Epsom","North Island general electorates","Regular Smoker",66
"Female","65–69 Years","Epsom","North Island general electorates","Regular Smoker",51
"Male","70–74 Years","Epsom","North Island general electorates","Regular Smoker",30
"Female","70–74 Years","Epsom","North Island general electorates","Regular Smoker",33
"Male","75–79 Years","Epsom","North Island general electorates","Regular Smoker",18
"Female","75–79 Years","Epsom","North Island general electorates","Regular Smoker",27
"Male","80–84 Years","Epsom","North Island general electorates","Regular Smoker",6
"Female","80–84 Years","Epsom","North Island general electorates","Regular Smoker",15
"Male","85 Years And Over","Epsom","North Island general electorates","Regular Smoker",3
"Female","85 Years And Over","Epsom","North Island general electorates","Regular Smoker",9
"Male","15–19 Years","Hamilton East","North Island general electorates","Regular Smoker",282
"Female","15–19 Years","Hamilton East","North Island general electorates","Regular Smoker",246
"Male","20–24 Years","Hamilton East","North Island general electorates","Regular Smoker",531
"Female","20–24 Years","Hamilton East","North Island general electorates","Regular Smoker",492
"Male","25–29 Years","Hamilton East","North Island general electorates","Regular Smoker",441
"Female","25–29 Years","Hamilton East","North Island general electorates","Regular Smoker",369
"Male","30–34 Years","Hamilton East","North Island general electorates","Regular Smoker",387
"Female","30–34 Years","Hamilton East","North Island general electorates","Regular Smoker",318
"Male","35–39 Years","Hamilton East","North Island general electorates","Regular Smoker",336
"Female","35–39 Years","Hamilton East","North Island general electorates","Regular Smoker",339
"Male","40–44 Years","Hamilton East","North Island general electorates","Regular Smoker",336
"Female","40–44 Years","Hamilton East","North Island general electorates","Regular Smoker",342
"Male","45–49 Years","Hamilton East","North Island general electorates","Regular Smoker",300
"Female","45–49 Years","Hamilton East","North Island general electorates","Regular Smoker",273
"Male","50–54 Years","Hamilton East","North Island general electorates","Regular Smoker",246
"Female","50–54 Years","Hamilton East","North Island general electorates","Regular Smoker",294
"Male","55–59 Years","Hamilton East","North Island general electorates","Regular Smoker",219
"Female","55–59 Years","Hamilton East","North Island general electorates","Regular Smoker",195
"Male","60–64 Years","Hamilton East","North Island general electorates","Regular Smoker",135
"Female","60–64 Years","Hamilton East","North Island general electorates","Regular Smoker",132
"Male","65–69 Years","Hamilton East","North Island general electorates","Regular Smoker",102
"Female","65–69 Years","Hamilton East","North Island general electorates","Regular Smoker",111
"Male","70–74 Years","Hamilton East","North Island general electorates","Regular Smoker",57
"Female","70–74 Years","Hamilton East","North Island general electorates","Regular Smoker",48
"Male","75–79 Years","Hamilton East","North Island general electorates","Regular Smoker",18
"Female","75–79 Years","Hamilton East","North Island general electorates","Regular Smoker",27
"Male","80–84 Years","Hamilton East","North Island general electorates","Regular Smoker",12
"Female","80–84 Years","Hamilton East","North Island general electorates","Regular Smoker",18
"Male","85 Years And Over","Hamilton East","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Hamilton East","North Island general electorates","Regular Smoker",18
"Male","15–19 Years","Hamilton West","North Island general electorates","Regular Smoker",291
"Female","15–19 Years","Hamilton West","North Island general electorates","Regular Smoker",294
"Male","20–24 Years","Hamilton West","North Island general electorates","Regular Smoker",618
"Female","20–24 Years","Hamilton West","North Island general electorates","Regular Smoker",624
"Male","25–29 Years","Hamilton West","North Island general electorates","Regular Smoker",576
"Female","25–29 Years","Hamilton West","North Island general electorates","Regular Smoker",597
"Male","30–34 Years","Hamilton West","North Island general electorates","Regular Smoker",534
"Female","30–34 Years","Hamilton West","North Island general electorates","Regular Smoker",441
"Male","35–39 Years","Hamilton West","North Island general electorates","Regular Smoker",402
"Female","35–39 Years","Hamilton West","North Island general electorates","Regular Smoker",426
"Male","40–44 Years","Hamilton West","North Island general electorates","Regular Smoker",426
"Female","40–44 Years","Hamilton West","North Island general electorates","Regular Smoker",468
"Male","45–49 Years","Hamilton West","North Island general electorates","Regular Smoker",411
"Female","45–49 Years","Hamilton West","North Island general electorates","Regular Smoker",435
"Male","50–54 Years","Hamilton West","North Island general electorates","Regular Smoker",324
"Female","50–54 Years","Hamilton West","North Island general electorates","Regular Smoker",393
"Male","55–59 Years","Hamilton West","North Island general electorates","Regular Smoker",279
"Female","55–59 Years","Hamilton West","North Island general electorates","Regular Smoker",312
"Male","60–64 Years","Hamilton West","North Island general electorates","Regular Smoker",189
"Female","60–64 Years","Hamilton West","North Island general electorates","Regular Smoker",186
"Male","65–69 Years","Hamilton West","North Island general electorates","Regular Smoker",120
"Female","65–69 Years","Hamilton West","North Island general electorates","Regular Smoker",129
"Male","70–74 Years","Hamilton West","North Island general electorates","Regular Smoker",69
"Female","70–74 Years","Hamilton West","North Island general electorates","Regular Smoker",63
"Male","75–79 Years","Hamilton West","North Island general electorates","Regular Smoker",36
"Female","75–79 Years","Hamilton West","North Island general electorates","Regular Smoker",27
"Male","80–84 Years","Hamilton West","North Island general electorates","Regular Smoker",9
"Female","80–84 Years","Hamilton West","North Island general electorates","Regular Smoker",15
"Male","85 Years And Over","Hamilton West","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Hamilton West","North Island general electorates","Regular Smoker",12
"Male","15–19 Years","Helensville","North Island general electorates","Regular Smoker",129
"Female","15–19 Years","Helensville","North Island general electorates","Regular Smoker",99
"Male","20–24 Years","Helensville","North Island general electorates","Regular Smoker",264
"Female","20–24 Years","Helensville","North Island general electorates","Regular Smoker",189
"Male","25–29 Years","Helensville","North Island general electorates","Regular Smoker",246
"Female","25–29 Years","Helensville","North Island general electorates","Regular Smoker",180
"Male","30–34 Years","Helensville","North Island general electorates","Regular Smoker",237
"Female","30–34 Years","Helensville","North Island general electorates","Regular Smoker",195
"Male","35–39 Years","Helensville","North Island general electorates","Regular Smoker",216
"Female","35–39 Years","Helensville","North Island general electorates","Regular Smoker",198
"Male","40–44 Years","Helensville","North Island general electorates","Regular Smoker",333
"Female","40–44 Years","Helensville","North Island general electorates","Regular Smoker",339
"Male","45–49 Years","Helensville","North Island general electorates","Regular Smoker",324
"Female","45–49 Years","Helensville","North Island general electorates","Regular Smoker",279
"Male","50–54 Years","Helensville","North Island general electorates","Regular Smoker",294
"Female","50–54 Years","Helensville","North Island general electorates","Regular Smoker",315
"Male","55–59 Years","Helensville","North Island general electorates","Regular Smoker",216
"Female","55–59 Years","Helensville","North Island general electorates","Regular Smoker",192
"Male","60–64 Years","Helensville","North Island general electorates","Regular Smoker",132
"Female","60–64 Years","Helensville","North Island general electorates","Regular Smoker",135
"Male","65–69 Years","Helensville","North Island general electorates","Regular Smoker",87
"Female","65–69 Years","Helensville","North Island general electorates","Regular Smoker",90
"Male","70–74 Years","Helensville","North Island general electorates","Regular Smoker",42
"Female","70–74 Years","Helensville","North Island general electorates","Regular Smoker",33
"Male","75–79 Years","Helensville","North Island general electorates","Regular Smoker",24
"Female","75–79 Years","Helensville","North Island general electorates","Regular Smoker",21
"Male","80–84 Years","Helensville","North Island general electorates","Regular Smoker",9
"Female","80–84 Years","Helensville","North Island general electorates","Regular Smoker",18
"Male","85 Years And Over","Helensville","North Island general electorates","Regular Smoker",3
"Female","85 Years And Over","Helensville","North Island general electorates","Regular Smoker",6
"Male","15–19 Years","Hunua","North Island general electorates","Regular Smoker",198
"Female","15–19 Years","Hunua","North Island general electorates","Regular Smoker",141
"Male","20–24 Years","Hunua","North Island general electorates","Regular Smoker",321
"Female","20–24 Years","Hunua","North Island general electorates","Regular Smoker",273
"Male","25–29 Years","Hunua","North Island general electorates","Regular Smoker",270
"Female","25–29 Years","Hunua","North Island general electorates","Regular Smoker",234
"Male","30–34 Years","Hunua","North Island general electorates","Regular Smoker",294
"Female","30–34 Years","Hunua","North Island general electorates","Regular Smoker",261
"Male","35–39 Years","Hunua","North Island general electorates","Regular Smoker",291
"Female","35–39 Years","Hunua","North Island general electorates","Regular Smoker",285
"Male","40–44 Years","Hunua","North Island general electorates","Regular Smoker",387
"Female","40–44 Years","Hunua","North Island general electorates","Regular Smoker",363
"Male","45–49 Years","Hunua","North Island general electorates","Regular Smoker",366
"Female","45–49 Years","Hunua","North Island general electorates","Regular Smoker",348
"Male","50–54 Years","Hunua","North Island general electorates","Regular Smoker",303
"Female","50–54 Years","Hunua","North Island general electorates","Regular Smoker",315
"Male","55–59 Years","Hunua","North Island general electorates","Regular Smoker",249
"Female","55–59 Years","Hunua","North Island general electorates","Regular Smoker",243
"Male","60–64 Years","Hunua","North Island general electorates","Regular Smoker",180
"Female","60–64 Years","Hunua","North Island general electorates","Regular Smoker",168
"Male","65–69 Years","Hunua","North Island general electorates","Regular Smoker",117
"Female","65–69 Years","Hunua","North Island general electorates","Regular Smoker",114
"Male","70–74 Years","Hunua","North Island general electorates","Regular Smoker",54
"Female","70–74 Years","Hunua","North Island general electorates","Regular Smoker",72
"Male","75–79 Years","Hunua","North Island general electorates","Regular Smoker",39
"Female","75–79 Years","Hunua","North Island general electorates","Regular Smoker",30
"Male","80–84 Years","Hunua","North Island general electorates","Regular Smoker",18
"Female","80–84 Years","Hunua","North Island general electorates","Regular Smoker",15
"Male","85 Years And Over","Hunua","North Island general electorates","Regular Smoker",12
"Female","85 Years And Over","Hunua","North Island general electorates","Regular Smoker",9
"Male","15–19 Years","Hutt South","North Island general electorates","Regular Smoker",222
"Female","15–19 Years","Hutt South","North Island general electorates","Regular Smoker",195
"Male","20–24 Years","Hutt South","North Island general electorates","Regular Smoker",459
"Female","20–24 Years","Hutt South","North Island general electorates","Regular Smoker",489
"Male","25–29 Years","Hutt South","North Island general electorates","Regular Smoker",447
"Female","25–29 Years","Hutt South","North Island general electorates","Regular Smoker",429
"Male","30–34 Years","Hutt South","North Island general electorates","Regular Smoker",438
"Female","30–34 Years","Hutt South","North Island general electorates","Regular Smoker",375
"Male","35–39 Years","Hutt South","North Island general electorates","Regular Smoker",363
"Female","35–39 Years","Hutt South","North Island general electorates","Regular Smoker",300
"Male","40–44 Years","Hutt South","North Island general electorates","Regular Smoker",420
"Female","40–44 Years","Hutt South","North Island general electorates","Regular Smoker",411
"Male","45–49 Years","Hutt South","North Island general electorates","Regular Smoker",387
"Female","45–49 Years","Hutt South","North Island general electorates","Regular Smoker",378
"Male","50–54 Years","Hutt South","North Island general electorates","Regular Smoker",366
"Female","50–54 Years","Hutt South","North Island general electorates","Regular Smoker",360
"Male","55–59 Years","Hutt South","North Island general electorates","Regular Smoker",273
"Female","55–59 Years","Hutt South","North Island general electorates","Regular Smoker",258
"Male","60–64 Years","Hutt South","North Island general electorates","Regular Smoker",186
"Female","60–64 Years","Hutt South","North Island general electorates","Regular Smoker",204
"Male","65–69 Years","Hutt South","North Island general electorates","Regular Smoker",132
"Female","65–69 Years","Hutt South","North Island general electorates","Regular Smoker",132
"Male","70–74 Years","Hutt South","North Island general electorates","Regular Smoker",60
"Female","70–74 Years","Hutt South","North Island general electorates","Regular Smoker",66
"Male","75–79 Years","Hutt South","North Island general electorates","Regular Smoker",39
"Female","75–79 Years","Hutt South","North Island general electorates","Regular Smoker",33
"Male","80–84 Years","Hutt South","North Island general electorates","Regular Smoker",18
"Female","80–84 Years","Hutt South","North Island general electorates","Regular Smoker",24
"Male","85 Years And Over","Hutt South","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Hutt South","North Island general electorates","Regular Smoker",15
"Male","15–19 Years","Kelston","North Island general electorates","Regular Smoker",234
"Female","15–19 Years","Kelston","North Island general electorates","Regular Smoker",195
"Male","20–24 Years","Kelston","North Island general electorates","Regular Smoker",477
"Female","20–24 Years","Kelston","North Island general electorates","Regular Smoker",435
"Male","25–29 Years","Kelston","North Island general electorates","Regular Smoker",477
"Female","25–29 Years","Kelston","North Island general electorates","Regular Smoker",408
"Male","30–34 Years","Kelston","North Island general electorates","Regular Smoker",471
"Female","30–34 Years","Kelston","North Island general electorates","Regular Smoker",375
"Male","35–39 Years","Kelston","North Island general electorates","Regular Smoker",411
"Female","35–39 Years","Kelston","North Island general electorates","Regular Smoker",351
"Male","40–44 Years","Kelston","North Island general electorates","Regular Smoker",462
"Female","40–44 Years","Kelston","North Island general electorates","Regular Smoker",390
"Male","45–49 Years","Kelston","North Island general electorates","Regular Smoker",426
"Female","45–49 Years","Kelston","North Island general electorates","Regular Smoker",378
"Male","50–54 Years","Kelston","North Island general electorates","Regular Smoker",402
"Female","50–54 Years","Kelston","North Island general electorates","Regular Smoker",348
"Male","55–59 Years","Kelston","North Island general electorates","Regular Smoker",273
"Female","55–59 Years","Kelston","North Island general electorates","Regular Smoker",264
"Male","60–64 Years","Kelston","North Island general electorates","Regular Smoker",189
"Female","60–64 Years","Kelston","North Island general electorates","Regular Smoker",144
"Male","65–69 Years","Kelston","North Island general electorates","Regular Smoker",132
"Female","65–69 Years","Kelston","North Island general electorates","Regular Smoker",102
"Male","70–74 Years","Kelston","North Island general electorates","Regular Smoker",60
"Female","70–74 Years","Kelston","North Island general electorates","Regular Smoker",39
"Male","75–79 Years","Kelston","North Island general electorates","Regular Smoker",27
"Female","75–79 Years","Kelston","North Island general electorates","Regular Smoker",33
"Male","80–84 Years","Kelston","North Island general electorates","Regular Smoker",15
"Female","80–84 Years","Kelston","North Island general electorates","Regular Smoker",15
"Male","85 Years And Over","Kelston","North Island general electorates","Regular Smoker",6
"Female","85 Years And Over","Kelston","North Island general electorates","Regular Smoker",6
"Male","15–19 Years","Mana","North Island general electorates","Regular Smoker",297
"Female","15–19 Years","Mana","North Island general electorates","Regular Smoker",252
"Male","20–24 Years","Mana","North Island general electorates","Regular Smoker",477
"Female","20–24 Years","Mana","North Island general electorates","Regular Smoker",546
"Male","25–29 Years","Mana","North Island general electorates","Regular Smoker",393
"Female","25–29 Years","Mana","North Island general electorates","Regular Smoker",438
"Male","30–34 Years","Mana","North Island general electorates","Regular Smoker",408
