"level0","level1","Religious affiliation (total responses)(1)","count"
"Manukau East","North Island general electorates","Catholic",7794
"Manurewa","North Island general electorates","Catholic",9090
"Maungakiekie","North Island general electorates","Catholic",9771
"Mt Albert","North Island general electorates","Catholic",8241
"Mt Roskill","North Island general electorates","Catholic",7785
"Napier","North Island general electorates","Catholic",7689
"New Lynn","North Island general electorates","Catholic",7431
"New Plymouth","North Island general electorates","Catholic",9465
"North Shore","North Island general electorates","Catholic",8652
"Northcote","North Island general electorates","Catholic",8886
"Northland","North Island general electorates","Catholic",7320
"Ohariu","North Island general electorates","Catholic",8865
"Otaki","North Island general electorates","Catholic",7437
"Pakuranga","North Island general electorates","Catholic",6447
"Palmerston North","North Island general electorates","Catholic",7560
"Papakura","North Island general electorates","Catholic",8274
"Rangitikei","North Island general electorates","Catholic",7242
"Rimutaka","North Island general electorates","Catholic",10713
"Rodney","North Island general electorates","Catholic",5742
"Rongotai","North Island general electorates","Catholic",9249
"Rotorua","North Island general electorates","Catholic",8937
"Tamaki","North Island general electorates","Catholic",9342
"Taranaki-King Country","North Island general electorates","Catholic",6897
"Taupo","North Island general electorates","Catholic",7722
"Tauranga","North Island general electorates","Catholic",5910
"Te Atatu","North Island general electorates","Catholic",9366
"Tukituki","North Island general electorates","Catholic",7344
"Upper Harbour","North Island general electorates","Catholic",8541
"Waikato","North Island general electorates","Catholic",7074
"Wairarapa","North Island general electorates","Catholic",7035
"Wellington Central","North Island general electorates","Catholic",7338
"Whanganui","North Island general electorates","Catholic",10572
"Whangarei","North Island general electorates","Catholic",6735
"Christchurch Central","South Island general electorates","Catholic",8454
"Christchurch East","South Island general electorates","Catholic",6939
"Clutha-Southland","South Island general electorates","Catholic",7434
"Dunedin North","South Island general electorates","Catholic",6588
"Dunedin South","South Island general electorates","Catholic",6495
"Ilam","South Island general electorates","Catholic",7695
"Invercargill","South Island general electorates","Catholic",7686
"Kaikoura","South Island general electorates","Catholic",6534
"Nelson","South Island general electorates","Catholic",5259
"Port Hills","South Island general electorates","Catholic",6942
"Rangitata","South Island general electorates","Catholic",8859
"Selwyn","South Island general electorates","Catholic",6363
"Waimakariri","South Island general electorates","Catholic",6357
"Waitaki","South Island general electorates","Catholic",7308
"West Coast-Tasman","South Island general electorates","Catholic",6816
"Wigram","South Island general electorates","Catholic",7656
"Area Outside General Electorate","South Island general electorates","Catholic",NA
"Auckland Central","North Island general electorates","Christian nfd",2073
"Bay of Plenty","North Island general electorates","Christian nfd",3909
"Botany","North Island general electorates","Christian nfd",3891
"Coromandel","North Island general electorates","Christian nfd",3048
"East Coast","North Island general electorates","Christian nfd",4713
"East Coast Bays","North Island general electorates","Christian nfd",3651
"Epsom","North Island general electorates","Christian nfd",2931
"Hamilton East","North Island general electorates","Christian nfd",4050
"Hamilton West","North Island general electorates","Christian nfd",3525
"Helensville","North Island general electorates","Christian nfd",3186
"Hunua","North Island general electorates","Christian nfd",3216
"Hutt South","North Island general electorates","Christian nfd",3441
"Kelston","North Island general electorates","Christian nfd",3948
"Mana","North Island general electorates","Christian nfd",4161
"Mangere","North Island general electorates","Christian nfd",4821
"Manukau East","North Island general electorates","Christian nfd",4320
"Manurewa","North Island general electorates","Christian nfd",4350
"Maungakiekie","North Island general electorates","Christian nfd",3735
"Mt Albert","North Island general electorates","Christian nfd",2769
"Mt Roskill","North Island general electorates","Christian nfd",3396
"Napier","North Island general electorates","Christian nfd",3207
"New Lynn","North Island general electorates","Christian nfd",3045
"New Plymouth","North Island general electorates","Christian nfd",3111
"North Shore","North Island general electorates","Christian nfd",3066
"Northcote","North Island general electorates","Christian nfd",3375
"Northland","North Island general electorates","Christian nfd",4737
"Ohariu","North Island general electorates","Christian nfd",2862
"Otaki","North Island general electorates","Christian nfd",3084
"Pakuranga","North Island general electorates","Christian nfd",4029
"Palmerston North","North Island general electorates","Christian nfd",3666
"Papakura","North Island general electorates","Christian nfd",3840
"Rangitikei","North Island general electorates","Christian nfd",3585
"Rimutaka","North Island general electorates","Christian nfd",3705
"Rodney","North Island general electorates","Christian nfd",3795
"Rongotai","North Island general electorates","Christian nfd",2514
"Rotorua","North Island general electorates","Christian nfd",3879
"Tamaki","North Island general electorates","Christian nfd",2703
"Taranaki-King Country","North Island general electorates","Christian nfd",3402
"Taupo","North Island general electorates","Christian nfd",3666
"Tauranga","North Island general electorates","Christian nfd",4047
"Te Atatu","North Island general electorates","Christian nfd",4242
"Tukituki","North Island general electorates","Christian nfd",3987
"Upper Harbour","North Island general electorates","Christian nfd",3756
"Waikato","North Island general electorates","Christian nfd",3666
"Wairarapa","North Island general electorates","Christian nfd",3024
"Wellington Central","North Island general electorates","Christian nfd",2337
"Whanganui","North Island general electorates","Christian nfd",3228
"Whangarei","North Island general electorates","Christian nfd",4179
"Christchurch Central","South Island general electorates","Christian nfd",2856
"Christchurch East","South Island general electorates","Christian nfd",2949
"Clutha-Southland","South Island general electorates","Christian nfd",2610
"Dunedin North","South Island general electorates","Christian nfd",2352
"Dunedin South","South Island general electorates","Christian nfd",2307
"Ilam","South Island general electorates","Christian nfd",2835
"Invercargill","South Island general electorates","Christian nfd",2820
"Kaikoura","South Island general electorates","Christian nfd",2850
"Nelson","South Island general electorates","Christian nfd",4014
"Port Hills","South Island general electorates","Christian nfd",3216
"Rangitata","South Island general electorates","Christian nfd",2379
"Selwyn","South Island general electorates","Christian nfd",2601
"Waimakariri","South Island general electorates","Christian nfd",2694
"Waitaki","South Island general electorates","Christian nfd",2733
"West Coast-Tasman","South Island general electorates","Christian nfd",3339
"Wigram","South Island general electorates","Christian nfd",2745
"Area Outside General Electorate","South Island general electorates","Christian nfd",NA
"Auckland Central","North Island general electorates","Latter-day Saints",219
"Bay of Plenty","North Island general electorates","Latter-day Saints",345
"Botany","North Island general electorates","Latter-day Saints",663
"Coromandel","North Island general electorates","Latter-day Saints",252
"East Coast","North Island general electorates","Latter-day Saints",900
"East Coast Bays","North Island general electorates","Latter-day Saints",372
"Epsom","North Island general electorates","Latter-day Saints",123
"Hamilton East","North Island general electorates","Latter-day Saints",1104
"Hamilton West","North Island general electorates","Latter-day Saints",3372
"Helensville","North Island general electorates","Latter-day Saints",186
"Hunua","North Island general electorates","Latter-day Saints",450
"Hutt South","North Island general electorates","Latter-day Saints",384
"Kelston","North Island general electorates","Latter-day Saints",1113
"Mana","North Island general electorates","Latter-day Saints",1194
"Mangere","North Island general electorates","Latter-day Saints",3420
"Manukau East","North Island general electorates","Latter-day Saints",2460
"Manurewa","North Island general electorates","Latter-day Saints",2448
"Maungakiekie","North Island general electorates","Latter-day Saints",1518
"Mt Albert","North Island general electorates","Latter-day Saints",399
"Mt Roskill","North Island general electorates","Latter-day Saints",777
"Napier","North Island general electorates","Latter-day Saints",708
"New Lynn","North Island general electorates","Latter-day Saints",486
"New Plymouth","North Island general electorates","Latter-day Saints",219
"North Shore","North Island general electorates","Latter-day Saints",327
"Northcote","North Island general electorates","Latter-day Saints",510
"Northland","North Island general electorates","Latter-day Saints",1467
"Ohariu","North Island general electorates","Latter-day Saints",180
"Otaki","North Island general electorates","Latter-day Saints",363
"Pakuranga","North Island general electorates","Latter-day Saints",249
"Palmerston North","North Island general electorates","Latter-day Saints",432
"Papakura","North Island general electorates","Latter-day Saints",1419
"Rangitikei","North Island general electorates","Latter-day Saints",351
"Rimutaka","North Island general electorates","Latter-day Saints",612
"Rodney","North Island general electorates","Latter-day Saints",234
"Rongotai","North Island general electorates","Latter-day Saints",270
"Rotorua","North Island general electorates","Latter-day Saints",576
"Tamaki","North Island general electorates","Latter-day Saints",402
"Taranaki-King Country","North Island general electorates","Latter-day Saints",750
"Taupo","North Island general electorates","Latter-day Saints",570
"Tauranga","North Island general electorates","Latter-day Saints",345
"Te Atatu","North Island general electorates","Latter-day Saints",825
"Tukituki","North Island general electorates","Latter-day Saints",1623
"Upper Harbour","North Island general electorates","Latter-day Saints",750
"Waikato","North Island general electorates","Latter-day Saints",717
"Wairarapa","North Island general electorates","Latter-day Saints",582
"Wellington Central","North Island general electorates","Latter-day Saints",135
"Whanganui","North Island general electorates","Latter-day Saints",300
"Whangarei","North Island general electorates","Latter-day Saints",1134
"Christchurch Central","South Island general electorates","Latter-day Saints",204
"Christchurch East","South Island general electorates","Latter-day Saints",204
"Clutha-Southland","South Island general electorates","Latter-day Saints",96
"Dunedin North","South Island general electorates","Latter-day Saints",126
"Dunedin South","South Island general electorates","Latter-day Saints",177
"Ilam","South Island general electorates","Latter-day Saints",150
"Invercargill","South Island general electorates","Latter-day Saints",138
"Kaikoura","South Island general electorates","Latter-day Saints",165
"Nelson","South Island general electorates","Latter-day Saints",237
"Port Hills","South Island general electorates","Latter-day Saints",90
"Rangitata","South Island general electorates","Latter-day Saints",204
"Selwyn","South Island general electorates","Latter-day Saints",108
"Waimakariri","South Island general electorates","Latter-day Saints",96
"Waitaki","South Island general electorates","Latter-day Saints",168
"West Coast-Tasman","South Island general electorates","Latter-day Saints",96
"Wigram","South Island general electorates","Latter-day Saints",249
"Area Outside General Electorate","South Island general electorates","Latter-day Saints",NA
"Auckland Central","North Island general electorates","Methodist",675
"Bay of Plenty","North Island general electorates","Methodist",1194
"Botany","North Island general electorates","Methodist",2016
"Coromandel","North Island general electorates","Methodist",1554
"East Coast","North Island general electorates","Methodist",1323
"East Coast Bays","North Island general electorates","Methodist",1773
"Epsom","North Island general electorates","Methodist",792
"Hamilton East","North Island general electorates","Methodist",2025
"Hamilton West","North Island general electorates","Methodist",1746
"Helensville","North Island general electorates","Methodist",1035
"Hunua","North Island general electorates","Methodist",1833
"Hutt South","North Island general electorates","Methodist",1197
"Kelston","North Island general electorates","Methodist",2283
"Mana","North Island general electorates","Methodist",1332
"Mangere","North Island general electorates","Methodist",6453
"Manukau East","North Island general electorates","Methodist",4398
"Manurewa","North Island general electorates","Methodist",3561
"Maungakiekie","North Island general electorates","Methodist",3342
"Mt Albert","North Island general electorates","Methodist",1191
"Mt Roskill","North Island general electorates","Methodist",2145
"Napier","North Island general electorates","Methodist",1107
"New Lynn","North Island general electorates","Methodist",1545
"New Plymouth","North Island general electorates","Methodist",2055
"North Shore","North Island general electorates","Methodist",1338
"Northcote","North Island general electorates","Methodist",1626
"Northland","North Island general electorates","Methodist",2373
"Ohariu","North Island general electorates","Methodist",957
"Otaki","North Island general electorates","Methodist",1488
"Pakuranga","North Island general electorates","Methodist",1650
"Palmerston North","North Island general electorates","Methodist",1590
"Papakura","North Island general electorates","Methodist",2199
"Rangitikei","North Island general electorates","Methodist",1344
"Rimutaka","North Island general electorates","Methodist",1599
"Rodney","North Island general electorates","Methodist",1614
"Rongotai","North Island general electorates","Methodist",840
"Rotorua","North Island general electorates","Methodist",1167
"Tamaki","North Island general electorates","Methodist",1260
"Taranaki-King Country","North Island general electorates","Methodist",2082
"Taupo","North Island general electorates","Methodist",1497
"Tauranga","North Island general electorates","Methodist",1389
"Te Atatu","North Island general electorates","Methodist",2103
"Tukituki","North Island general electorates","Methodist",1098
"Upper Harbour","North Island general electorates","Methodist",1788
"Waikato","North Island general electorates","Methodist",2169
"Wairarapa","North Island general electorates","Methodist",1287
"Wellington Central","North Island general electorates","Methodist",534
"Whanganui","North Island general electorates","Methodist",1803
"Whangarei","North Island general electorates","Methodist",1638
"Christchurch Central","South Island general electorates","Methodist",1197
"Christchurch East","South Island general electorates","Methodist",1236
"Clutha-Southland","South Island general electorates","Methodist",639
"Dunedin North","South Island general electorates","Methodist",774
"Dunedin South","South Island general electorates","Methodist",837
"Ilam","South Island general electorates","Methodist",1302
"Invercargill","South Island general electorates","Methodist",1038
"Kaikoura","South Island general electorates","Methodist",1317
"Nelson","South Island general electorates","Methodist",1179
"Port Hills","South Island general electorates","Methodist",1281
"Rangitata","South Island general electorates","Methodist",1359
"Selwyn","South Island general electorates","Methodist",1074
"Waimakariri","South Island general electorates","Methodist",1530
"Waitaki","South Island general electorates","Methodist",840
"West Coast-Tasman","South Island general electorates","Methodist",891
"Wigram","South Island general electorates","Methodist",1374
"Area Outside General Electorate","South Island general electorates","Methodist",NA
"Auckland Central","North Island general electorates","Pentecostal",369
"Bay of Plenty","North Island general electorates","Pentecostal",945
"Botany","North Island general electorates","Pentecostal",1989
"Coromandel","North Island general electorates","Pentecostal",771
"East Coast","North Island general electorates","Pentecostal",1503
"East Coast Bays","North Island general electorates","Pentecostal",1491
"Epsom","North Island general electorates","Pentecostal",597
"Hamilton East","North Island general electorates","Pentecostal",1674
"Hamilton West","North Island general electorates","Pentecostal",1623
"Helensville","North Island general electorates","Pentecostal",846
"Hunua","North Island general electorates","Pentecostal",1050
"Hutt South","North Island general electorates","Pentecostal",1338
"Kelston","North Island general electorates","Pentecostal",1671
"Mana","North Island general electorates","Pentecostal",1647
"Mangere","North Island general electorates","Pentecostal",2607
"Manukau East","North Island general electorates","Pentecostal",2538
"Manurewa","North Island general electorates","Pentecostal",2865
"Maungakiekie","North Island general electorates","Pentecostal",1620
"Mt Albert","North Island general electorates","Pentecostal",633
"Mt Roskill","North Island general electorates","Pentecostal",1254
"Napier","North Island general electorates","Pentecostal",873
"New Lynn","North Island general electorates","Pentecostal",1017
"New Plymouth","North Island general electorates","Pentecostal",969
"North Shore","North Island general electorates","Pentecostal",885
"Northcote","North Island general electorates","Pentecostal",1251
"Northland","North Island general electorates","Pentecostal",990
"Ohariu","North Island general electorates","Pentecostal",984
"Otaki","North Island general electorates","Pentecostal",1089
"Pakuranga","North Island general electorates","Pentecostal",1458
"Palmerston North","North Island general electorates","Pentecostal",1491
"Papakura","North Island general electorates","Pentecostal",1821
"Rangitikei","North Island general electorates","Pentecostal",966
"Rimutaka","North Island general electorates","Pentecostal",1683
"Rodney","North Island general electorates","Pentecostal",1218
"Rongotai","North Island general electorates","Pentecostal",663
"Rotorua","North Island general electorates","Pentecostal",1383
"Tamaki","North Island general electorates","Pentecostal",624
"Taranaki-King Country","North Island general electorates","Pentecostal",813
"Taupo","North Island general electorates","Pentecostal",909
"Tauranga","North Island general electorates","Pentecostal",1401
"Te Atatu","North Island general electorates","Pentecostal",1905
"Tukituki","North Island general electorates","Pentecostal",1419
"Upper Harbour","North Island general electorates","Pentecostal",1602
"Waikato","North Island general electorates","Pentecostal",888
"Wairarapa","North Island general electorates","Pentecostal",774
"Wellington Central","North Island general electorates","Pentecostal",552
"Whanganui","North Island general electorates","Pentecostal",984
"Whangarei","North Island general electorates","Pentecostal",1386
"Christchurch Central","South Island general electorates","Pentecostal",1038
"Christchurch East","South Island general electorates","Pentecostal",1242
"Clutha-Southland","South Island general electorates","Pentecostal",522
"Dunedin North","South Island general electorates","Pentecostal",666
"Dunedin South","South Island general electorates","Pentecostal",582
"Ilam","South Island general electorates","Pentecostal",861
"Invercargill","South Island general electorates","Pentecostal",909
"Kaikoura","South Island general electorates","Pentecostal",762
"Nelson","South Island general electorates","Pentecostal",1083
"Port Hills","South Island general electorates","Pentecostal",1131
"Rangitata","South Island general electorates","Pentecostal",873
"Selwyn","South Island general electorates","Pentecostal",576
"Waimakariri","South Island general electorates","Pentecostal",756
"Waitaki","South Island general electorates","Pentecostal",702
"West Coast-Tasman","South Island general electorates","Pentecostal",450
"Wigram","South Island general electorates","Pentecostal",1077
"Area Outside General Electorate","South Island general electorates","Pentecostal",NA
"Auckland Central","North Island general electorates","Presbyterian, Congregational and Reformed",2634
"Bay of Plenty","North Island general electorates","Presbyterian, Congregational and Reformed",4719
"Botany","North Island general electorates","Presbyterian, Congregational and Reformed",4845
"Coromandel","North Island general electorates","Presbyterian, Congregational and Reformed",5370
"East Coast","North Island general electorates","Presbyterian, Congregational and Reformed",6345
"East Coast Bays","North Island general electorates","Presbyterian, Congregational and Reformed",4353
"Epsom","North Island general electorates","Presbyterian, Congregational and Reformed",4002
"Hamilton East","North Island general electorates","Presbyterian, Congregational and Reformed",4329
"Hamilton West","North Island general electorates","Presbyterian, Congregational and Reformed",3849
"Helensville","North Island general electorates","Presbyterian, Congregational and Reformed",2706
"Hunua","North Island general electorates","Presbyterian, Congregational and Reformed",4914
"Hutt South","North Island general electorates","Presbyterian, Congregational and Reformed",4305
"Kelston","North Island general electorates","Presbyterian, Congregational and Reformed",4014
"Mana","North Island general electorates","Presbyterian, Congregational and Reformed",5970
"Mangere","North Island general electorates","Presbyterian, Congregational and Reformed",7395
"Manukau East","North Island general electorates","Presbyterian, Congregational and Reformed",5493
"Manurewa","North Island general electorates","Presbyterian, Congregational and Reformed",5265
"Maungakiekie","North Island general electorates","Presbyterian, Congregational and Reformed",4041
"Mt Albert","North Island general electorates","Presbyterian, Congregational and Reformed",3090
"Mt Roskill","North Island general electorates","Presbyterian, Congregational and Reformed",3417
"Napier","North Island general electorates","Presbyterian, Congregational and Reformed",5487
"New Lynn","North Island general electorates","Presbyterian, Congregational and Reformed",3246
"New Plymouth","North Island general electorates","Presbyterian, Congregational and Reformed",4767
"North Shore","North Island general electorates","Presbyterian, Congregational and Reformed",4800
"Northcote","North Island general electorates","Presbyterian, Congregational and Reformed",3501
"Northland","North Island general electorates","Presbyterian, Congregational and Reformed",3390
"Ohariu","North Island general electorates","Presbyterian, Congregational and Reformed",3312
"Otaki","North Island general electorates","Presbyterian, Congregational and Reformed",4422
"Pakuranga","North Island general electorates","Presbyterian, Congregational and Reformed",4566
"Palmerston North","North Island general electorates","Presbyterian, Congregational and Reformed",4230
"Papakura","North Island general electorates","Presbyterian, Congregational and Reformed",5472
"Rangitikei","North Island general electorates","Presbyterian, Congregational and Reformed",5472
"Rimutaka","North Island general electorates","Presbyterian, Congregational and Reformed",4791
"Rodney","North Island general electorates","Presbyterian, Congregational and Reformed",4044
"Rongotai","North Island general electorates","Presbyterian, Congregational and Reformed",3120
"Rotorua","North Island general electorates","Presbyterian, Congregational and Reformed",5151
"Tamaki","North Island general electorates","Presbyterian, Congregational and Reformed",5163
"Taranaki-King Country","North Island general electorates","Presbyterian, Congregational and Reformed",4986
"Taupo","North Island general electorates","Presbyterian, Congregational and Reformed",5655
"Tauranga","North Island general electorates","Presbyterian, Congregational and Reformed",5259
"Te Atatu","North Island general electorates","Presbyterian, Congregational and Reformed",4404
"Tukituki","North Island general electorates","Presbyterian, Congregational and Reformed",6435
"Upper Harbour","North Island general electorates","Presbyterian, Congregational and Reformed",4266
"Waikato","North Island general electorates","Presbyterian, Congregational and Reformed",5403
"Wairarapa","North Island general electorates","Presbyterian, Congregational and Reformed",6066
"Wellington Central","North Island general electorates","Presbyterian, Congregational and Reformed",2610
"Whanganui","North Island general electorates","Presbyterian, Congregational and Reformed",5496
"Whangarei","North Island general electorates","Presbyterian, Congregational and Reformed",4161
"Christchurch Central","South Island general electorates","Presbyterian, Congregational and Reformed",4092
"Christchurch East","South Island general electorates","Presbyterian, Congregational and Reformed",4005
"Clutha-Southland","South Island general electorates","Presbyterian, Congregational and Reformed",12546
"Dunedin North","South Island general electorates","Presbyterian, Congregational and Reformed",7578
"Dunedin South","South Island general electorates","Presbyterian, Congregational and Reformed",10410
"Ilam","South Island general electorates","Presbyterian, Congregational and Reformed",5640
"Invercargill","South Island general electorates","Presbyterian, Congregational and Reformed",12027
"Kaikoura","South Island general electorates","Presbyterian, Congregational and Reformed",5241
"Nelson","South Island general electorates","Presbyterian, Congregational and Reformed",3474
"Port Hills","South Island general electorates","Presbyterian, Congregational and Reformed",4506
"Rangitata","South Island general electorates","Presbyterian, Congregational and Reformed",10059
"Selwyn","South Island general electorates","Presbyterian, Congregational and Reformed",5613
"Waimakariri","South Island general electorates","Presbyterian, Congregational and Reformed",4887
"Waitaki","South Island general electorates","Presbyterian, Congregational and Reformed",11682
"West Coast-Tasman","South Island general electorates","Presbyterian, Congregational and Reformed",3573
"Wigram","South Island general electorates","Presbyterian, Congregational and Reformed",4446
"Area Outside General Electorate","South Island general electorates","Presbyterian, Congregational and Reformed",NA
"Auckland Central","North Island general electorates","Other Christian Religions",1146
"Bay of Plenty","North Island general electorates","Other Christian Religions",1317
"Botany","North Island general electorates","Other Christian Religions",1815
"Coromandel","North Island general electorates","Other Christian Religions",1365
"East Coast","North Island general electorates","Other Christian Religions",2217
"East Coast Bays","North Island general electorates","Other Christian Religions",1587
"Epsom","North Island general electorates","Other Christian Religions",1164
"Hamilton East","North Island general electorates","Other Christian Religions",2100
"Hamilton West","North Island general electorates","Other Christian Religions",1734
"Helensville","North Island general electorates","Other Christian Religions",1077
"Hunua","North Island general electorates","Other Christian Religions",1167
"Hutt South","North Island general electorates","Other Christian Religions",1554
"Kelston","North Island general electorates","Other Christian Religions",2268
"Mana","North Island general electorates","Other Christian Religions",2040
"Mangere","North Island general electorates","Other Christian Religions",3006
"Manukau East","North Island general electorates","Other Christian Religions",2175
"Manurewa","North Island general electorates","Other Christian Religions",2565
"Maungakiekie","North Island general electorates","Other Christian Religions",2088
"Mt Albert","North Island general electorates","Other Christian Religions",1221
"Mt Roskill","North Island general electorates","Other Christian Religions",2100
"Napier","North Island general electorates","Other Christian Religions",1452
"New Lynn","North Island general electorates","Other Christian Religions",1707
"New Plymouth","North Island general electorates","Other Christian Religions",1287
"North Shore","North Island general electorates","Other Christian Religions",1275
