"level0","level1","level2","Occupation(1) (ANZSCO major group)(2) ","count"
"Clerical and Administrative Workers","Hamilton East","North Island general electorates","Male",888
"Sales Workers","Hamilton East","North Island general electorates","Male",1362
"Machinery Operators and Drivers","Hamilton East","North Island general electorates","Male",957
"Labourers","Hamilton East","North Island general electorates","Male",1587
"Not Elsewhere Included(4)","Hamilton East","North Island general electorates","Male",849
"Managers","Hamilton West","North Island general electorates","Male",2763
"Professionals","Hamilton West","North Island general electorates","Male",2925
"Technicians and Trades Workers","Hamilton West","North Island general electorates","Male",3666
"Community and Personal Service Workers","Hamilton West","North Island general electorates","Male",867
"Clerical and Administrative Workers","Hamilton West","North Island general electorates","Male",879
"Sales Workers","Hamilton West","North Island general electorates","Male",1380
"Machinery Operators and Drivers","Hamilton West","North Island general electorates","Male",1689
"Labourers","Hamilton West","North Island general electorates","Male",2004
"Not Elsewhere Included(4)","Hamilton West","North Island general electorates","Male",831
"Managers","Helensville","North Island general electorates","Male",4233
"Professionals","Helensville","North Island general electorates","Male",3102
"Technicians and Trades Workers","Helensville","North Island general electorates","Male",3336
"Community and Personal Service Workers","Helensville","North Island general electorates","Male",825
"Clerical and Administrative Workers","Helensville","North Island general electorates","Male",714
"Sales Workers","Helensville","North Island general electorates","Male",984
"Machinery Operators and Drivers","Helensville","North Island general electorates","Male",915
"Labourers","Helensville","North Island general electorates","Male",1416
"Not Elsewhere Included(4)","Helensville","North Island general electorates","Male",735
"Managers","Hunua","North Island general electorates","Male",4383
"Professionals","Hunua","North Island general electorates","Male",2343
"Technicians and Trades Workers","Hunua","North Island general electorates","Male",3282
"Community and Personal Service Workers","Hunua","North Island general electorates","Male",717
"Clerical and Administrative Workers","Hunua","North Island general electorates","Male",756
"Sales Workers","Hunua","North Island general electorates","Male",1074
"Machinery Operators and Drivers","Hunua","North Island general electorates","Male",1581
"Labourers","Hunua","North Island general electorates","Male",1755
"Not Elsewhere Included(4)","Hunua","North Island general electorates","Male",837
"Managers","Hutt South","North Island general electorates","Male",3546
"Professionals","Hutt South","North Island general electorates","Male",4233
"Technicians and Trades Workers","Hutt South","North Island general electorates","Male",2976
"Community and Personal Service Workers","Hutt South","North Island general electorates","Male",885
"Clerical and Administrative Workers","Hutt South","North Island general electorates","Male",1140
"Sales Workers","Hutt South","North Island general electorates","Male",1278
"Machinery Operators and Drivers","Hutt South","North Island general electorates","Male",1269
"Labourers","Hutt South","North Island general electorates","Male",1491
"Not Elsewhere Included(4)","Hutt South","North Island general electorates","Male",1014
"Managers","Kelston","North Island general electorates","Male",2073
"Professionals","Kelston","North Island general electorates","Male",2322
"Technicians and Trades Workers","Kelston","North Island general electorates","Male",2931
"Community and Personal Service Workers","Kelston","North Island general electorates","Male",810
"Clerical and Administrative Workers","Kelston","North Island general electorates","Male",972
"Sales Workers","Kelston","North Island general electorates","Male",1137
"Machinery Operators and Drivers","Kelston","North Island general electorates","Male",1353
"Labourers","Kelston","North Island general electorates","Male",1506
"Not Elsewhere Included(4)","Kelston","North Island general electorates","Male",888
"Managers","Mana","North Island general electorates","Male",3216
"Professionals","Mana","North Island general electorates","Male",3381
"Technicians and Trades Workers","Mana","North Island general electorates","Male",2523
"Community and Personal Service Workers","Mana","North Island general electorates","Male",1119
"Clerical and Administrative Workers","Mana","North Island general electorates","Male",963
"Sales Workers","Mana","North Island general electorates","Male",1071
"Machinery Operators and Drivers","Mana","North Island general electorates","Male",1080
"Labourers","Mana","North Island general electorates","Male",1620
"Not Elsewhere Included(4)","Mana","North Island general electorates","Male",1002
"Managers","Mangere","North Island general electorates","Male",1032
"Professionals","Mangere","North Island general electorates","Male",1146
"Technicians and Trades Workers","Mangere","North Island general electorates","Male",2022
"Community and Personal Service Workers","Mangere","North Island general electorates","Male",714
"Clerical and Administrative Workers","Mangere","North Island general electorates","Male",798
"Sales Workers","Mangere","North Island general electorates","Male",660
"Machinery Operators and Drivers","Mangere","North Island general electorates","Male",2469
"Labourers","Mangere","North Island general electorates","Male",1695
"Not Elsewhere Included(4)","Mangere","North Island general electorates","Male",1209
"Managers","Manukau East","North Island general electorates","Male",1110
"Professionals","Manukau East","North Island general electorates","Male",1092
"Technicians and Trades Workers","Manukau East","North Island general electorates","Male",2364
"Community and Personal Service Workers","Manukau East","North Island general electorates","Male",630
"Clerical and Administrative Workers","Manukau East","North Island general electorates","Male",894
"Sales Workers","Manukau East","North Island general electorates","Male",906
"Machinery Operators and Drivers","Manukau East","North Island general electorates","Male",2280
"Labourers","Manukau East","North Island general electorates","Male",1935
"Not Elsewhere Included(4)","Manukau East","North Island general electorates","Male",1263
"Managers","Manurewa","North Island general electorates","Male",1413
"Professionals","Manurewa","North Island general electorates","Male",1281
"Technicians and Trades Workers","Manurewa","North Island general electorates","Male",2688
"Community and Personal Service Workers","Manurewa","North Island general electorates","Male",777
"Clerical and Administrative Workers","Manurewa","North Island general electorates","Male",1017
"Sales Workers","Manurewa","North Island general electorates","Male",1029
"Machinery Operators and Drivers","Manurewa","North Island general electorates","Male",2520
"Labourers","Manurewa","North Island general electorates","Male",2019
"Not Elsewhere Included(4)","Manurewa","North Island general electorates","Male",1203
"Managers","Maungakiekie","North Island general electorates","Male",2937
"Professionals","Maungakiekie","North Island general electorates","Male",3546
"Technicians and Trades Workers","Maungakiekie","North Island general electorates","Male",2556
"Community and Personal Service Workers","Maungakiekie","North Island general electorates","Male",846
"Clerical and Administrative Workers","Maungakiekie","North Island general electorates","Male",1188
"Sales Workers","Maungakiekie","North Island general electorates","Male",1338
"Machinery Operators and Drivers","Maungakiekie","North Island general electorates","Male",1368
"Labourers","Maungakiekie","North Island general electorates","Male",1344
"Not Elsewhere Included(4)","Maungakiekie","North Island general electorates","Male",945
"Managers","Mt Albert","North Island general electorates","Male",3825
"Professionals","Mt Albert","North Island general electorates","Male",5388
"Technicians and Trades Workers","Mt Albert","North Island general electorates","Male",2157
"Community and Personal Service Workers","Mt Albert","North Island general electorates","Male",996
"Clerical and Administrative Workers","Mt Albert","North Island general electorates","Male",1005
"Sales Workers","Mt Albert","North Island general electorates","Male",1323
"Machinery Operators and Drivers","Mt Albert","North Island general electorates","Male",597
"Labourers","Mt Albert","North Island general electorates","Male",954
"Not Elsewhere Included(4)","Mt Albert","North Island general electorates","Male",780
"Managers","Mt Roskill","North Island general electorates","Male",2841
"Professionals","Mt Roskill","North Island general electorates","Male",3666
"Technicians and Trades Workers","Mt Roskill","North Island general electorates","Male",2181
"Community and Personal Service Workers","Mt Roskill","North Island general electorates","Male",735
"Clerical and Administrative Workers","Mt Roskill","North Island general electorates","Male",1107
"Sales Workers","Mt Roskill","North Island general electorates","Male",1425
"Machinery Operators and Drivers","Mt Roskill","North Island general electorates","Male",912
"Labourers","Mt Roskill","North Island general electorates","Male",1035
"Not Elsewhere Included(4)","Mt Roskill","North Island general electorates","Male",828
"Managers","Napier","North Island general electorates","Male",3237
"Professionals","Napier","North Island general electorates","Male",2196
"Technicians and Trades Workers","Napier","North Island general electorates","Male",2859
"Community and Personal Service Workers","Napier","North Island general electorates","Male",876
"Clerical and Administrative Workers","Napier","North Island general electorates","Male",633
"Sales Workers","Napier","North Island general electorates","Male",930
"Machinery Operators and Drivers","Napier","North Island general electorates","Male",1704
"Labourers","Napier","North Island general electorates","Male",3261
"Not Elsewhere Included(4)","Napier","North Island general electorates","Male",921
"Managers","New Lynn","North Island general electorates","Male",2670
"Professionals","New Lynn","North Island general electorates","Male",3105
"Technicians and Trades Workers","New Lynn","North Island general electorates","Male",2547
"Community and Personal Service Workers","New Lynn","North Island general electorates","Male",786
"Clerical and Administrative Workers","New Lynn","North Island general electorates","Male",1017
"Sales Workers","New Lynn","North Island general electorates","Male",1290
"Machinery Operators and Drivers","New Lynn","North Island general electorates","Male",1083
"Labourers","New Lynn","North Island general electorates","Male",1179
"Not Elsewhere Included(4)","New Lynn","North Island general electorates","Male",813
"Managers","New Plymouth","North Island general electorates","Male",3474
"Professionals","New Plymouth","North Island general electorates","Male",2628
"Technicians and Trades Workers","New Plymouth","North Island general electorates","Male",3660
"Community and Personal Service Workers","New Plymouth","North Island general electorates","Male",666
"Clerical and Administrative Workers","New Plymouth","North Island general electorates","Male",660
"Sales Workers","New Plymouth","North Island general electorates","Male",918
"Machinery Operators and Drivers","New Plymouth","North Island general electorates","Male",1503
"Labourers","New Plymouth","North Island general electorates","Male",2415
"Not Elsewhere Included(4)","New Plymouth","North Island general electorates","Male",1350
"Managers","North Shore","North Island general electorates","Male",4422
"Professionals","North Shore","North Island general electorates","Male",4710
"Technicians and Trades Workers","North Shore","North Island general electorates","Male",2190
"Community and Personal Service Workers","North Shore","North Island general electorates","Male",1167
"Clerical and Administrative Workers","North Shore","North Island general electorates","Male",867
"Sales Workers","North Shore","North Island general electorates","Male",1353
"Machinery Operators and Drivers","North Shore","North Island general electorates","Male",480
"Labourers","North Shore","North Island general electorates","Male",870
"Not Elsewhere Included(4)","North Shore","North Island general electorates","Male",672
"Managers","Northcote","North Island general electorates","Male",3474
"Professionals","Northcote","North Island general electorates","Male",4020
"Technicians and Trades Workers","Northcote","North Island general electorates","Male",2928
"Community and Personal Service Workers","Northcote","North Island general electorates","Male",981
"Clerical and Administrative Workers","Northcote","North Island general electorates","Male",957
"Sales Workers","Northcote","North Island general electorates","Male",1425
"Machinery Operators and Drivers","Northcote","North Island general electorates","Male",882
"Labourers","Northcote","North Island general electorates","Male",1281
"Not Elsewhere Included(4)","Northcote","North Island general electorates","Male",699
"Managers","Northland","North Island general electorates","Male",4698
"Professionals","Northland","North Island general electorates","Male",1644
"Technicians and Trades Workers","Northland","North Island general electorates","Male",2673
"Community and Personal Service Workers","Northland","North Island general electorates","Male",750
"Clerical and Administrative Workers","Northland","North Island general electorates","Male",450
"Sales Workers","Northland","North Island general electorates","Male",849
"Machinery Operators and Drivers","Northland","North Island general electorates","Male",1443
"Labourers","Northland","North Island general electorates","Male",3351
"Not Elsewhere Included(4)","Northland","North Island general electorates","Male",1239
"Managers","Ohariu","North Island general electorates","Male",3639
"Professionals","Ohariu","North Island general electorates","Male",5568
"Technicians and Trades Workers","Ohariu","North Island general electorates","Male",2031
"Community and Personal Service Workers","Ohariu","North Island general electorates","Male",819
"Clerical and Administrative Workers","Ohariu","North Island general electorates","Male",1134
"Sales Workers","Ohariu","North Island general electorates","Male",1107
"Machinery Operators and Drivers","Ohariu","North Island general electorates","Male",648
"Labourers","Ohariu","North Island general electorates","Male",849
"Not Elsewhere Included(4)","Ohariu","North Island general electorates","Male",891
"Managers","Otaki","North Island general electorates","Male",2889
"Professionals","Otaki","North Island general electorates","Male",2001
"Technicians and Trades Workers","Otaki","North Island general electorates","Male",2403
"Community and Personal Service Workers","Otaki","North Island general electorates","Male",717
"Clerical and Administrative Workers","Otaki","North Island general electorates","Male",564
"Sales Workers","Otaki","North Island general electorates","Male",909
"Machinery Operators and Drivers","Otaki","North Island general electorates","Male",1008
"Labourers","Otaki","North Island general electorates","Male",1797
"Not Elsewhere Included(4)","Otaki","North Island general electorates","Male",855
"Managers","Pakuranga","North Island general electorates","Male",3732
"Professionals","Pakuranga","North Island general electorates","Male",3201
"Technicians and Trades Workers","Pakuranga","North Island general electorates","Male",2874
"Community and Personal Service Workers","Pakuranga","North Island general electorates","Male",687
"Clerical and Administrative Workers","Pakuranga","North Island general electorates","Male",954
"Sales Workers","Pakuranga","North Island general electorates","Male",1407
"Machinery Operators and Drivers","Pakuranga","North Island general electorates","Male",1011
"Labourers","Pakuranga","North Island general electorates","Male",1089
"Not Elsewhere Included(4)","Pakuranga","North Island general electorates","Male",723
"Managers","Palmerston North","North Island general electorates","Male",2436
"Professionals","Palmerston North","North Island general electorates","Male",2844
"Technicians and Trades Workers","Palmerston North","North Island general electorates","Male",2643
"Community and Personal Service Workers","Palmerston North","North Island general electorates","Male",1233
"Clerical and Administrative Workers","Palmerston North","North Island general electorates","Male",903
"Sales Workers","Palmerston North","North Island general electorates","Male",1290
"Machinery Operators and Drivers","Palmerston North","North Island general electorates","Male",1407
"Labourers","Palmerston North","North Island general electorates","Male",1776
"Not Elsewhere Included(4)","Palmerston North","North Island general electorates","Male",879
"Managers","Papakura","North Island general electorates","Male",3333
"Professionals","Papakura","North Island general electorates","Male",2124
"Technicians and Trades Workers","Papakura","North Island general electorates","Male",3105
"Community and Personal Service Workers","Papakura","North Island general electorates","Male",786
"Clerical and Administrative Workers","Papakura","North Island general electorates","Male",996
"Sales Workers","Papakura","North Island general electorates","Male",1245
"Machinery Operators and Drivers","Papakura","North Island general electorates","Male",2175
"Labourers","Papakura","North Island general electorates","Male",1941
"Not Elsewhere Included(4)","Papakura","North Island general electorates","Male",1101
"Managers","Rangitikei","North Island general electorates","Male",4416
"Professionals","Rangitikei","North Island general electorates","Male",1911
"Technicians and Trades Workers","Rangitikei","North Island general electorates","Male",2955
"Community and Personal Service Workers","Rangitikei","North Island general electorates","Male",1356
"Clerical and Administrative Workers","Rangitikei","North Island general electorates","Male",597
"Sales Workers","Rangitikei","North Island general electorates","Male",930
"Machinery Operators and Drivers","Rangitikei","North Island general electorates","Male",1749
"Labourers","Rangitikei","North Island general electorates","Male",3009
"Not Elsewhere Included(4)","Rangitikei","North Island general electorates","Male",1059
"Managers","Rimutaka","North Island general electorates","Male",2682
"Professionals","Rimutaka","North Island general electorates","Male",2673
"Technicians and Trades Workers","Rimutaka","North Island general electorates","Male",3321
"Community and Personal Service Workers","Rimutaka","North Island general electorates","Male",1176
"Clerical and Administrative Workers","Rimutaka","North Island general electorates","Male",1074
"Sales Workers","Rimutaka","North Island general electorates","Male",1200
"Machinery Operators and Drivers","Rimutaka","North Island general electorates","Male",1518
"Labourers","Rimutaka","North Island general electorates","Male",1689
"Not Elsewhere Included(4)","Rimutaka","North Island general electorates","Male",996
"Managers","Rodney","North Island general electorates","Male",3726
"Professionals","Rodney","North Island general electorates","Male",2553
"Technicians and Trades Workers","Rodney","North Island general electorates","Male",2955
"Community and Personal Service Workers","Rodney","North Island general electorates","Male",741
"Clerical and Administrative Workers","Rodney","North Island general electorates","Male",651
"Sales Workers","Rodney","North Island general electorates","Male",1239
"Machinery Operators and Drivers","Rodney","North Island general electorates","Male",912
"Labourers","Rodney","North Island general electorates","Male",1551
"Not Elsewhere Included(4)","Rodney","North Island general electorates","Male",612
"Managers","Rongotai","North Island general electorates","Male",3120
"Professionals","Rongotai","North Island general electorates","Male",5490
"Technicians and Trades Workers","Rongotai","North Island general electorates","Male",2283
"Community and Personal Service Workers","Rongotai","North Island general electorates","Male",930
"Clerical and Administrative Workers","Rongotai","North Island general electorates","Male",1050
"Sales Workers","Rongotai","North Island general electorates","Male",1209
"Machinery Operators and Drivers","Rongotai","North Island general electorates","Male",795
"Labourers","Rongotai","North Island general electorates","Male",1155
"Not Elsewhere Included(4)","Rongotai","North Island general electorates","Male",921
"Managers","Rotorua","North Island general electorates","Male",3729
"Professionals","Rotorua","North Island general electorates","Male",2124
"Technicians and Trades Workers","Rotorua","North Island general electorates","Male",3147
"Community and Personal Service Workers","Rotorua","North Island general electorates","Male",975
"Clerical and Administrative Workers","Rotorua","North Island general electorates","Male",654
"Sales Workers","Rotorua","North Island general electorates","Male",1059
"Machinery Operators and Drivers","Rotorua","North Island general electorates","Male",1917
"Labourers","Rotorua","North Island general electorates","Male",2823
"Not Elsewhere Included(4)","Rotorua","North Island general electorates","Male",1056
"Managers","Tamaki","North Island general electorates","Male",4512
"Professionals","Tamaki","North Island general electorates","Male",4596
"Technicians and Trades Workers","Tamaki","North Island general electorates","Male",1341
"Community and Personal Service Workers","Tamaki","North Island general electorates","Male",669
"Clerical and Administrative Workers","Tamaki","North Island general electorates","Male",738
"Sales Workers","Tamaki","North Island general electorates","Male",1170
"Machinery Operators and Drivers","Tamaki","North Island general electorates","Male",480
"Labourers","Tamaki","North Island general electorates","Male",663
"Not Elsewhere Included(4)","Tamaki","North Island general electorates","Male",648
"Managers","Taranaki-King Country","North Island general electorates","Male",5418
"Professionals","Taranaki-King Country","North Island general electorates","Male",1749
"Technicians and Trades Workers","Taranaki-King Country","North Island general electorates","Male",3015
"Community and Personal Service Workers","Taranaki-King Country","North Island general electorates","Male",696
"Clerical and Administrative Workers","Taranaki-King Country","North Island general electorates","Male",564
"Sales Workers","Taranaki-King Country","North Island general electorates","Male",804
"Machinery Operators and Drivers","Taranaki-King Country","North Island general electorates","Male",1701
"Labourers","Taranaki-King Country","North Island general electorates","Male",3054
"Not Elsewhere Included(4)","Taranaki-King Country","North Island general electorates","Male",1005
"Managers","Taupo","North Island general electorates","Male",4317
"Professionals","Taupo","North Island general electorates","Male",1992
"Technicians and Trades Workers","Taupo","North Island general electorates","Male",3318
"Community and Personal Service Workers","Taupo","North Island general electorates","Male",1005
"Clerical and Administrative Workers","Taupo","North Island general electorates","Male",501
"Sales Workers","Taupo","North Island general electorates","Male",987
"Machinery Operators and Drivers","Taupo","North Island general electorates","Male",1902
"Labourers","Taupo","North Island general electorates","Male",3153
"Not Elsewhere Included(4)","Taupo","North Island general electorates","Male",957
"Managers","Tauranga","North Island general electorates","Male",3003
"Professionals","Tauranga","North Island general electorates","Male",2538
"Technicians and Trades Workers","Tauranga","North Island general electorates","Male",2712
"Community and Personal Service Workers","Tauranga","North Island general electorates","Male",699
"Clerical and Administrative Workers","Tauranga","North Island general electorates","Male",675
"Sales Workers","Tauranga","North Island general electorates","Male",1188
"Machinery Operators and Drivers","Tauranga","North Island general electorates","Male",1221
"Labourers","Tauranga","North Island general electorates","Male",1905
"Not Elsewhere Included(4)","Tauranga","North Island general electorates","Male",663
"Managers","Te Atatu","North Island general electorates","Male",2505
"Professionals","Te Atatu","North Island general electorates","Male",2508
"Technicians and Trades Workers","Te Atatu","North Island general electorates","Male",3075
"Community and Personal Service Workers","Te Atatu","North Island general electorates","Male",840
"Clerical and Administrative Workers","Te Atatu","North Island general electorates","Male",957
"Sales Workers","Te Atatu","North Island general electorates","Male",1200
"Machinery Operators and Drivers","Te Atatu","North Island general electorates","Male",1437
"Labourers","Te Atatu","North Island general electorates","Male",1620
"Not Elsewhere Included(4)","Te Atatu","North Island general electorates","Male",897
"Managers","Tukituki","North Island general electorates","Male",3606
"Professionals","Tukituki","North Island general electorates","Male",2139
"Technicians and Trades Workers","Tukituki","North Island general electorates","Male",2733
"Community and Personal Service Workers","Tukituki","North Island general electorates","Male",801
"Clerical and Administrative Workers","Tukituki","North Island general electorates","Male",546
"Sales Workers","Tukituki","North Island general electorates","Male",924
"Machinery Operators and Drivers","Tukituki","North Island general electorates","Male",1566
"Labourers","Tukituki","North Island general electorates","Male",3693
"Not Elsewhere Included(4)","Tukituki","North Island general electorates","Male",1140
"Managers","Upper Harbour","North Island general electorates","Male",3420
"Professionals","Upper Harbour","North Island general electorates","Male",3024
"Technicians and Trades Workers","Upper Harbour","North Island general electorates","Male",3411
"Community and Personal Service Workers","Upper Harbour","North Island general electorates","Male",1023
"Clerical and Administrative Workers","Upper Harbour","North Island general electorates","Male",1011
"Sales Workers","Upper Harbour","North Island general electorates","Male",1359
"Machinery Operators and Drivers","Upper Harbour","North Island general electorates","Male",1185
"Labourers","Upper Harbour","North Island general electorates","Male",1464
"Not Elsewhere Included(4)","Upper Harbour","North Island general electorates","Male",807
"Managers","Waikato","North Island general electorates","Male",5334
"Professionals","Waikato","North Island general electorates","Male",1875
"Technicians and Trades Workers","Waikato","North Island general electorates","Male",3162
"Community and Personal Service Workers","Waikato","North Island general electorates","Male",618
"Clerical and Administrative Workers","Waikato","North Island general electorates","Male",549
"Sales Workers","Waikato","North Island general electorates","Male",897
"Machinery Operators and Drivers","Waikato","North Island general electorates","Male",2085
"Labourers","Waikato","North Island general electorates","Male",2946
"Not Elsewhere Included(4)","Waikato","North Island general electorates","Male",1062
"Managers","Wairarapa","North Island general electorates","Male",4533
"Professionals","Wairarapa","North Island general electorates","Male",1740
"Technicians and Trades Workers","Wairarapa","North Island general electorates","Male",2685
"Community and Personal Service Workers","Wairarapa","North Island general electorates","Male",570
"Clerical and Administrative Workers","Wairarapa","North Island general electorates","Male",510
"Sales Workers","Wairarapa","North Island general electorates","Male",897
"Machinery Operators and Drivers","Wairarapa","North Island general electorates","Male",1575
"Labourers","Wairarapa","North Island general electorates","Male",3459
"Not Elsewhere Included(4)","Wairarapa","North Island general electorates","Male",927
"Managers","Wellington Central","North Island general electorates","Male",3165
"Professionals","Wellington Central","North Island general electorates","Male",7419
"Technicians and Trades Workers","Wellington Central","North Island general electorates","Male",1749
"Community and Personal Service Workers","Wellington Central","North Island general electorates","Male",1236
"Clerical and Administrative Workers","Wellington Central","North Island general electorates","Male",1428
"Sales Workers","Wellington Central","North Island general electorates","Male",1284
"Machinery Operators and Drivers","Wellington Central","North Island general electorates","Male",327
"Labourers","Wellington Central","North Island general electorates","Male",945
"Not Elsewhere Included(4)","Wellington Central","North Island general electorates","Male",1041
"Managers","Whanganui","North Island general electorates","Male",3564
"Professionals","Whanganui","North Island general electorates","Male",1692
"Technicians and Trades Workers","Whanganui","North Island general electorates","Male",2901
"Community and Personal Service Workers","Whanganui","North Island general electorates","Male",771
"Clerical and Administrative Workers","Whanganui","North Island general electorates","Male",531
"Sales Workers","Whanganui","North Island general electorates","Male",828
"Machinery Operators and Drivers","Whanganui","North Island general electorates","Male",1524
"Labourers","Whanganui","North Island general electorates","Male",3522
"Not Elsewhere Included(4)","Whanganui","North Island general electorates","Male",1332
"Managers","Whangarei","North Island general electorates","Male",3012
"Professionals","Whangarei","North Island general electorates","Male",2316
"Technicians and Trades Workers","Whangarei","North Island general electorates","Male",3171
"Community and Personal Service Workers","Whangarei","North Island general electorates","Male",828
"Clerical and Administrative Workers","Whangarei","North Island general electorates","Male",582
"Sales Workers","Whangarei","North Island general electorates","Male",1014
"Machinery Operators and Drivers","Whangarei","North Island general electorates","Male",1545
"Labourers","Whangarei","North Island general electorates","Male",2304
"Not Elsewhere Included(4)","Whangarei","North Island general electorates","Male",900
"Managers","Christchurch Central","South Island general electorates","Male",3099
"Professionals","Christchurch Central","South Island general electorates","Male",3444
"Technicians and Trades Workers","Christchurch Central","South Island general electorates","Male",3948
"Community and Personal Service Workers","Christchurch Central","South Island general electorates","Male",963
"Clerical and Administrative Workers","Christchurch Central","South Island general electorates","Male",939
"Sales Workers","Christchurch Central","South Island general electorates","Male",1323
"Machinery Operators and Drivers","Christchurch Central","South Island general electorates","Male",1557
"Labourers","Christchurch Central","South Island general electorates","Male",2196
"Not Elsewhere Included(4)","Christchurch Central","South Island general electorates","Male",954
"Managers","Christchurch East","South Island general electorates","Male",2742
"Professionals","Christchurch East","South Island general electorates","Male",2199
"Technicians and Trades Workers","Christchurch East","South Island general electorates","Male",4374
"Community and Personal Service Workers","Christchurch East","South Island general electorates","Male",765
"Clerical and Administrative Workers","Christchurch East","South Island general electorates","Male",861
"Sales Workers","Christchurch East","South Island general electorates","Male",1152
"Machinery Operators and Drivers","Christchurch East","South Island general electorates","Male",1737
"Labourers","Christchurch East","South Island general electorates","Male",2259
"Not Elsewhere Included(4)","Christchurch East","South Island general electorates","Male",822
"Managers","Clutha-Southland","South Island general electorates","Male",5850
"Professionals","Clutha-Southland","South Island general electorates","Male",1710
"Technicians and Trades Workers","Clutha-Southland","South Island general electorates","Male",3405
"Community and Personal Service Workers","Clutha-Southland","South Island general electorates","Male",930
"Clerical and Administrative Workers","Clutha-Southland","South Island general electorates","Male",432
"Sales Workers","Clutha-Southland","South Island general electorates","Male",846
"Machinery Operators and Drivers","Clutha-Southland","South Island general electorates","Male",1989
"Labourers","Clutha-Southland","South Island general electorates","Male",3708
"Not Elsewhere Included(4)","Clutha-Southland","South Island general electorates","Male",984
