"level0","level1","level2","Family type and number of dependent children in family(1)","count"
"No dependent children(3)","Napier","North Island general electorates","Couple with child(ren)",3411
"One dependent child","Napier","North Island general electorates","Couple with child(ren)",6567
"Two dependent children","Napier","North Island general electorates","Couple with child(ren)",9300
"Three dependent children","Napier","North Island general electorates","Couple with child(ren)",4818
"Four or more dependent children","Napier","North Island general electorates","Couple with child(ren)",2337
"Number of dependent children unknown","Napier","North Island general electorates","Couple with child(ren)",504
"No dependent children(3)","New Lynn","North Island general electorates","Couple with child(ren)",6174
"One dependent child","New Lynn","North Island general electorates","Couple with child(ren)",8592
"Two dependent children","New Lynn","North Island general electorates","Couple with child(ren)",9945
"Three dependent children","New Lynn","North Island general electorates","Couple with child(ren)",3363
"Four or more dependent children","New Lynn","North Island general electorates","Couple with child(ren)",1776
"Number of dependent children unknown","New Lynn","North Island general electorates","Couple with child(ren)",159
"No dependent children(3)","New Plymouth","North Island general electorates","Couple with child(ren)",3687
"One dependent child","New Plymouth","North Island general electorates","Couple with child(ren)",7014
"Two dependent children","New Plymouth","North Island general electorates","Couple with child(ren)",10212
"Three dependent children","New Plymouth","North Island general electorates","Couple with child(ren)",4932
"Four or more dependent children","New Plymouth","North Island general electorates","Couple with child(ren)",2076
"Number of dependent children unknown","New Plymouth","North Island general electorates","Couple with child(ren)",378
"No dependent children(3)","North Shore","North Island general electorates","Couple with child(ren)",6618
"One dependent child","North Shore","North Island general electorates","Couple with child(ren)",8451
"Two dependent children","North Shore","North Island general electorates","Couple with child(ren)",11865
"Three dependent children","North Shore","North Island general electorates","Couple with child(ren)",4509
"Four or more dependent children","North Shore","North Island general electorates","Couple with child(ren)",1029
"Number of dependent children unknown","North Shore","North Island general electorates","Couple with child(ren)",264
"No dependent children(3)","Northcote","North Island general electorates","Couple with child(ren)",5607
"One dependent child","Northcote","North Island general electorates","Couple with child(ren)",8757
"Two dependent children","Northcote","North Island general electorates","Couple with child(ren)",10824
"Three dependent children","Northcote","North Island general electorates","Couple with child(ren)",3852
"Four or more dependent children","Northcote","North Island general electorates","Couple with child(ren)",1401
"Number of dependent children unknown","Northcote","North Island general electorates","Couple with child(ren)",189
"No dependent children(3)","Northland","North Island general electorates","Couple with child(ren)",3819
"One dependent child","Northland","North Island general electorates","Couple with child(ren)",6930
"Two dependent children","Northland","North Island general electorates","Couple with child(ren)",9369
"Three dependent children","Northland","North Island general electorates","Couple with child(ren)",5706
"Four or more dependent children","Northland","North Island general electorates","Couple with child(ren)",4239
"Number of dependent children unknown","Northland","North Island general electorates","Couple with child(ren)",684
"No dependent children(3)","Ohariu","North Island general electorates","Couple with child(ren)",4767
"One dependent child","Ohariu","North Island general electorates","Couple with child(ren)",8832
"Two dependent children","Ohariu","North Island general electorates","Couple with child(ren)",12843
"Three dependent children","Ohariu","North Island general electorates","Couple with child(ren)",4743
"Four or more dependent children","Ohariu","North Island general electorates","Couple with child(ren)",1362
"Number of dependent children unknown","Ohariu","North Island general electorates","Couple with child(ren)",168
"No dependent children(3)","Otaki","North Island general electorates","Couple with child(ren)",3147
"One dependent child","Otaki","North Island general electorates","Couple with child(ren)",5403
"Two dependent children","Otaki","North Island general electorates","Couple with child(ren)",7359
"Three dependent children","Otaki","North Island general electorates","Couple with child(ren)",3936
"Four or more dependent children","Otaki","North Island general electorates","Couple with child(ren)",2073
"Number of dependent children unknown","Otaki","North Island general electorates","Couple with child(ren)",342
"No dependent children(3)","Pakuranga","North Island general electorates","Couple with child(ren)",7164
"One dependent child","Pakuranga","North Island general electorates","Couple with child(ren)",9114
"Two dependent children","Pakuranga","North Island general electorates","Couple with child(ren)",11958
"Three dependent children","Pakuranga","North Island general electorates","Couple with child(ren)",3963
"Four or more dependent children","Pakuranga","North Island general electorates","Couple with child(ren)",1338
"Number of dependent children unknown","Pakuranga","North Island general electorates","Couple with child(ren)",162
"No dependent children(3)","Palmerston North","North Island general electorates","Couple with child(ren)",3165
"One dependent child","Palmerston North","North Island general electorates","Couple with child(ren)",6480
"Two dependent children","Palmerston North","North Island general electorates","Couple with child(ren)",8817
"Three dependent children","Palmerston North","North Island general electorates","Couple with child(ren)",4158
"Four or more dependent children","Palmerston North","North Island general electorates","Couple with child(ren)",2100
"Number of dependent children unknown","Palmerston North","North Island general electorates","Couple with child(ren)",228
"No dependent children(3)","Papakura","North Island general electorates","Couple with child(ren)",6237
"One dependent child","Papakura","North Island general electorates","Couple with child(ren)",8355
"Two dependent children","Papakura","North Island general electorates","Couple with child(ren)",11019
"Three dependent children","Papakura","North Island general electorates","Couple with child(ren)",4935
"Four or more dependent children","Papakura","North Island general electorates","Couple with child(ren)",3663
"Number of dependent children unknown","Papakura","North Island general electorates","Couple with child(ren)",372
"No dependent children(3)","Rangitikei","North Island general electorates","Couple with child(ren)",3615
"One dependent child","Rangitikei","North Island general electorates","Couple with child(ren)",6984
"Two dependent children","Rangitikei","North Island general electorates","Couple with child(ren)",9990
"Three dependent children","Rangitikei","North Island general electorates","Couple with child(ren)",5394
"Four or more dependent children","Rangitikei","North Island general electorates","Couple with child(ren)",3198
"Number of dependent children unknown","Rangitikei","North Island general electorates","Couple with child(ren)",759
"No dependent children(3)","Rimutaka","North Island general electorates","Couple with child(ren)",4899
"One dependent child","Rimutaka","North Island general electorates","Couple with child(ren)",7956
"Two dependent children","Rimutaka","North Island general electorates","Couple with child(ren)",10377
"Three dependent children","Rimutaka","North Island general electorates","Couple with child(ren)",4737
"Four or more dependent children","Rimutaka","North Island general electorates","Couple with child(ren)",2451
"Number of dependent children unknown","Rimutaka","North Island general electorates","Couple with child(ren)",276
"No dependent children(3)","Rodney","North Island general electorates","Couple with child(ren)",4275
"One dependent child","Rodney","North Island general electorates","Couple with child(ren)",6915
"Two dependent children","Rodney","North Island general electorates","Couple with child(ren)",10353
"Three dependent children","Rodney","North Island general electorates","Couple with child(ren)",4434
"Four or more dependent children","Rodney","North Island general electorates","Couple with child(ren)",1464
"Number of dependent children unknown","Rodney","North Island general electorates","Couple with child(ren)",246
"No dependent children(3)","Rongotai","North Island general electorates","Couple with child(ren)",4155
"One dependent child","Rongotai","North Island general electorates","Couple with child(ren)",7704
"Two dependent children","Rongotai","North Island general electorates","Couple with child(ren)",10119
"Three dependent children","Rongotai","North Island general electorates","Couple with child(ren)",3948
"Four or more dependent children","Rongotai","North Island general electorates","Couple with child(ren)",1224
"Number of dependent children unknown","Rongotai","North Island general electorates","Couple with child(ren)",240
"No dependent children(3)","Rotorua","North Island general electorates","Couple with child(ren)",3543
"One dependent child","Rotorua","North Island general electorates","Couple with child(ren)",7335
"Two dependent children","Rotorua","North Island general electorates","Couple with child(ren)",10572
"Three dependent children","Rotorua","North Island general electorates","Couple with child(ren)",5343
"Four or more dependent children","Rotorua","North Island general electorates","Couple with child(ren)",3243
"Number of dependent children unknown","Rotorua","North Island general electorates","Couple with child(ren)",477
"No dependent children(3)","Tamaki","North Island general electorates","Couple with child(ren)",5361
"One dependent child","Tamaki","North Island general electorates","Couple with child(ren)",6825
"Two dependent children","Tamaki","North Island general electorates","Couple with child(ren)",10962
"Three dependent children","Tamaki","North Island general electorates","Couple with child(ren)",4434
"Four or more dependent children","Tamaki","North Island general electorates","Couple with child(ren)",1350
"Number of dependent children unknown","Tamaki","North Island general electorates","Couple with child(ren)",219
"No dependent children(3)","Taranaki-King Country","North Island general electorates","Couple with child(ren)",3816
"One dependent child","Taranaki-King Country","North Island general electorates","Couple with child(ren)",6831
"Two dependent children","Taranaki-King Country","North Island general electorates","Couple with child(ren)",10428
"Three dependent children","Taranaki-King Country","North Island general electorates","Couple with child(ren)",5919
"Four or more dependent children","Taranaki-King Country","North Island general electorates","Couple with child(ren)",3315
"Number of dependent children unknown","Taranaki-King Country","North Island general electorates","Couple with child(ren)",798
"No dependent children(3)","Taupo","North Island general electorates","Couple with child(ren)",3684
"One dependent child","Taupo","North Island general electorates","Couple with child(ren)",7491
"Two dependent children","Taupo","North Island general electorates","Couple with child(ren)",10509
"Three dependent children","Taupo","North Island general electorates","Couple with child(ren)",5670
"Four or more dependent children","Taupo","North Island general electorates","Couple with child(ren)",3183
"Number of dependent children unknown","Taupo","North Island general electorates","Couple with child(ren)",588
"No dependent children(3)","Tauranga","North Island general electorates","Couple with child(ren)",2946
"One dependent child","Tauranga","North Island general electorates","Couple with child(ren)",5925
"Two dependent children","Tauranga","North Island general electorates","Couple with child(ren)",9102
"Three dependent children","Tauranga","North Island general electorates","Couple with child(ren)",4323
"Four or more dependent children","Tauranga","North Island general electorates","Couple with child(ren)",1584
"Number of dependent children unknown","Tauranga","North Island general electorates","Couple with child(ren)",207
"No dependent children(3)","Te Atatu","North Island general electorates","Couple with child(ren)",5871
"One dependent child","Te Atatu","North Island general electorates","Couple with child(ren)",9183
"Two dependent children","Te Atatu","North Island general electorates","Couple with child(ren)",10917
"Three dependent children","Te Atatu","North Island general electorates","Couple with child(ren)",4464
"Four or more dependent children","Te Atatu","North Island general electorates","Couple with child(ren)",2847
"Number of dependent children unknown","Te Atatu","North Island general electorates","Couple with child(ren)",240
"No dependent children(3)","Tukituki","North Island general electorates","Couple with child(ren)",3813
"One dependent child","Tukituki","North Island general electorates","Couple with child(ren)",6753
"Two dependent children","Tukituki","North Island general electorates","Couple with child(ren)",10383
"Three dependent children","Tukituki","North Island general electorates","Couple with child(ren)",5784
"Four or more dependent children","Tukituki","North Island general electorates","Couple with child(ren)",3210
"Number of dependent children unknown","Tukituki","North Island general electorates","Couple with child(ren)",573
"No dependent children(3)","Upper Harbour","North Island general electorates","Couple with child(ren)",6513
"One dependent child","Upper Harbour","North Island general electorates","Couple with child(ren)",9555
"Two dependent children","Upper Harbour","North Island general electorates","Couple with child(ren)",12111
"Three dependent children","Upper Harbour","North Island general electorates","Couple with child(ren)",4332
"Four or more dependent children","Upper Harbour","North Island general electorates","Couple with child(ren)",2334
"Number of dependent children unknown","Upper Harbour","North Island general electorates","Couple with child(ren)",249
"No dependent children(3)","Waikato","North Island general electorates","Couple with child(ren)",4593
"One dependent child","Waikato","North Island general electorates","Couple with child(ren)",7095
"Two dependent children","Waikato","North Island general electorates","Couple with child(ren)",11490
"Three dependent children","Waikato","North Island general electorates","Couple with child(ren)",6846
"Four or more dependent children","Waikato","North Island general electorates","Couple with child(ren)",3480
"Number of dependent children unknown","Waikato","North Island general electorates","Couple with child(ren)",552
"No dependent children(3)","Wairarapa","North Island general electorates","Couple with child(ren)",3144
"One dependent child","Wairarapa","North Island general electorates","Couple with child(ren)",6126
"Two dependent children","Wairarapa","North Island general electorates","Couple with child(ren)",8817
"Three dependent children","Wairarapa","North Island general electorates","Couple with child(ren)",5106
"Four or more dependent children","Wairarapa","North Island general electorates","Couple with child(ren)",2715
"Number of dependent children unknown","Wairarapa","North Island general electorates","Couple with child(ren)",768
"No dependent children(3)","Wellington Central","North Island general electorates","Couple with child(ren)",2514
"One dependent child","Wellington Central","North Island general electorates","Couple with child(ren)",5262
"Two dependent children","Wellington Central","North Island general electorates","Couple with child(ren)",6897
"Three dependent children","Wellington Central","North Island general electorates","Couple with child(ren)",2586
"Four or more dependent children","Wellington Central","North Island general electorates","Couple with child(ren)",588
"Number of dependent children unknown","Wellington Central","North Island general electorates","Couple with child(ren)",126
"No dependent children(3)","Whanganui","North Island general electorates","Couple with child(ren)",3321
"One dependent child","Whanganui","North Island general electorates","Couple with child(ren)",6426
"Two dependent children","Whanganui","North Island general electorates","Couple with child(ren)",8883
"Three dependent children","Whanganui","North Island general electorates","Couple with child(ren)",4983
"Four or more dependent children","Whanganui","North Island general electorates","Couple with child(ren)",2970
"Number of dependent children unknown","Whanganui","North Island general electorates","Couple with child(ren)",654
"No dependent children(3)","Whangarei","North Island general electorates","Couple with child(ren)",3528
"One dependent child","Whangarei","North Island general electorates","Couple with child(ren)",6633
"Two dependent children","Whangarei","North Island general electorates","Couple with child(ren)",9885
"Three dependent children","Whangarei","North Island general electorates","Couple with child(ren)",4728
"Four or more dependent children","Whangarei","North Island general electorates","Couple with child(ren)",2781
"Number of dependent children unknown","Whangarei","North Island general electorates","Couple with child(ren)",459
"No dependent children(3)","Christchurch Central","South Island general electorates","Couple with child(ren)",3150
"One dependent child","Christchurch Central","South Island general electorates","Couple with child(ren)",6252
"Two dependent children","Christchurch Central","South Island general electorates","Couple with child(ren)",8028
"Three dependent children","Christchurch Central","South Island general electorates","Couple with child(ren)",3135
"Four or more dependent children","Christchurch Central","South Island general electorates","Couple with child(ren)",1089
"Number of dependent children unknown","Christchurch Central","South Island general electorates","Couple with child(ren)",192
"No dependent children(3)","Christchurch East","South Island general electorates","Couple with child(ren)",4338
"One dependent child","Christchurch East","South Island general electorates","Couple with child(ren)",6984
"Two dependent children","Christchurch East","South Island general electorates","Couple with child(ren)",9945
"Three dependent children","Christchurch East","South Island general electorates","Couple with child(ren)",3786
"Four or more dependent children","Christchurch East","South Island general electorates","Couple with child(ren)",1725
"Number of dependent children unknown","Christchurch East","South Island general electorates","Couple with child(ren)",186
"No dependent children(3)","Clutha-Southland","South Island general electorates","Couple with child(ren)",2868
"One dependent child","Clutha-Southland","South Island general electorates","Couple with child(ren)",6918
"Two dependent children","Clutha-Southland","South Island general electorates","Couple with child(ren)",10266
"Three dependent children","Clutha-Southland","South Island general electorates","Couple with child(ren)",5766
"Four or more dependent children","Clutha-Southland","South Island general electorates","Couple with child(ren)",1899
"Number of dependent children unknown","Clutha-Southland","South Island general electorates","Couple with child(ren)",858
"No dependent children(3)","Dunedin North","South Island general electorates","Couple with child(ren)",2691
"One dependent child","Dunedin North","South Island general electorates","Couple with child(ren)",5079
"Two dependent children","Dunedin North","South Island general electorates","Couple with child(ren)",6762
"Three dependent children","Dunedin North","South Island general electorates","Couple with child(ren)",2889
"Four or more dependent children","Dunedin North","South Island general electorates","Couple with child(ren)",1128
"Number of dependent children unknown","Dunedin North","South Island general electorates","Couple with child(ren)",249
"No dependent children(3)","Dunedin South","South Island general electorates","Couple with child(ren)",4008
"One dependent child","Dunedin South","South Island general electorates","Couple with child(ren)",6498
"Two dependent children","Dunedin South","South Island general electorates","Couple with child(ren)",9414
"Three dependent children","Dunedin South","South Island general electorates","Couple with child(ren)",4152
"Four or more dependent children","Dunedin South","South Island general electorates","Couple with child(ren)",1383
"Number of dependent children unknown","Dunedin South","South Island general electorates","Couple with child(ren)",327
"No dependent children(3)","Ilam","South Island general electorates","Couple with child(ren)",4824
"One dependent child","Ilam","South Island general electorates","Couple with child(ren)",6387
"Two dependent children","Ilam","South Island general electorates","Couple with child(ren)",9351
"Three dependent children","Ilam","South Island general electorates","Couple with child(ren)",4020
"Four or more dependent children","Ilam","South Island general electorates","Couple with child(ren)",1404
"Number of dependent children unknown","Ilam","South Island general electorates","Couple with child(ren)",300
"No dependent children(3)","Invercargill","South Island general electorates","Couple with child(ren)",3273
"One dependent child","Invercargill","South Island general electorates","Couple with child(ren)",6666
"Two dependent children","Invercargill","South Island general electorates","Couple with child(ren)",9603
"Three dependent children","Invercargill","South Island general electorates","Couple with child(ren)",4881
"Four or more dependent children","Invercargill","South Island general electorates","Couple with child(ren)",2076
"Number of dependent children unknown","Invercargill","South Island general electorates","Couple with child(ren)",324
"No dependent children(3)","Kaikoura","South Island general electorates","Couple with child(ren)",3198
"One dependent child","Kaikoura","South Island general electorates","Couple with child(ren)",5919
"Two dependent children","Kaikoura","South Island general electorates","Couple with child(ren)",9330
"Three dependent children","Kaikoura","South Island general electorates","Couple with child(ren)",4410
"Four or more dependent children","Kaikoura","South Island general electorates","Couple with child(ren)",1839
"Number of dependent children unknown","Kaikoura","South Island general electorates","Couple with child(ren)",804
"No dependent children(3)","Nelson","South Island general electorates","Couple with child(ren)",3192
"One dependent child","Nelson","South Island general electorates","Couple with child(ren)",6462
"Two dependent children","Nelson","South Island general electorates","Couple with child(ren)",10092
"Three dependent children","Nelson","South Island general electorates","Couple with child(ren)",4425
"Four or more dependent children","Nelson","South Island general electorates","Couple with child(ren)",1566
"Number of dependent children unknown","Nelson","South Island general electorates","Couple with child(ren)",216
"No dependent children(3)","Port Hills","South Island general electorates","Couple with child(ren)",4608
"One dependent child","Port Hills","South Island general electorates","Couple with child(ren)",6957
"Two dependent children","Port Hills","South Island general electorates","Couple with child(ren)",11193
"Three dependent children","Port Hills","South Island general electorates","Couple with child(ren)",4323
"Four or more dependent children","Port Hills","South Island general electorates","Couple with child(ren)",1350
"Number of dependent children unknown","Port Hills","South Island general electorates","Couple with child(ren)",267
"No dependent children(3)","Rangitata","South Island general electorates","Couple with child(ren)",3210
"One dependent child","Rangitata","South Island general electorates","Couple with child(ren)",6651
"Two dependent children","Rangitata","South Island general electorates","Couple with child(ren)",9492
"Three dependent children","Rangitata","South Island general electorates","Couple with child(ren)",4842
"Four or more dependent children","Rangitata","South Island general electorates","Couple with child(ren)",2094
"Number of dependent children unknown","Rangitata","South Island general electorates","Couple with child(ren)",402
"No dependent children(3)","Selwyn","South Island general electorates","Couple with child(ren)",4353
"One dependent child","Selwyn","South Island general electorates","Couple with child(ren)",7224
"Two dependent children","Selwyn","South Island general electorates","Couple with child(ren)",11646
"Three dependent children","Selwyn","South Island general electorates","Couple with child(ren)",5604
"Four or more dependent children","Selwyn","South Island general electorates","Couple with child(ren)",1842
"Number of dependent children unknown","Selwyn","South Island general electorates","Couple with child(ren)",453
"No dependent children(3)","Waimakariri","South Island general electorates","Couple with child(ren)",4740
"One dependent child","Waimakariri","South Island general electorates","Couple with child(ren)",6420
"Two dependent children","Waimakariri","South Island general electorates","Couple with child(ren)",10731
"Three dependent children","Waimakariri","South Island general electorates","Couple with child(ren)",4608
"Four or more dependent children","Waimakariri","South Island general electorates","Couple with child(ren)",1776
"Number of dependent children unknown","Waimakariri","South Island general electorates","Couple with child(ren)",315
"No dependent children(3)","Waitaki","South Island general electorates","Couple with child(ren)",2775
"One dependent child","Waitaki","South Island general electorates","Couple with child(ren)",5655
"Two dependent children","Waitaki","South Island general electorates","Couple with child(ren)",9879
"Three dependent children","Waitaki","South Island general electorates","Couple with child(ren)",4971
"Four or more dependent children","Waitaki","South Island general electorates","Couple with child(ren)",1980
"Number of dependent children unknown","Waitaki","South Island general electorates","Couple with child(ren)",795
"No dependent children(3)","West Coast-Tasman","South Island general electorates","Couple with child(ren)",3054
"One dependent child","West Coast-Tasman","South Island general electorates","Couple with child(ren)",6300
"Two dependent children","West Coast-Tasman","South Island general electorates","Couple with child(ren)",9078
"Three dependent children","West Coast-Tasman","South Island general electorates","Couple with child(ren)",4269
"Four or more dependent children","West Coast-Tasman","South Island general electorates","Couple with child(ren)",2004
"Number of dependent children unknown","West Coast-Tasman","South Island general electorates","Couple with child(ren)",426
"No dependent children(3)","Wigram","South Island general electorates","Couple with child(ren)",3645
"One dependent child","Wigram","South Island general electorates","Couple with child(ren)",6297
"Two dependent children","Wigram","South Island general electorates","Couple with child(ren)",7320
"Three dependent children","Wigram","South Island general electorates","Couple with child(ren)",3141
"Four or more dependent children","Wigram","South Island general electorates","Couple with child(ren)",1374
"Number of dependent children unknown","Wigram","South Island general electorates","Couple with child(ren)",153
