"level0","level1","level2","Years at usual residence","count"
"Male","20–24 Years","Ikaroa-Rāwhiti","Less than 1 Year",1131
"Female","20–24 Years","Ikaroa-Rāwhiti","Less than 1 Year",1578
"Male","25–29 Years","Ikaroa-Rāwhiti","Less than 1 Year",828
"Female","25–29 Years","Ikaroa-Rāwhiti","Less than 1 Year",1116
"Male","30–34 Years","Ikaroa-Rāwhiti","Less than 1 Year",612
"Female","30–34 Years","Ikaroa-Rāwhiti","Less than 1 Year",780
"Male","35–39 Years","Ikaroa-Rāwhiti","Less than 1 Year",546
"Female","35–39 Years","Ikaroa-Rāwhiti","Less than 1 Year",582
"Male","40–44 Years","Ikaroa-Rāwhiti","Less than 1 Year",465
"Female","40–44 Years","Ikaroa-Rāwhiti","Less than 1 Year",573
"Male","45–49 Years","Ikaroa-Rāwhiti","Less than 1 Year",396
"Female","45–49 Years","Ikaroa-Rāwhiti","Less than 1 Year",405
"Male","50–54 Years","Ikaroa-Rāwhiti","Less than 1 Year",300
"Female","50–54 Years","Ikaroa-Rāwhiti","Less than 1 Year",360
"Male","55–59 Years","Ikaroa-Rāwhiti","Less than 1 Year",222
"Female","55–59 Years","Ikaroa-Rāwhiti","Less than 1 Year",264
"Male","60–64 Years","Ikaroa-Rāwhiti","Less than 1 Year",147
"Female","60–64 Years","Ikaroa-Rāwhiti","Less than 1 Year",147
"Male","65–69 Years","Ikaroa-Rāwhiti","Less than 1 Year",72
"Female","65–69 Years","Ikaroa-Rāwhiti","Less than 1 Year",90
"Male","70–74 Years","Ikaroa-Rāwhiti","Less than 1 Year",54
"Female","70–74 Years","Ikaroa-Rāwhiti","Less than 1 Year",57
"Male","75–79 Years","Ikaroa-Rāwhiti","Less than 1 Year",21
"Female","75–79 Years","Ikaroa-Rāwhiti","Less than 1 Year",33
"Male","80–84 Years","Ikaroa-Rāwhiti","Less than 1 Year",18
"Female","80–84 Years","Ikaroa-Rāwhiti","Less than 1 Year",18
"Male","85 Years And Over","Ikaroa-Rāwhiti","Less than 1 Year",6
"Female","85 Years And Over","Ikaroa-Rāwhiti","Less than 1 Year",9
"Male","0–4 Years","Tāmaki Makaurau","Less than 1 Year",2202
"Female","0–4 Years","Tāmaki Makaurau","Less than 1 Year",2058
"Male","5–9 Years","Tāmaki Makaurau","Less than 1 Year",1023
"Female","5–9 Years","Tāmaki Makaurau","Less than 1 Year",966
"Male","10–14 Years","Tāmaki Makaurau","Less than 1 Year",762
"Female","10–14 Years","Tāmaki Makaurau","Less than 1 Year",807
"Male","15–19 Years","Tāmaki Makaurau","Less than 1 Year",1032
"Female","15–19 Years","Tāmaki Makaurau","Less than 1 Year",1308
"Male","20–24 Years","Tāmaki Makaurau","Less than 1 Year",1311
"Female","20–24 Years","Tāmaki Makaurau","Less than 1 Year",1971
"Male","25–29 Years","Tāmaki Makaurau","Less than 1 Year",1050
"Female","25–29 Years","Tāmaki Makaurau","Less than 1 Year",1344
"Male","30–34 Years","Tāmaki Makaurau","Less than 1 Year",780
"Female","30–34 Years","Tāmaki Makaurau","Less than 1 Year",954
"Male","35–39 Years","Tāmaki Makaurau","Less than 1 Year",642
"Female","35–39 Years","Tāmaki Makaurau","Less than 1 Year",690
"Male","40–44 Years","Tāmaki Makaurau","Less than 1 Year",600
"Female","40–44 Years","Tāmaki Makaurau","Less than 1 Year",606
"Male","45–49 Years","Tāmaki Makaurau","Less than 1 Year",411
"Female","45–49 Years","Tāmaki Makaurau","Less than 1 Year",468
"Male","50–54 Years","Tāmaki Makaurau","Less than 1 Year",306
"Female","50–54 Years","Tāmaki Makaurau","Less than 1 Year",387
"Male","55–59 Years","Tāmaki Makaurau","Less than 1 Year",207
"Female","55–59 Years","Tāmaki Makaurau","Less than 1 Year",273
"Male","60–64 Years","Tāmaki Makaurau","Less than 1 Year",123
"Female","60–64 Years","Tāmaki Makaurau","Less than 1 Year",138
"Male","65–69 Years","Tāmaki Makaurau","Less than 1 Year",66
"Female","65–69 Years","Tāmaki Makaurau","Less than 1 Year",75
"Male","70–74 Years","Tāmaki Makaurau","Less than 1 Year",36
"Female","70–74 Years","Tāmaki Makaurau","Less than 1 Year",54
"Male","75–79 Years","Tāmaki Makaurau","Less than 1 Year",21
"Female","75–79 Years","Tāmaki Makaurau","Less than 1 Year",27
"Male","80–84 Years","Tāmaki Makaurau","Less than 1 Year",9
"Female","80–84 Years","Tāmaki Makaurau","Less than 1 Year",18
"Male","85 Years And Over","Tāmaki Makaurau","Less than 1 Year",3
"Female","85 Years And Over","Tāmaki Makaurau","Less than 1 Year",12
"Male","0–4 Years","Te Tai Hauāuru","Less than 1 Year",2769
"Female","0–4 Years","Te Tai Hauāuru","Less than 1 Year",2676
"Male","5–9 Years","Te Tai Hauāuru","Less than 1 Year",1401
"Female","5–9 Years","Te Tai Hauāuru","Less than 1 Year",1371
"Male","10–14 Years","Te Tai Hauāuru","Less than 1 Year",1140
"Female","10–14 Years","Te Tai Hauāuru","Less than 1 Year",1083
"Male","15–19 Years","Te Tai Hauāuru","Less than 1 Year",1317
"Female","15–19 Years","Te Tai Hauāuru","Less than 1 Year",1416
"Male","20–24 Years","Te Tai Hauāuru","Less than 1 Year",1578
"Female","20–24 Years","Te Tai Hauāuru","Less than 1 Year",2013
"Male","25–29 Years","Te Tai Hauāuru","Less than 1 Year",1044
"Female","25–29 Years","Te Tai Hauāuru","Less than 1 Year",1305
"Male","30–34 Years","Te Tai Hauāuru","Less than 1 Year",732
"Female","30–34 Years","Te Tai Hauāuru","Less than 1 Year",903
"Male","35–39 Years","Te Tai Hauāuru","Less than 1 Year",633
"Female","35–39 Years","Te Tai Hauāuru","Less than 1 Year",741
"Male","40–44 Years","Te Tai Hauāuru","Less than 1 Year",603
"Female","40–44 Years","Te Tai Hauāuru","Less than 1 Year",693
"Male","45–49 Years","Te Tai Hauāuru","Less than 1 Year",441
"Female","45–49 Years","Te Tai Hauāuru","Less than 1 Year",483
"Male","50–54 Years","Te Tai Hauāuru","Less than 1 Year",321
"Female","50–54 Years","Te Tai Hauāuru","Less than 1 Year",462
"Male","55–59 Years","Te Tai Hauāuru","Less than 1 Year",207
"Female","55–59 Years","Te Tai Hauāuru","Less than 1 Year",252
"Male","60–64 Years","Te Tai Hauāuru","Less than 1 Year",186
"Female","60–64 Years","Te Tai Hauāuru","Less than 1 Year",171
"Male","65–69 Years","Te Tai Hauāuru","Less than 1 Year",96
"Female","65–69 Years","Te Tai Hauāuru","Less than 1 Year",93
"Male","70–74 Years","Te Tai Hauāuru","Less than 1 Year",51
"Female","70–74 Years","Te Tai Hauāuru","Less than 1 Year",60
"Male","75–79 Years","Te Tai Hauāuru","Less than 1 Year",21
"Female","75–79 Years","Te Tai Hauāuru","Less than 1 Year",39
"Male","80–84 Years","Te Tai Hauāuru","Less than 1 Year",27
"Female","80–84 Years","Te Tai Hauāuru","Less than 1 Year",18
"Male","85 Years And Over","Te Tai Hauāuru","Less than 1 Year",12
"Female","85 Years And Over","Te Tai Hauāuru","Less than 1 Year",24
"Male","0–4 Years","Te Tai Tokerau","Less than 1 Year",2514
"Female","0–4 Years","Te Tai Tokerau","Less than 1 Year",2487
"Male","5–9 Years","Te Tai Tokerau","Less than 1 Year",1242
"Female","5–9 Years","Te Tai Tokerau","Less than 1 Year",1242
"Male","10–14 Years","Te Tai Tokerau","Less than 1 Year",1095
"Female","10–14 Years","Te Tai Tokerau","Less than 1 Year",942
"Male","15–19 Years","Te Tai Tokerau","Less than 1 Year",1065
"Female","15–19 Years","Te Tai Tokerau","Less than 1 Year",1254
"Male","20–24 Years","Te Tai Tokerau","Less than 1 Year",1278
"Female","20–24 Years","Te Tai Tokerau","Less than 1 Year",1644
"Male","25–29 Years","Te Tai Tokerau","Less than 1 Year",996
"Female","25–29 Years","Te Tai Tokerau","Less than 1 Year",1215
"Male","30–34 Years","Te Tai Tokerau","Less than 1 Year",723
"Female","30–34 Years","Te Tai Tokerau","Less than 1 Year",846
"Male","35–39 Years","Te Tai Tokerau","Less than 1 Year",651
"Female","35–39 Years","Te Tai Tokerau","Less than 1 Year",711
"Male","40–44 Years","Te Tai Tokerau","Less than 1 Year",522
"Female","40–44 Years","Te Tai Tokerau","Less than 1 Year",618
"Male","45–49 Years","Te Tai Tokerau","Less than 1 Year",462
"Female","45–49 Years","Te Tai Tokerau","Less than 1 Year",564
"Male","50–54 Years","Te Tai Tokerau","Less than 1 Year",408
"Female","50–54 Years","Te Tai Tokerau","Less than 1 Year",459
"Male","55–59 Years","Te Tai Tokerau","Less than 1 Year",222
"Female","55–59 Years","Te Tai Tokerau","Less than 1 Year",312
"Male","60–64 Years","Te Tai Tokerau","Less than 1 Year",153
"Female","60–64 Years","Te Tai Tokerau","Less than 1 Year",189
"Male","65–69 Years","Te Tai Tokerau","Less than 1 Year",93
"Female","65–69 Years","Te Tai Tokerau","Less than 1 Year",126
"Male","70–74 Years","Te Tai Tokerau","Less than 1 Year",60
"Female","70–74 Years","Te Tai Tokerau","Less than 1 Year",69
"Male","75–79 Years","Te Tai Tokerau","Less than 1 Year",27
"Female","75–79 Years","Te Tai Tokerau","Less than 1 Year",42
"Male","80–84 Years","Te Tai Tokerau","Less than 1 Year",15
"Female","80–84 Years","Te Tai Tokerau","Less than 1 Year",30
"Male","85 Years And Over","Te Tai Tokerau","Less than 1 Year",18
"Female","85 Years And Over","Te Tai Tokerau","Less than 1 Year",18
"Male","0–4 Years","Te Tai Tonga","Less than 1 Year",3198
"Female","0–4 Years","Te Tai Tonga","Less than 1 Year",2904
"Male","5–9 Years","Te Tai Tonga","Less than 1 Year",1545
"Female","5–9 Years","Te Tai Tonga","Less than 1 Year",1437
"Male","10–14 Years","Te Tai Tonga","Less than 1 Year",1302
"Female","10–14 Years","Te Tai Tonga","Less than 1 Year",1257
"Male","15–19 Years","Te Tai Tonga","Less than 1 Year",2061
"Female","15–19 Years","Te Tai Tonga","Less than 1 Year",2316
"Male","20–24 Years","Te Tai Tonga","Less than 1 Year",2922
"Female","20–24 Years","Te Tai Tonga","Less than 1 Year",3192
"Male","25–29 Years","Te Tai Tonga","Less than 1 Year",1728
"Female","25–29 Years","Te Tai Tonga","Less than 1 Year",1734
"Male","30–34 Years","Te Tai Tonga","Less than 1 Year",1266
"Female","30–34 Years","Te Tai Tonga","Less than 1 Year",1233
"Male","35–39 Years","Te Tai Tonga","Less than 1 Year",984
"Female","35–39 Years","Te Tai Tonga","Less than 1 Year",1017
"Male","40–44 Years","Te Tai Tonga","Less than 1 Year",828
"Female","40–44 Years","Te Tai Tonga","Less than 1 Year",834
"Male","45–49 Years","Te Tai Tonga","Less than 1 Year",618
"Female","45–49 Years","Te Tai Tonga","Less than 1 Year",681
"Male","50–54 Years","Te Tai Tonga","Less than 1 Year",480
"Female","50–54 Years","Te Tai Tonga","Less than 1 Year",555
"Male","55–59 Years","Te Tai Tonga","Less than 1 Year",318
"Female","55–59 Years","Te Tai Tonga","Less than 1 Year",321
"Male","60–64 Years","Te Tai Tonga","Less than 1 Year",216
"Female","60–64 Years","Te Tai Tonga","Less than 1 Year",207
"Male","65–69 Years","Te Tai Tonga","Less than 1 Year",105
"Female","65–69 Years","Te Tai Tonga","Less than 1 Year",108
"Male","70–74 Years","Te Tai Tonga","Less than 1 Year",81
"Female","70–74 Years","Te Tai Tonga","Less than 1 Year",54
"Male","75–79 Years","Te Tai Tonga","Less than 1 Year",36
"Female","75–79 Years","Te Tai Tonga","Less than 1 Year",33
"Male","80–84 Years","Te Tai Tonga","Less than 1 Year",24
"Female","80–84 Years","Te Tai Tonga","Less than 1 Year",30
"Male","85 Years And Over","Te Tai Tonga","Less than 1 Year",12
"Female","85 Years And Over","Te Tai Tonga","Less than 1 Year",24
"Male","0–4 Years","Waiariki","Less than 1 Year",2241
"Female","0–4 Years","Waiariki","Less than 1 Year",2019
"Male","5–9 Years","Waiariki","Less than 1 Year",1227
"Female","5–9 Years","Waiariki","Less than 1 Year",1179
"Male","10–14 Years","Waiariki","Less than 1 Year",1023
"Female","10–14 Years","Waiariki","Less than 1 Year",987
"Male","15–19 Years","Waiariki","Less than 1 Year",993
"Female","15–19 Years","Waiariki","Less than 1 Year",1185
"Male","20–24 Years","Waiariki","Less than 1 Year",1044
"Female","20–24 Years","Waiariki","Less than 1 Year",1452
"Male","25–29 Years","Waiariki","Less than 1 Year",828
"Female","25–29 Years","Waiariki","Less than 1 Year",1095
"Male","30–34 Years","Waiariki","Less than 1 Year",663
"Female","30–34 Years","Waiariki","Less than 1 Year",843
"Male","35–39 Years","Waiariki","Less than 1 Year",537
"Female","35–39 Years","Waiariki","Less than 1 Year",684
"Male","40–44 Years","Waiariki","Less than 1 Year",471
"Female","40–44 Years","Waiariki","Less than 1 Year",564
"Male","45–49 Years","Waiariki","Less than 1 Year",357
"Female","45–49 Years","Waiariki","Less than 1 Year",474
"Male","50–54 Years","Waiariki","Less than 1 Year",327
"Female","50–54 Years","Waiariki","Less than 1 Year",402
"Male","55–59 Years","Waiariki","Less than 1 Year",213
"Female","55–59 Years","Waiariki","Less than 1 Year",282
"Male","60–64 Years","Waiariki","Less than 1 Year",144
"Female","60–64 Years","Waiariki","Less than 1 Year",177
"Male","65–69 Years","Waiariki","Less than 1 Year",84
"Female","65–69 Years","Waiariki","Less than 1 Year",108
"Male","70–74 Years","Waiariki","Less than 1 Year",48
"Female","70–74 Years","Waiariki","Less than 1 Year",66
"Male","75–79 Years","Waiariki","Less than 1 Year",18
"Female","75–79 Years","Waiariki","Less than 1 Year",30
"Male","80–84 Years","Waiariki","Less than 1 Year",12
"Female","80–84 Years","Waiariki","Less than 1 Year",12
"Male","85 Years And Over","Waiariki","Less than 1 Year",6
"Female","85 Years And Over","Waiariki","Less than 1 Year",24
"Male","0–4 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","0–4 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","5–9 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","5–9 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","10–14 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","10–14 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","15–19 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","15–19 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","20–24 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","20–24 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","25–29 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","25–29 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","30–34 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","30–34 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","35–39 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","35–39 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","40–44 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","40–44 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","45–49 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","45–49 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","50–54 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","50–54 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","55–59 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","55–59 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","60–64 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","60–64 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","65–69 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","65–69 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","70–74 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","70–74 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","75–79 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","75–79 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","80–84 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","80–84 Years","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","85 Years And Over","Area Outside Māori Electorate","Less than 1 Year",NA
"Female","85 Years And Over","Area Outside Māori Electorate","Less than 1 Year",NA
"Male","0–4 Years","Hauraki-Waikato","1 Year",1032
"Female","0–4 Years","Hauraki-Waikato","1 Year",990
"Male","5–9 Years","Hauraki-Waikato","1 Year",525
"Female","5–9 Years","Hauraki-Waikato","1 Year",456
"Male","10–14 Years","Hauraki-Waikato","1 Year",396
"Female","10–14 Years","Hauraki-Waikato","1 Year",390
"Male","15–19 Years","Hauraki-Waikato","1 Year",291
"Female","15–19 Years","Hauraki-Waikato","1 Year",318
"Male","20–24 Years","Hauraki-Waikato","1 Year",381
"Female","20–24 Years","Hauraki-Waikato","1 Year",447
"Male","25–29 Years","Hauraki-Waikato","1 Year",291
"Female","25–29 Years","Hauraki-Waikato","1 Year",414
"Male","30–34 Years","Hauraki-Waikato","1 Year",243
"Female","30–34 Years","Hauraki-Waikato","1 Year",324
"Male","35–39 Years","Hauraki-Waikato","1 Year",216
"Female","35–39 Years","Hauraki-Waikato","1 Year",291
"Male","40–44 Years","Hauraki-Waikato","1 Year",189
"Female","40–44 Years","Hauraki-Waikato","1 Year",228
"Male","45–49 Years","Hauraki-Waikato","1 Year",126
"Female","45–49 Years","Hauraki-Waikato","1 Year",159
"Male","50–54 Years","Hauraki-Waikato","1 Year",117
"Female","50–54 Years","Hauraki-Waikato","1 Year",147
"Male","55–59 Years","Hauraki-Waikato","1 Year",72
"Female","55–59 Years","Hauraki-Waikato","1 Year",99
"Male","60–64 Years","Hauraki-Waikato","1 Year",45
"Female","60–64 Years","Hauraki-Waikato","1 Year",48
"Male","65–69 Years","Hauraki-Waikato","1 Year",30
"Female","65–69 Years","Hauraki-Waikato","1 Year",39
"Male","70–74 Years","Hauraki-Waikato","1 Year",18
"Female","70–74 Years","Hauraki-Waikato","1 Year",24
"Male","75–79 Years","Hauraki-Waikato","1 Year",9
"Female","75–79 Years","Hauraki-Waikato","1 Year",12
"Male","80–84 Years","Hauraki-Waikato","1 Year",3
"Female","80–84 Years","Hauraki-Waikato","1 Year",6
"Male","85 Years And Over","Hauraki-Waikato","1 Year",6
"Female","85 Years And Over","Hauraki-Waikato","1 Year",9
"Male","0–4 Years","Ikaroa-Rāwhiti","1 Year",855
"Female","0–4 Years","Ikaroa-Rāwhiti","1 Year",795
"Male","5–9 Years","Ikaroa-Rāwhiti","1 Year",411
"Female","5–9 Years","Ikaroa-Rāwhiti","1 Year",429
"Male","10–14 Years","Ikaroa-Rāwhiti","1 Year",321
"Female","10–14 Years","Ikaroa-Rāwhiti","1 Year",288
"Male","15–19 Years","Ikaroa-Rāwhiti","1 Year",240
"Female","15–19 Years","Ikaroa-Rāwhiti","1 Year",231
"Male","20–24 Years","Ikaroa-Rāwhiti","1 Year",189
"Female","20–24 Years","Ikaroa-Rāwhiti","1 Year",297
"Male","25–29 Years","Ikaroa-Rāwhiti","1 Year",213
"Female","25–29 Years","Ikaroa-Rāwhiti","1 Year",330
"Male","30–34 Years","Ikaroa-Rāwhiti","1 Year",186
"Female","30–34 Years","Ikaroa-Rāwhiti","1 Year",237
"Male","35–39 Years","Ikaroa-Rāwhiti","1 Year",186
"Female","35–39 Years","Ikaroa-Rāwhiti","1 Year",225
"Male","40–44 Years","Ikaroa-Rāwhiti","1 Year",159
"Female","40–44 Years","Ikaroa-Rāwhiti","1 Year",183
"Male","45–49 Years","Ikaroa-Rāwhiti","1 Year",123
"Female","45–49 Years","Ikaroa-Rāwhiti","1 Year",147
"Male","50–54 Years","Ikaroa-Rāwhiti","1 Year",105
"Female","50–54 Years","Ikaroa-Rāwhiti","1 Year",123
"Male","55–59 Years","Ikaroa-Rāwhiti","1 Year",60
"Female","55–59 Years","Ikaroa-Rāwhiti","1 Year",75
"Male","60–64 Years","Ikaroa-Rāwhiti","1 Year",39
"Female","60–64 Years","Ikaroa-Rāwhiti","1 Year",57
"Male","65–69 Years","Ikaroa-Rāwhiti","1 Year",30
"Female","65–69 Years","Ikaroa-Rāwhiti","1 Year",33
"Male","70–74 Years","Ikaroa-Rāwhiti","1 Year",6
"Female","70–74 Years","Ikaroa-Rāwhiti","1 Year",18
"Male","75–79 Years","Ikaroa-Rāwhiti","1 Year",9
"Female","75–79 Years","Ikaroa-Rāwhiti","1 Year",18
"Male","80–84 Years","Ikaroa-Rāwhiti","1 Year",6
"Female","80–84 Years","Ikaroa-Rāwhiti","1 Year",6
"Male","85 Years And Over","Ikaroa-Rāwhiti","1 Year",0
"Female","85 Years And Over","Ikaroa-Rāwhiti","1 Year",6
"Male","0–4 Years","Tāmaki Makaurau","1 Year",984
"Female","0–4 Years","Tāmaki Makaurau","1 Year",906
"Male","5–9 Years","Tāmaki Makaurau","1 Year",369
"Female","5–9 Years","Tāmaki Makaurau","1 Year",327
"Male","10–14 Years","Tāmaki Makaurau","1 Year",276
"Female","10–14 Years","Tāmaki Makaurau","1 Year",270
"Male","15–19 Years","Tāmaki Makaurau","1 Year",243
"Female","15–19 Years","Tāmaki Makaurau","1 Year",261
"Male","20–24 Years","Tāmaki Makaurau","1 Year",315
"Female","20–24 Years","Tāmaki Makaurau","1 Year",435
"Male","25–29 Years","Tāmaki Makaurau","1 Year",273
"Female","25–29 Years","Tāmaki Makaurau","1 Year",384
"Male","30–34 Years","Tāmaki Makaurau","1 Year",252
"Female","30–34 Years","Tāmaki Makaurau","1 Year",324
"Male","35–39 Years","Tāmaki Makaurau","1 Year",201
"Female","35–39 Years","Tāmaki Makaurau","1 Year",267
"Male","40–44 Years","Tāmaki Makaurau","1 Year",192
"Female","40–44 Years","Tāmaki Makaurau","1 Year",216
"Male","45–49 Years","Tāmaki Makaurau","1 Year",138
"Female","45–49 Years","Tāmaki Makaurau","1 Year",144
"Male","50–54 Years","Tāmaki Makaurau","1 Year",105
"Female","50–54 Years","Tāmaki Makaurau","1 Year",120
"Male","55–59 Years","Tāmaki Makaurau","1 Year",72
"Female","55–59 Years","Tāmaki Makaurau","1 Year",72
"Male","60–64 Years","Tāmaki Makaurau","1 Year",48
"Female","60–64 Years","Tāmaki Makaurau","1 Year",54
"Male","65–69 Years","Tāmaki Makaurau","1 Year",24
"Female","65–69 Years","Tāmaki Makaurau","1 Year",18
"Male","70–74 Years","Tāmaki Makaurau","1 Year",12
"Female","70–74 Years","Tāmaki Makaurau","1 Year",18
"Male","75–79 Years","Tāmaki Makaurau","1 Year",6
"Female","75–79 Years","Tāmaki Makaurau","1 Year",9
"Male","80–84 Years","Tāmaki Makaurau","1 Year",6
"Female","80–84 Years","Tāmaki Makaurau","1 Year",6
"Male","85 Years And Over","Tāmaki Makaurau","1 Year",0
"Female","85 Years And Over","Tāmaki Makaurau","1 Year",9
"Male","0–4 Years","Te Tai Hauāuru","1 Year",1056
"Female","0–4 Years","Te Tai Hauāuru","1 Year",1011
"Male","5–9 Years","Te Tai Hauāuru","1 Year",540
"Female","5–9 Years","Te Tai Hauāuru","1 Year",495
"Male","10–14 Years","Te Tai Hauāuru","1 Year",417
"Female","10–14 Years","Te Tai Hauāuru","1 Year",381
"Male","15–19 Years","Te Tai Hauāuru","1 Year",309
"Female","15–19 Years","Te Tai Hauāuru","1 Year",288
"Male","20–24 Years","Te Tai Hauāuru","1 Year",336
"Female","20–24 Years","Te Tai Hauāuru","1 Year",429
"Male","25–29 Years","Te Tai Hauāuru","1 Year",261
"Female","25–29 Years","Te Tai Hauāuru","1 Year",387
"Male","30–34 Years","Te Tai Hauāuru","1 Year",216
"Female","30–34 Years","Te Tai Hauāuru","1 Year",303
"Male","35–39 Years","Te Tai Hauāuru","1 Year",207
"Female","35–39 Years","Te Tai Hauāuru","1 Year",279
"Male","40–44 Years","Te Tai Hauāuru","1 Year",204
"Female","40–44 Years","Te Tai Hauāuru","1 Year",222
"Male","45–49 Years","Te Tai Hauāuru","1 Year",144
"Female","45–49 Years","Te Tai Hauāuru","1 Year",165
"Male","50–54 Years","Te Tai Hauāuru","1 Year",117
"Female","50–54 Years","Te Tai Hauāuru","1 Year",126
"Male","55–59 Years","Te Tai Hauāuru","1 Year",84
"Female","55–59 Years","Te Tai Hauāuru","1 Year",105
"Male","60–64 Years","Te Tai Hauāuru","1 Year",45
"Female","60–64 Years","Te Tai Hauāuru","1 Year",72
"Male","65–69 Years","Te Tai Hauāuru","1 Year",33
"Female","65–69 Years","Te Tai Hauāuru","1 Year",48
"Male","70–74 Years","Te Tai Hauāuru","1 Year",21
"Female","70–74 Years","Te Tai Hauāuru","1 Year",15
"Male","75–79 Years","Te Tai Hauāuru","1 Year",15
