"level0","level1","Partnership status in current relationship(1)","count"
"Botany","North Island general electorates","De facto partner(3)",3480
"Coromandel","North Island general electorates","De facto partner(3)",6870
"East Coast","North Island general electorates","De facto partner(3)",9780
"East Coast Bays","North Island general electorates","De facto partner(3)",4203
"Epsom","North Island general electorates","De facto partner(3)",5088
"Hamilton East","North Island general electorates","De facto partner(3)",6156
"Hamilton West","North Island general electorates","De facto partner(3)",7356
"Helensville","North Island general electorates","De facto partner(3)",6261
"Hunua","North Island general electorates","De facto partner(3)",5622
"Hutt South","North Island general electorates","De facto partner(3)",7032
"Kelston","North Island general electorates","De facto partner(3)",5496
"Mana","North Island general electorates","De facto partner(3)",6780
"Mangere","North Island general electorates","De facto partner(3)",3909
"Manukau East","North Island general electorates","De facto partner(3)",3750
"Manurewa","North Island general electorates","De facto partner(3)",4968
"Maungakiekie","North Island general electorates","De facto partner(3)",6489
"Mt Albert","North Island general electorates","De facto partner(3)",7992
"Mt Roskill","North Island general electorates","De facto partner(3)",4230
"Napier","North Island general electorates","De facto partner(3)",7053
"New Lynn","North Island general electorates","De facto partner(3)",4413
"New Plymouth","North Island general electorates","De facto partner(3)",7062
"North Shore","North Island general electorates","De facto partner(3)",5436
"Northcote","North Island general electorates","De facto partner(3)",6189
"Northland","North Island general electorates","De facto partner(3)",8211
"Ohariu","North Island general electorates","De facto partner(3)",5988
"Otaki","North Island general electorates","De facto partner(3)",5838
"Pakuranga","North Island general electorates","De facto partner(3)",4218
"Palmerston North","North Island general electorates","De facto partner(3)",6339
"Papakura","North Island general electorates","De facto partner(3)",6114
"Rangitikei","North Island general electorates","De facto partner(3)",7131
"Rimutaka","North Island general electorates","De facto partner(3)",6783
"Rodney","North Island general electorates","De facto partner(3)",5283
"Rongotai","North Island general electorates","De facto partner(3)",8349
"Rotorua","North Island general electorates","De facto partner(3)",7539
"Tamaki","North Island general electorates","De facto partner(3)",4836
"Taranaki-King Country","North Island general electorates","De facto partner(3)",7317
"Taupo","North Island general electorates","De facto partner(3)",7827
"Tauranga","North Island general electorates","De facto partner(3)",5694
"Te Atatu","North Island general electorates","De facto partner(3)",5361
"Tukituki","North Island general electorates","De facto partner(3)",6420
"Upper Harbour","North Island general electorates","De facto partner(3)",5640
"Waikato","North Island general electorates","De facto partner(3)",7113
"Wairarapa","North Island general electorates","De facto partner(3)",6651
"Wellington Central","North Island general electorates","De facto partner(3)",9333
"Whanganui","North Island general electorates","De facto partner(3)",7197
"Whangarei","North Island general electorates","De facto partner(3)",6837
"Christchurch Central","South Island general electorates","De facto partner(3)",8352
"Christchurch East","South Island general electorates","De facto partner(3)",7272
"Clutha-Southland","South Island general electorates","De facto partner(3)",7677
"Dunedin North","South Island general electorates","De facto partner(3)",6150
"Dunedin South","South Island general electorates","De facto partner(3)",6123
"Ilam","South Island general electorates","De facto partner(3)",4710
"Invercargill","South Island general electorates","De facto partner(3)",6378
"Kaikoura","South Island general electorates","De facto partner(3)",6741
"Nelson","South Island general electorates","De facto partner(3)",6570
"Port Hills","South Island general electorates","De facto partner(3)",6954
"Rangitata","South Island general electorates","De facto partner(3)",6576
"Selwyn","South Island general electorates","De facto partner(3)",6009
"Waimakariri","South Island general electorates","De facto partner(3)",5706
"Waitaki","South Island general electorates","De facto partner(3)",6561
"West Coast-Tasman","South Island general electorates","De facto partner(3)",7569
"Wigram","South Island general electorates","De facto partner(3)",6510
"Area Outside General Electorate","South Island general electorates","De facto partner(3)",NA
"Auckland Central","North Island general electorates","Partnered, nfd (4)",1035
"Bay of Plenty","North Island general electorates","Partnered, nfd (4)",744
"Botany","North Island general electorates","Partnered, nfd (4)",942
"Coromandel","North Island general electorates","Partnered, nfd (4)",996
"East Coast","North Island general electorates","Partnered, nfd (4)",1830
"East Coast Bays","North Island general electorates","Partnered, nfd (4)",720
"Epsom","North Island general electorates","Partnered, nfd (4)",669
"Hamilton East","North Island general electorates","Partnered, nfd (4)",852
"Hamilton West","North Island general electorates","Partnered, nfd (4)",912
"Helensville","North Island general electorates","Partnered, nfd (4)",726
"Hunua","North Island general electorates","Partnered, nfd (4)",810
"Hutt South","North Island general electorates","Partnered, nfd (4)",882
"Kelston","North Island general electorates","Partnered, nfd (4)",1071
"Mana","North Island general electorates","Partnered, nfd (4)",1161
"Mangere","North Island general electorates","Partnered, nfd (4)",1902
"Manukau East","North Island general electorates","Partnered, nfd (4)",1782
"Manurewa","North Island general electorates","Partnered, nfd (4)",1779
"Maungakiekie","North Island general electorates","Partnered, nfd (4)",1152
"Mt Albert","North Island general electorates","Partnered, nfd (4)",942
"Mt Roskill","North Island general electorates","Partnered, nfd (4)",927
"Napier","North Island general electorates","Partnered, nfd (4)",972
"New Lynn","North Island general electorates","Partnered, nfd (4)",1002
"New Plymouth","North Island general electorates","Partnered, nfd (4)",984
"North Shore","North Island general electorates","Partnered, nfd (4)",615
"Northcote","North Island general electorates","Partnered, nfd (4)",786
"Northland","North Island general electorates","Partnered, nfd (4)",1476
"Ohariu","North Island general electorates","Partnered, nfd (4)",669
"Otaki","North Island general electorates","Partnered, nfd (4)",870
"Pakuranga","North Island general electorates","Partnered, nfd (4)",738
"Palmerston North","North Island general electorates","Partnered, nfd (4)",819
"Papakura","North Island general electorates","Partnered, nfd (4)",1194
"Rangitikei","North Island general electorates","Partnered, nfd (4)",978
"Rimutaka","North Island general electorates","Partnered, nfd (4)",996
"Rodney","North Island general electorates","Partnered, nfd (4)",672
"Rongotai","North Island general electorates","Partnered, nfd (4)",930
"Rotorua","North Island general electorates","Partnered, nfd (4)",1224
"Tamaki","North Island general electorates","Partnered, nfd (4)",681
"Taranaki-King Country","North Island general electorates","Partnered, nfd (4)",1011
"Taupo","North Island general electorates","Partnered, nfd (4)",1083
"Tauranga","North Island general electorates","Partnered, nfd (4)",747
"Te Atatu","North Island general electorates","Partnered, nfd (4)",1116
"Tukituki","North Island general electorates","Partnered, nfd (4)",1170
"Upper Harbour","North Island general electorates","Partnered, nfd (4)",1005
"Waikato","North Island general electorates","Partnered, nfd (4)",1044
"Wairarapa","North Island general electorates","Partnered, nfd (4)",912
"Wellington Central","North Island general electorates","Partnered, nfd (4)",687
"Whanganui","North Island general electorates","Partnered, nfd (4)",1116
"Whangarei","North Island general electorates","Partnered, nfd (4)",984
"Christchurch Central","South Island general electorates","Partnered, nfd (4)",870
"Christchurch East","South Island general electorates","Partnered, nfd (4)",828
"Clutha-Southland","South Island general electorates","Partnered, nfd (4)",942
"Dunedin North","South Island general electorates","Partnered, nfd (4)",633
"Dunedin South","South Island general electorates","Partnered, nfd (4)",714
"Ilam","South Island general electorates","Partnered, nfd (4)",588
"Invercargill","South Island general electorates","Partnered, nfd (4)",771
"Kaikoura","South Island general electorates","Partnered, nfd (4)",858
"Nelson","South Island general electorates","Partnered, nfd (4)",738
"Port Hills","South Island general electorates","Partnered, nfd (4)",768
"Rangitata","South Island general electorates","Partnered, nfd (4)",828
"Selwyn","South Island general electorates","Partnered, nfd (4)",657
"Waimakariri","South Island general electorates","Partnered, nfd (4)",657
"Waitaki","South Island general electorates","Partnered, nfd (4)",960
"West Coast-Tasman","South Island general electorates","Partnered, nfd (4)",945
"Wigram","South Island general electorates","Partnered, nfd (4)",807
"Area Outside General Electorate","South Island general electorates","Partnered, nfd (4)",NA
"Auckland Central","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",975
"Bay of Plenty","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1218
"Botany","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",873
"Coromandel","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1374
"East Coast","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",2010
"East Coast Bays","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",915
"Epsom","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",894
"Hamilton East","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1320
"Hamilton West","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1545
"Helensville","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",987
"Hunua","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1158
"Hutt South","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1353
"Kelston","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1329
"Mana","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1284
"Mangere","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1140
"Manukau East","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1284
"Manurewa","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1467
"Maungakiekie","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1311
"Mt Albert","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1044
"Mt Roskill","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",999
"Napier","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1590
"New Lynn","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1059
"New Plymouth","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1326
"North Shore","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1047
"Northcote","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1131
"Northland","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1848
"Ohariu","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",879
"Otaki","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1356
"Pakuranga","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",972
"Palmerston North","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1365
"Papakura","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1500
"Rangitikei","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1284
"Rimutaka","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1467
"Rodney","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1197
"Rongotai","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",984
"Rotorua","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1590
"Tamaki","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",951
"Taranaki-King Country","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1218
"Taupo","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1488
"Tauranga","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1407
"Te Atatu","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1233
"Tukituki","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1437
"Upper Harbour","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1110
"Waikato","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1347
"Wairarapa","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1467
"Wellington Central","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",816
"Whanganui","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1665
"Whangarei","North Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1581
"Christchurch Central","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1659
"Christchurch East","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1485
"Clutha-Southland","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1014
"Dunedin North","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",996
"Dunedin South","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1161
"Ilam","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1041
"Invercargill","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1188
"Kaikoura","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1113
"Nelson","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1365
"Port Hills","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1215
"Rangitata","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1212
"Selwyn","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",855
"Waimakariri","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1098
"Waitaki","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1104
"West Coast-Tasman","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1170
"Wigram","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",1239
"Area Outside General Electorate","South Island general electorates","Non-partnered, separated (marriage or civil union)(5)",NA
"Auckland Central","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2448
"Bay of Plenty","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2361
"Botany","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1560
"Coromandel","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2970
"East Coast","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3111
"East Coast Bays","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1944
"Epsom","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2151
"Hamilton East","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2505
"Hamilton West","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2835
"Helensville","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1923
"Hunua","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1968
"Hutt South","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2496
"Kelston","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2481
"Mana","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2160
"Mangere","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1314
"Manukau East","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1764
"Manurewa","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1962
"Maungakiekie","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2586
"Mt Albert","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2340
"Mt Roskill","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2001
"Napier","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3081
"New Lynn","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2220
"New Plymouth","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2793
"North Shore","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2562
"Northcote","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2481
"Northland","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3225
"Ohariu","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1842
"Otaki","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2988
"Pakuranga","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2178
"Palmerston North","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2757
"Papakura","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2259
"Rangitikei","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2301
"Rimutaka","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2664
"Rodney","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2700
"Rongotai","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2190
"Rotorua","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2718
"Tamaki","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2241
"Taranaki-King Country","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1989
"Taupo","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2736
"Tauranga","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3207
"Te Atatu","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2520
"Tukituki","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2733
"Upper Harbour","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2091
"Waikato","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2067
"Wairarapa","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2652
"Wellington Central","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1830
"Whanganui","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3096
"Whangarei","North Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2967
"Christchurch Central","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3372
"Christchurch East","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3003
"Clutha-Southland","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1593
"Dunedin North","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2097
"Dunedin South","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2361
"Ilam","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2160
"Invercargill","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2313
"Kaikoura","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2280
"Nelson","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",3042
"Port Hills","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2490
"Rangitata","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2160
"Selwyn","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1401
"Waimakariri","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1902
"Waitaki","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",1998
"West Coast-Tasman","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2487
"Wigram","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",2493
"Area Outside General Electorate","South Island general electorates","Non-partnered, divorced or dissolved (marriage or civil union)",NA
"Auckland Central","North Island general electorates","Non-partnered, widowed or surviving civil union partner",774
"Bay of Plenty","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2454
"Botany","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1686
"Coromandel","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3192
"East Coast","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3837
"East Coast Bays","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1809
"Epsom","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1488
"Hamilton East","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2160
"Hamilton West","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2082
"Helensville","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1176
"Hunua","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1917
"Hutt South","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2295
"Kelston","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1689
"Mana","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2127
"Mangere","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1668
"Manukau East","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1878
"Manurewa","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1776
"Maungakiekie","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1890
"Mt Albert","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1359
"Mt Roskill","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1914
"Napier","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3123
"New Lynn","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2235
"New Plymouth","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2967
"North Shore","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2223
"Northcote","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1728
"Northland","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3396
"Ohariu","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1542
"Otaki","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3831
"Pakuranga","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2148
"Palmerston North","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2523
"Papakura","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2154
"Rangitikei","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2385
"Rimutaka","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2664
"Rodney","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2856
"Rongotai","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1689
"Rotorua","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2826
"Tamaki","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1992
"Taranaki-King Country","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2256
"Taupo","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2961
"Tauranga","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3171
"Te Atatu","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2130
"Tukituki","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2796
"Upper Harbour","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1395
"Waikato","North Island general electorates","Non-partnered, widowed or surviving civil union partner",2469
"Wairarapa","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3099
"Wellington Central","North Island general electorates","Non-partnered, widowed or surviving civil union partner",1047
"Whanganui","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3414
"Whangarei","North Island general electorates","Non-partnered, widowed or surviving civil union partner",3300
"Christchurch Central","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2427
"Christchurch East","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2262
"Clutha-Southland","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2085
"Dunedin North","South Island general electorates","Non-partnered, widowed or surviving civil union partner",1668
"Dunedin South","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2988
"Ilam","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2520
"Invercargill","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2685
"Kaikoura","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2514
"Nelson","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2724
"Port Hills","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2520
"Rangitata","South Island general electorates","Non-partnered, widowed or surviving civil union partner",3096
"Selwyn","South Island general electorates","Non-partnered, widowed or surviving civil union partner",1263
"Waimakariri","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2136
"Waitaki","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2688
"West Coast-Tasman","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2229
"Wigram","South Island general electorates","Non-partnered, widowed or surviving civil union partner",2289
"Area Outside General Electorate","South Island general electorates","Non-partnered, widowed or surviving civil union partner",NA
"Auckland Central","North Island general electorates","Non-partnered, never married and never in a civil union",19806
"Bay of Plenty","North Island general electorates","Non-partnered, never married and never in a civil union",8637
"Botany","North Island general electorates","Non-partnered, never married and never in a civil union",11082
"Coromandel","North Island general electorates","Non-partnered, never married and never in a civil union",8331
"East Coast","North Island general electorates","Non-partnered, never married and never in a civil union",14940
"East Coast Bays","North Island general electorates","Non-partnered, never married and never in a civil union",10473
"Epsom","North Island general electorates","Non-partnered, never married and never in a civil union",14112
"Hamilton East","North Island general electorates","Non-partnered, never married and never in a civil union",15915
"Hamilton West","North Island general electorates","Non-partnered, never married and never in a civil union",13725
"Helensville","North Island general electorates","Non-partnered, never married and never in a civil union",9390
"Hunua","North Island general electorates","Non-partnered, never married and never in a civil union",9324
"Hutt South","North Island general electorates","Non-partnered, never married and never in a civil union",12570
"Kelston","North Island general electorates","Non-partnered, never married and never in a civil union",12363
"Mana","North Island general electorates","Non-partnered, never married and never in a civil union",11919
"Mangere","North Island general electorates","Non-partnered, never married and never in a civil union",12327
"Manukau East","North Island general electorates","Non-partnered, never married and never in a civil union",12150
"Manurewa","North Island general electorates","Non-partnered, never married and never in a civil union",13692
