"level0","level1","Sources of personal income(1)(2)","count"
"Interest, Dividends, Rent, Other Invest.","Hauraki-Waikato","Female",2250
"Payments from a Work Accident Insurer","Hauraki-Waikato","Female",339
"NZ Superannuation or Veterans Pension","Hauraki-Waikato","Female",2427
"Other Super., Pensions, Annuities","Hauraki-Waikato","Female",258
"Unemployment Benefit","Hauraki-Waikato","Female",1878
"Sickness Benefit","Hauraki-Waikato","Female",1485
"Domestic Purposes Benefit","Hauraki-Waikato","Female",5082
"Invalids Benefit","Hauraki-Waikato","Female",1269
"Student Allowance","Hauraki-Waikato","Female",1539
"Other Govt Benefits, Payments or Pension","Hauraki-Waikato","Female",2709
"Other Sources of Income","Hauraki-Waikato","Female",792
"No Source of Income During That Time(3)","Hauraki-Waikato","Female",3174
"Not Stated","Hauraki-Waikato","Female",750
"Wages, Salary, Commissions, Bonuses etc","Ikaroa-Rāwhiti","Female",17040
"Self-employment or Business","Ikaroa-Rāwhiti","Female",1686
"Interest, Dividends, Rent, Other Invest.","Ikaroa-Rāwhiti","Female",1893
"Payments from a Work Accident Insurer","Ikaroa-Rāwhiti","Female",330
"NZ Superannuation or Veterans Pension","Ikaroa-Rāwhiti","Female",2667
"Other Super., Pensions, Annuities","Ikaroa-Rāwhiti","Female",261
"Unemployment Benefit","Ikaroa-Rāwhiti","Female",1839
"Sickness Benefit","Ikaroa-Rāwhiti","Female",1305
"Domestic Purposes Benefit","Ikaroa-Rāwhiti","Female",4449
"Invalids Benefit","Ikaroa-Rāwhiti","Female",1323
"Student Allowance","Ikaroa-Rāwhiti","Female",954
"Other Govt Benefits, Payments or Pension","Ikaroa-Rāwhiti","Female",2682
"Other Sources of Income","Ikaroa-Rāwhiti","Female",726
"No Source of Income During That Time(3)","Ikaroa-Rāwhiti","Female",2553
"Not Stated","Ikaroa-Rāwhiti","Female",771
"Wages, Salary, Commissions, Bonuses etc","Tāmaki Makaurau","Female",18225
"Self-employment or Business","Tāmaki Makaurau","Female",2070
"Interest, Dividends, Rent, Other Invest.","Tāmaki Makaurau","Female",2556
"Payments from a Work Accident Insurer","Tāmaki Makaurau","Female",252
"NZ Superannuation or Veterans Pension","Tāmaki Makaurau","Female",2190
"Other Super., Pensions, Annuities","Tāmaki Makaurau","Female",231
"Unemployment Benefit","Tāmaki Makaurau","Female",1752
"Sickness Benefit","Tāmaki Makaurau","Female",1647
"Domestic Purposes Benefit","Tāmaki Makaurau","Female",4623
"Invalids Benefit","Tāmaki Makaurau","Female",1095
"Student Allowance","Tāmaki Makaurau","Female",1716
"Other Govt Benefits, Payments or Pension","Tāmaki Makaurau","Female",2220
"Other Sources of Income","Tāmaki Makaurau","Female",822
"No Source of Income During That Time(3)","Tāmaki Makaurau","Female",3189
"Not Stated","Tāmaki Makaurau","Female",735
"Wages, Salary, Commissions, Bonuses etc","Te Tai Hauāuru","Female",19134
"Self-employment or Business","Te Tai Hauāuru","Female",2088
"Interest, Dividends, Rent, Other Invest.","Te Tai Hauāuru","Female",2280
"Payments from a Work Accident Insurer","Te Tai Hauāuru","Female",396
"NZ Superannuation or Veterans Pension","Te Tai Hauāuru","Female",2940
"Other Super., Pensions, Annuities","Te Tai Hauāuru","Female",327
"Unemployment Benefit","Te Tai Hauāuru","Female",1932
"Sickness Benefit","Te Tai Hauāuru","Female",1305
"Domestic Purposes Benefit","Te Tai Hauāuru","Female",4437
"Invalids Benefit","Te Tai Hauāuru","Female",1428
"Student Allowance","Te Tai Hauāuru","Female",1095
"Other Govt Benefits, Payments or Pension","Te Tai Hauāuru","Female",2877
"Other Sources of Income","Te Tai Hauāuru","Female",885
"No Source of Income During That Time(3)","Te Tai Hauāuru","Female",3225
"Not Stated","Te Tai Hauāuru","Female",771
"Wages, Salary, Commissions, Bonuses etc","Te Tai Tokerau","Female",18045
"Self-employment or Business","Te Tai Tokerau","Female",2736
"Interest, Dividends, Rent, Other Invest.","Te Tai Tokerau","Female",2505
"Payments from a Work Accident Insurer","Te Tai Tokerau","Female",339
"NZ Superannuation or Veterans Pension","Te Tai Tokerau","Female",3264
"Other Super., Pensions, Annuities","Te Tai Tokerau","Female",318
"Unemployment Benefit","Te Tai Tokerau","Female",1809
"Sickness Benefit","Te Tai Tokerau","Female",1599
"Domestic Purposes Benefit","Te Tai Tokerau","Female",4530
"Invalids Benefit","Te Tai Tokerau","Female",1245
"Student Allowance","Te Tai Tokerau","Female",1173
"Other Govt Benefits, Payments or Pension","Te Tai Tokerau","Female",2655
"Other Sources of Income","Te Tai Tokerau","Female",798
"No Source of Income During That Time(3)","Te Tai Tokerau","Female",3291
"Not Stated","Te Tai Tokerau","Female",732
"Wages, Salary, Commissions, Bonuses etc","Te Tai Tonga","Female",27918
"Self-employment or Business","Te Tai Tonga","Female",3798
"Interest, Dividends, Rent, Other Invest.","Te Tai Tonga","Female",4221
"Payments from a Work Accident Insurer","Te Tai Tonga","Female",567
"NZ Superannuation or Veterans Pension","Te Tai Tonga","Female",2946
"Other Super., Pensions, Annuities","Te Tai Tonga","Female",330
"Unemployment Benefit","Te Tai Tonga","Female",1818
"Sickness Benefit","Te Tai Tonga","Female",1458
"Domestic Purposes Benefit","Te Tai Tonga","Female",3849
"Invalids Benefit","Te Tai Tonga","Female",1461
"Student Allowance","Te Tai Tonga","Female",2028
"Other Govt Benefits, Payments or Pension","Te Tai Tonga","Female",3177
"Other Sources of Income","Te Tai Tonga","Female",1359
"No Source of Income During That Time(3)","Te Tai Tonga","Female",3327
"Not Stated","Te Tai Tonga","Female",666
"Wages, Salary, Commissions, Bonuses etc","Waiariki","Female",16275
"Self-employment or Business","Waiariki","Female",1989
"Interest, Dividends, Rent, Other Invest.","Waiariki","Female",2169
"Payments from a Work Accident Insurer","Waiariki","Female",291
"NZ Superannuation or Veterans Pension","Waiariki","Female",2880
"Other Super., Pensions, Annuities","Waiariki","Female",327
"Unemployment Benefit","Waiariki","Female",1812
"Sickness Benefit","Waiariki","Female",1347
"Domestic Purposes Benefit","Waiariki","Female",4332
"Invalids Benefit","Waiariki","Female",894
"Student Allowance","Waiariki","Female",1059
"Other Govt Benefits, Payments or Pension","Waiariki","Female",2625
"Other Sources of Income","Waiariki","Female",699
"No Source of Income During That Time(3)","Waiariki","Female",2652
"Not Stated","Waiariki","Female",759
"Wages, Salary, Commissions, Bonuses etc","Area Outside Māori Electorate","Female",NA
"Self-employment or Business","Area Outside Māori Electorate","Female",NA
"Interest, Dividends, Rent, Other Invest.","Area Outside Māori Electorate","Female",NA
"Payments from a Work Accident Insurer","Area Outside Māori Electorate","Female",NA
"NZ Superannuation or Veterans Pension","Area Outside Māori Electorate","Female",NA
"Other Super., Pensions, Annuities","Area Outside Māori Electorate","Female",NA
"Unemployment Benefit","Area Outside Māori Electorate","Female",NA
"Sickness Benefit","Area Outside Māori Electorate","Female",NA
"Domestic Purposes Benefit","Area Outside Māori Electorate","Female",NA
"Invalids Benefit","Area Outside Māori Electorate","Female",NA
"Student Allowance","Area Outside Māori Electorate","Female",NA
"Other Govt Benefits, Payments or Pension","Area Outside Māori Electorate","Female",NA
"Other Sources of Income","Area Outside Māori Electorate","Female",NA
"No Source of Income During That Time(3)","Area Outside Māori Electorate","Female",NA
"Not Stated","Area Outside Māori Electorate","Female",NA
