"level0","level1","Tenure of household","count"
"West Coast-Tasman","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",19590
"Wigram","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",16740
"Area Outside General Electorate","South Island general electorates","Dwelling owned or partly owned, mortgage payments made",NA
"Auckland Central","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",5010
"Bay of Plenty","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10347
"Botany","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9330
"Coromandel","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",14001
"East Coast","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",15696
"East Coast Bays","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9045
"Epsom","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8028
"Hamilton East","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9021
"Hamilton West","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8193
"Helensville","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8529
"Hunua","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9363
"Hutt South","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11109
"Kelston","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",6456
"Mana","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9297
"Mangere","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",4572
"Manukau East","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",4761
"Manurewa","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",5337
"Maungakiekie","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",6519
"Mt Albert","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",6855
"Mt Roskill","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",7704
"Napier","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11982
"New Lynn","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8928
"New Plymouth","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12123
"North Shore","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10524
"Northcote","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9057
"Northland","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",15855
"Ohariu","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11124
"Otaki","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",13536
"Pakuranga","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10017
"Palmerston North","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9381
"Papakura","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8577
"Rangitikei","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11163
"Rimutaka","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10080
"Rodney","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10953
"Rongotai","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9756
"Rotorua","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10650
"Tamaki","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8133
"Taranaki-King Country","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10296
"Taupo","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11412
"Tauranga","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",9462
"Te Atatu","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8055
"Tukituki","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10341
"Upper Harbour","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",7407
"Waikato","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10383
"Wairarapa","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11979
"Wellington Central","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",7812
"Whanganui","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11559
"Whangarei","North Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11937
"Christchurch Central","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8526
"Christchurch East","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",11001
"Clutha-Southland","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10536
"Dunedin North","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8424
"Dunedin South","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10911
"Ilam","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12048
"Invercargill","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10998
"Kaikoura","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12480
"Nelson","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12570
"Port Hills","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",13392
"Rangitata","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12159
"Selwyn","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",10839
"Waimakariri","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12549
"Waitaki","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",12246
"West Coast-Tasman","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",13182
"Wigram","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",8907
"Area Outside General Electorate","South Island general electorates","Dwelling owned or partly owned, mortgage payments not made",NA
"Auckland Central","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",285
"Bay of Plenty","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",693
"Botany","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",486
"Coromandel","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",963
"East Coast","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",1152
"East Coast Bays","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",495
"Epsom","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",330
"Hamilton East","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",513
"Hamilton West","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",654
"Helensville","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",552
"Hunua","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",693
"Hutt South","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",567
"Kelston","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",531
"Mana","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",543
"Mangere","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",510
"Manukau East","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",549
"Manurewa","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",630
"Maungakiekie","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",456
"Mt Albert","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",408
"Mt Roskill","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",423
"Napier","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",747
"New Lynn","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",555
"New Plymouth","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",798
"North Shore","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",501
"Northcote","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",537
"Northland","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",1065
"Ohariu","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",447
"Otaki","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",900
"Pakuranga","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",534
"Palmerston North","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",546
"Papakura","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",708
"Rangitikei","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",723
"Rimutaka","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",615
"Rodney","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",744
"Rongotai","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",468
"Rotorua","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",819
"Tamaki","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",414
"Taranaki-King Country","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",807
"Taupo","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",849
"Tauranga","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",594
"Te Atatu","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",549
"Tukituki","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",825
"Upper Harbour","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",549
"Waikato","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",816
"Wairarapa","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",774
"Wellington Central","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",336
"Whanganui","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",861
"Whangarei","North Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",855
"Christchurch Central","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",471
"Christchurch East","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",726
"Clutha-Southland","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",594
"Dunedin North","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",432
"Dunedin South","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",681
"Ilam","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",549
"Invercargill","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",765
"Kaikoura","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",825
"Nelson","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",621
"Port Hills","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",627
"Rangitata","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",675
"Selwyn","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",534
"Waimakariri","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",714
"Waitaki","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",705
"West Coast-Tasman","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",840
"Wigram","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",555
"Area Outside General Electorate","South Island general electorates","Dwelling owned or partly owned, mortgage arrangements not further defined",NA
"Auckland Central","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",29427
"Bay of Plenty","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",18297
"Botany","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",18069
"Coromandel","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",16896
"East Coast","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",30372
"East Coast Bays","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",14211
"Epsom","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",18891
"Hamilton East","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",27567
"Hamilton West","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",27558
"Helensville","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",11526
"Hunua","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",15021
"Hutt South","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17742
"Kelston","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",23331
"Mana","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",21768
"Mangere","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",30942
"Manukau East","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",31329
"Manurewa","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",32583
"Maungakiekie","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",31134
"Mt Albert","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",24378
"Mt Roskill","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",25044
"Napier","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",20850
"New Lynn","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",18843
"New Plymouth","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17715
"North Shore","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17163
"Northcote","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",19398
"Northland","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",21897
"Ohariu","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",14241
"Otaki","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",14997
"Pakuranga","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17001
"Palmerston North","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",23862
"Papakura","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",24996
"Rangitikei","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",16719
"Rimutaka","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",20460
"Rodney","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",14745
"Rongotai","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",23358
"Rotorua","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",24270
"Tamaki","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17019
"Taranaki-King Country","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",16098
"Taupo","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",21870
"Tauranga","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",20910
"Te Atatu","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",23166
"Tukituki","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",21423
"Upper Harbour","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",20007
"Waikato","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",19095
"Wairarapa","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",15960
"Wellington Central","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",28347
"Whanganui","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",19218
"Whangarei","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",21135
"Christchurch Central","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",26871
"Christchurch East","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",18924
"Clutha-Southland","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17148
"Dunedin North","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",20919
"Dunedin South","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",12717
"Ilam","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",17901
"Invercargill","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",14922
"Kaikoura","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",14457
"Nelson","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",16404
"Port Hills","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",13431
"Rangitata","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",15471
"Selwyn","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",9846
"Waimakariri","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",9891
"Waitaki","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",13941
"West Coast-Tasman","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",12936
"Wigram","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",22836
"Area Outside General Electorate","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments made",NA
"Auckland Central","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1503
"Bay of Plenty","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1536
"Botany","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1770
"Coromandel","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",3810
"East Coast","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",4641
"East Coast Bays","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1131
"Epsom","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1452
"Hamilton East","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1254
"Hamilton West","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1326
"Helensville","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1383
"Hunua","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1686
"Hutt South","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1230
"Kelston","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1446
"Mana","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1086
"Mangere","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2097
"Manukau East","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2070
"Manurewa","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1755
"Maungakiekie","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1344
"Mt Albert","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1071
"Mt Roskill","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1404
"Napier","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2316
"New Lynn","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1563
"New Plymouth","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2340
"North Shore","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1332
"Northcote","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1353
"Northland","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",4548
"Ohariu","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",879
"Otaki","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1671
"Pakuranga","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1416
"Palmerston North","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1056
"Papakura","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1815
"Rangitikei","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2964
"Rimutaka","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1179
"Rodney","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1311
"Rongotai","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1146
"Rotorua","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2676
"Tamaki","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1200
"Taranaki-King Country","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",4128
"Taupo","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",3525
"Tauranga","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1173
"Te Atatu","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1704
"Tukituki","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2106
"Upper Harbour","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1425
"Waikato","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",4302
"Wairarapa","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",3147
"Wellington Central","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",804
"Whanganui","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",3579
"Whangarei","North Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1809
"Christchurch Central","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1098
"Christchurch East","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1272
"Clutha-Southland","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",3699
"Dunedin North","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1023
"Dunedin South","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1317
"Ilam","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1218
"Invercargill","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2277
"Kaikoura","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2265
"Nelson","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1140
"Port Hills","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1266
"Rangitata","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2529
"Selwyn","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2130
"Waimakariri","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1314
"Waitaki","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",3006
"West Coast-Tasman","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",2556
"Wigram","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",1200
"Area Outside General Electorate","South Island general electorates","Dwelling not owned and not held in a family trust, rent payments not made",NA
"Auckland Central","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",117
"Bay of Plenty","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",123
"Botany","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",144
"Coromandel","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",234
"East Coast","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",405
"East Coast Bays","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",96
"Epsom","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",90
"Hamilton East","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",129
"Hamilton West","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",171
"Helensville","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",69
"Hunua","North Island general electorates","Dwelling not owned and not held in a family trust, rental arrangements not further defined",138
