"level0","level1","level2","level3","Work and labour force status(1)","count"
"Male","20–24 Years","Bay of Plenty","North Island general electorates","Employed Full-time",831
"Female","20–24 Years","Bay of Plenty","North Island general electorates","Employed Full-time",543
"Male","25–29 Years","Bay of Plenty","North Island general electorates","Employed Full-time",972
"Female","25–29 Years","Bay of Plenty","North Island general electorates","Employed Full-time",666
"Male","30–34 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1152
"Female","30–34 Years","Bay of Plenty","North Island general electorates","Employed Full-time",696
"Male","35–39 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1431
"Female","35–39 Years","Bay of Plenty","North Island general electorates","Employed Full-time",813
"Male","40–44 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1728
"Female","40–44 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1122
"Male","45–49 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1731
"Female","45–49 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1281
"Male","50–54 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1605
"Female","50–54 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1293
"Male","55–59 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1446
"Female","55–59 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1026
"Male","60–64 Years","Bay of Plenty","North Island general electorates","Employed Full-time",1131
"Female","60–64 Years","Bay of Plenty","North Island general electorates","Employed Full-time",699
"Male","65–69 Years","Bay of Plenty","North Island general electorates","Employed Full-time",582
"Female","65–69 Years","Bay of Plenty","North Island general electorates","Employed Full-time",234
"Male","70–74 Years","Bay of Plenty","North Island general electorates","Employed Full-time",174
"Female","70–74 Years","Bay of Plenty","North Island general electorates","Employed Full-time",69
"Male","75–79 Years","Bay of Plenty","North Island general electorates","Employed Full-time",45
"Female","75–79 Years","Bay of Plenty","North Island general electorates","Employed Full-time",15
"Male","80–84 Years","Bay of Plenty","North Island general electorates","Employed Full-time",15
"Female","80–84 Years","Bay of Plenty","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","Bay of Plenty","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","Bay of Plenty","North Island general electorates","Employed Full-time",0
"Male","15–19 Years","Botany","North Island general electorates","Employed Full-time",252
"Female","15–19 Years","Botany","North Island general electorates","Employed Full-time",114
"Male","20–24 Years","Botany","North Island general electorates","Employed Full-time",1014
"Female","20–24 Years","Botany","North Island general electorates","Employed Full-time",771
"Male","25–29 Years","Botany","North Island general electorates","Employed Full-time",1317
"Female","25–29 Years","Botany","North Island general electorates","Employed Full-time",1257
"Male","30–34 Years","Botany","North Island general electorates","Employed Full-time",1602
"Female","30–34 Years","Botany","North Island general electorates","Employed Full-time",1185
"Male","35–39 Years","Botany","North Island general electorates","Employed Full-time",1461
"Female","35–39 Years","Botany","North Island general electorates","Employed Full-time",1077
"Male","40–44 Years","Botany","North Island general electorates","Employed Full-time",1749
"Female","40–44 Years","Botany","North Island general electorates","Employed Full-time",1389
"Male","45–49 Years","Botany","North Island general electorates","Employed Full-time",1866
"Female","45–49 Years","Botany","North Island general electorates","Employed Full-time",1464
"Male","50–54 Years","Botany","North Island general electorates","Employed Full-time",1626
"Female","50–54 Years","Botany","North Island general electorates","Employed Full-time",1242
"Male","55–59 Years","Botany","North Island general electorates","Employed Full-time",1266
"Female","55–59 Years","Botany","North Island general electorates","Employed Full-time",873
"Male","60–64 Years","Botany","North Island general electorates","Employed Full-time",885
"Female","60–64 Years","Botany","North Island general electorates","Employed Full-time",561
"Male","65–69 Years","Botany","North Island general electorates","Employed Full-time",426
"Female","65–69 Years","Botany","North Island general electorates","Employed Full-time",183
"Male","70–74 Years","Botany","North Island general electorates","Employed Full-time",99
"Female","70–74 Years","Botany","North Island general electorates","Employed Full-time",30
"Male","75–79 Years","Botany","North Island general electorates","Employed Full-time",18
"Female","75–79 Years","Botany","North Island general electorates","Employed Full-time",6
"Male","80–84 Years","Botany","North Island general electorates","Employed Full-time",6
"Female","80–84 Years","Botany","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","Botany","North Island general electorates","Employed Full-time",0
"Female","85 Years And Over","Botany","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Coromandel","North Island general electorates","Employed Full-time",363
"Female","15–19 Years","Coromandel","North Island general electorates","Employed Full-time",159
"Male","20–24 Years","Coromandel","North Island general electorates","Employed Full-time",888
"Female","20–24 Years","Coromandel","North Island general electorates","Employed Full-time",459
"Male","25–29 Years","Coromandel","North Island general electorates","Employed Full-time",882
"Female","25–29 Years","Coromandel","North Island general electorates","Employed Full-time",498
"Male","30–34 Years","Coromandel","North Island general electorates","Employed Full-time",885
"Female","30–34 Years","Coromandel","North Island general electorates","Employed Full-time",453
"Male","35–39 Years","Coromandel","North Island general electorates","Employed Full-time",1107
"Female","35–39 Years","Coromandel","North Island general electorates","Employed Full-time",666
"Male","40–44 Years","Coromandel","North Island general electorates","Employed Full-time",1416
"Female","40–44 Years","Coromandel","North Island general electorates","Employed Full-time",918
"Male","45–49 Years","Coromandel","North Island general electorates","Employed Full-time",1506
"Female","45–49 Years","Coromandel","North Island general electorates","Employed Full-time",1143
"Male","50–54 Years","Coromandel","North Island general electorates","Employed Full-time",1590
"Female","50–54 Years","Coromandel","North Island general electorates","Employed Full-time",1275
"Male","55–59 Years","Coromandel","North Island general electorates","Employed Full-time",1614
"Female","55–59 Years","Coromandel","North Island general electorates","Employed Full-time",1140
"Male","60–64 Years","Coromandel","North Island general electorates","Employed Full-time",1425
"Female","60–64 Years","Coromandel","North Island general electorates","Employed Full-time",843
"Male","65–69 Years","Coromandel","North Island general electorates","Employed Full-time",747
"Female","65–69 Years","Coromandel","North Island general electorates","Employed Full-time",288
"Male","70–74 Years","Coromandel","North Island general electorates","Employed Full-time",255
"Female","70–74 Years","Coromandel","North Island general electorates","Employed Full-time",105
"Male","75–79 Years","Coromandel","North Island general electorates","Employed Full-time",78
"Female","75–79 Years","Coromandel","North Island general electorates","Employed Full-time",21
"Male","80–84 Years","Coromandel","North Island general electorates","Employed Full-time",33
"Female","80–84 Years","Coromandel","North Island general electorates","Employed Full-time",6
"Male","85 Years And Over","Coromandel","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","Coromandel","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","East Coast","North Island general electorates","Employed Full-time",531
"Female","15–19 Years","East Coast","North Island general electorates","Employed Full-time",267
"Male","20–24 Years","East Coast","North Island general electorates","Employed Full-time",1371
"Female","20–24 Years","East Coast","North Island general electorates","Employed Full-time",759
"Male","25–29 Years","East Coast","North Island general electorates","Employed Full-time",1275
"Female","25–29 Years","East Coast","North Island general electorates","Employed Full-time",831
"Male","30–34 Years","East Coast","North Island general electorates","Employed Full-time",1326
"Female","30–34 Years","East Coast","North Island general electorates","Employed Full-time",894
"Male","35–39 Years","East Coast","North Island general electorates","Employed Full-time",1659
"Female","35–39 Years","East Coast","North Island general electorates","Employed Full-time",1101
"Male","40–44 Years","East Coast","North Island general electorates","Employed Full-time",1866
"Female","40–44 Years","East Coast","North Island general electorates","Employed Full-time",1476
"Male","45–49 Years","East Coast","North Island general electorates","Employed Full-time",1902
"Female","45–49 Years","East Coast","North Island general electorates","Employed Full-time",1629
"Male","50–54 Years","East Coast","North Island general electorates","Employed Full-time",2160
"Female","50–54 Years","East Coast","North Island general electorates","Employed Full-time",1770
"Male","55–59 Years","East Coast","North Island general electorates","Employed Full-time",2001
"Female","55–59 Years","East Coast","North Island general electorates","Employed Full-time",1500
"Male","60–64 Years","East Coast","North Island general electorates","Employed Full-time",1677
"Female","60–64 Years","East Coast","North Island general electorates","Employed Full-time",1026
"Male","65–69 Years","East Coast","North Island general electorates","Employed Full-time",741
"Female","65–69 Years","East Coast","North Island general electorates","Employed Full-time",366
"Male","70–74 Years","East Coast","North Island general electorates","Employed Full-time",279
"Female","70–74 Years","East Coast","North Island general electorates","Employed Full-time",123
"Male","75–79 Years","East Coast","North Island general electorates","Employed Full-time",69
"Female","75–79 Years","East Coast","North Island general electorates","Employed Full-time",30
"Male","80–84 Years","East Coast","North Island general electorates","Employed Full-time",30
"Female","80–84 Years","East Coast","North Island general electorates","Employed Full-time",15
"Male","85 Years And Over","East Coast","North Island general electorates","Employed Full-time",15
"Female","85 Years And Over","East Coast","North Island general electorates","Employed Full-time",6
"Male","15–19 Years","East Coast Bays","North Island general electorates","Employed Full-time",249
"Female","15–19 Years","East Coast Bays","North Island general electorates","Employed Full-time",171
"Male","20–24 Years","East Coast Bays","North Island general electorates","Employed Full-time",1002
"Female","20–24 Years","East Coast Bays","North Island general electorates","Employed Full-time",732
"Male","25–29 Years","East Coast Bays","North Island general electorates","Employed Full-time",1131
"Female","25–29 Years","East Coast Bays","North Island general electorates","Employed Full-time",918
"Male","30–34 Years","East Coast Bays","North Island general electorates","Employed Full-time",1365
"Female","30–34 Years","East Coast Bays","North Island general electorates","Employed Full-time",831
"Male","35–39 Years","East Coast Bays","North Island general electorates","Employed Full-time",1380
"Female","35–39 Years","East Coast Bays","North Island general electorates","Employed Full-time",906
"Male","40–44 Years","East Coast Bays","North Island general electorates","Employed Full-time",1815
"Female","40–44 Years","East Coast Bays","North Island general electorates","Employed Full-time",1263
"Male","45–49 Years","East Coast Bays","North Island general electorates","Employed Full-time",1866
"Female","45–49 Years","East Coast Bays","North Island general electorates","Employed Full-time",1371
"Male","50–54 Years","East Coast Bays","North Island general electorates","Employed Full-time",1728
"Female","50–54 Years","East Coast Bays","North Island general electorates","Employed Full-time",1290
"Male","55–59 Years","East Coast Bays","North Island general electorates","Employed Full-time",1344
"Female","55–59 Years","East Coast Bays","North Island general electorates","Employed Full-time",936
"Male","60–64 Years","East Coast Bays","North Island general electorates","Employed Full-time",948
"Female","60–64 Years","East Coast Bays","North Island general electorates","Employed Full-time",564
"Male","65–69 Years","East Coast Bays","North Island general electorates","Employed Full-time",444
"Female","65–69 Years","East Coast Bays","North Island general electorates","Employed Full-time",174
"Male","70–74 Years","East Coast Bays","North Island general electorates","Employed Full-time",114
"Female","70–74 Years","East Coast Bays","North Island general electorates","Employed Full-time",39
"Male","75–79 Years","East Coast Bays","North Island general electorates","Employed Full-time",30
"Female","75–79 Years","East Coast Bays","North Island general electorates","Employed Full-time",9
"Male","80–84 Years","East Coast Bays","North Island general electorates","Employed Full-time",6
"Female","80–84 Years","East Coast Bays","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","East Coast Bays","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","East Coast Bays","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Epsom","North Island general electorates","Employed Full-time",117
"Female","15–19 Years","Epsom","North Island general electorates","Employed Full-time",81
"Male","20–24 Years","Epsom","North Island general electorates","Employed Full-time",1029
"Female","20–24 Years","Epsom","North Island general electorates","Employed Full-time",1131
"Male","25–29 Years","Epsom","North Island general electorates","Employed Full-time",1521
"Female","25–29 Years","Epsom","North Island general electorates","Employed Full-time",1527
"Male","30–34 Years","Epsom","North Island general electorates","Employed Full-time",1254
"Female","30–34 Years","Epsom","North Island general electorates","Employed Full-time",1134
"Male","35–39 Years","Epsom","North Island general electorates","Employed Full-time",1185
"Female","35–39 Years","Epsom","North Island general electorates","Employed Full-time",843
"Male","40–44 Years","Epsom","North Island general electorates","Employed Full-time",1584
"Female","40–44 Years","Epsom","North Island general electorates","Employed Full-time",1248
"Male","45–49 Years","Epsom","North Island general electorates","Employed Full-time",1965
"Female","45–49 Years","Epsom","North Island general electorates","Employed Full-time",1410
"Male","50–54 Years","Epsom","North Island general electorates","Employed Full-time",1758
"Female","50–54 Years","Epsom","North Island general electorates","Employed Full-time",1245
"Male","55–59 Years","Epsom","North Island general electorates","Employed Full-time",1389
"Female","55–59 Years","Epsom","North Island general electorates","Employed Full-time",921
"Male","60–64 Years","Epsom","North Island general electorates","Employed Full-time",1002
"Female","60–64 Years","Epsom","North Island general electorates","Employed Full-time",603
"Male","65–69 Years","Epsom","North Island general electorates","Employed Full-time",537
"Female","65–69 Years","Epsom","North Island general electorates","Employed Full-time",249
"Male","70–74 Years","Epsom","North Island general electorates","Employed Full-time",198
"Female","70–74 Years","Epsom","North Island general electorates","Employed Full-time",75
"Male","75–79 Years","Epsom","North Island general electorates","Employed Full-time",57
"Female","75–79 Years","Epsom","North Island general electorates","Employed Full-time",18
"Male","80–84 Years","Epsom","North Island general electorates","Employed Full-time",24
"Female","80–84 Years","Epsom","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","Epsom","North Island general electorates","Employed Full-time",6
"Female","85 Years And Over","Epsom","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Hamilton East","North Island general electorates","Employed Full-time",336
"Female","15–19 Years","Hamilton East","North Island general electorates","Employed Full-time",174
"Male","20–24 Years","Hamilton East","North Island general electorates","Employed Full-time",1395
"Female","20–24 Years","Hamilton East","North Island general electorates","Employed Full-time",1131
"Male","25–29 Years","Hamilton East","North Island general electorates","Employed Full-time",1488
"Female","25–29 Years","Hamilton East","North Island general electorates","Employed Full-time",1140
"Male","30–34 Years","Hamilton East","North Island general electorates","Employed Full-time",1479
"Female","30–34 Years","Hamilton East","North Island general electorates","Employed Full-time",1047
"Male","35–39 Years","Hamilton East","North Island general electorates","Employed Full-time",1557
"Female","35–39 Years","Hamilton East","North Island general electorates","Employed Full-time",1068
"Male","40–44 Years","Hamilton East","North Island general electorates","Employed Full-time",1710
"Female","40–44 Years","Hamilton East","North Island general electorates","Employed Full-time",1266
"Male","45–49 Years","Hamilton East","North Island general electorates","Employed Full-time",1524
"Female","45–49 Years","Hamilton East","North Island general electorates","Employed Full-time",1284
"Male","50–54 Years","Hamilton East","North Island general electorates","Employed Full-time",1485
"Female","50–54 Years","Hamilton East","North Island general electorates","Employed Full-time",1257
"Male","55–59 Years","Hamilton East","North Island general electorates","Employed Full-time",1170
"Female","55–59 Years","Hamilton East","North Island general electorates","Employed Full-time",972
"Male","60–64 Years","Hamilton East","North Island general electorates","Employed Full-time",900
"Female","60–64 Years","Hamilton East","North Island general electorates","Employed Full-time",645
"Male","65–69 Years","Hamilton East","North Island general electorates","Employed Full-time",423
"Female","65–69 Years","Hamilton East","North Island general electorates","Employed Full-time",219
"Male","70–74 Years","Hamilton East","North Island general electorates","Employed Full-time",111
"Female","70–74 Years","Hamilton East","North Island general electorates","Employed Full-time",51
"Male","75–79 Years","Hamilton East","North Island general electorates","Employed Full-time",24
"Female","75–79 Years","Hamilton East","North Island general electorates","Employed Full-time",9
"Male","80–84 Years","Hamilton East","North Island general electorates","Employed Full-time",9
"Female","80–84 Years","Hamilton East","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","Hamilton East","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","Hamilton East","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Hamilton West","North Island general electorates","Employed Full-time",372
"Female","15–19 Years","Hamilton West","North Island general electorates","Employed Full-time",162
"Male","20–24 Years","Hamilton West","North Island general electorates","Employed Full-time",1533
"Female","20–24 Years","Hamilton West","North Island general electorates","Employed Full-time",1161
"Male","25–29 Years","Hamilton West","North Island general electorates","Employed Full-time",1932
"Female","25–29 Years","Hamilton West","North Island general electorates","Employed Full-time",1554
"Male","30–34 Years","Hamilton West","North Island general electorates","Employed Full-time",1881
"Female","30–34 Years","Hamilton West","North Island general electorates","Employed Full-time",1224
"Male","35–39 Years","Hamilton West","North Island general electorates","Employed Full-time",1713
"Female","35–39 Years","Hamilton West","North Island general electorates","Employed Full-time",1149
"Male","40–44 Years","Hamilton West","North Island general electorates","Employed Full-time",1626
"Female","40–44 Years","Hamilton West","North Island general electorates","Employed Full-time",1248
"Male","45–49 Years","Hamilton West","North Island general electorates","Employed Full-time",1542
"Female","45–49 Years","Hamilton West","North Island general electorates","Employed Full-time",1263
"Male","50–54 Years","Hamilton West","North Island general electorates","Employed Full-time",1449
"Female","50–54 Years","Hamilton West","North Island general electorates","Employed Full-time",1305
"Male","55–59 Years","Hamilton West","North Island general electorates","Employed Full-time",1251
"Female","55–59 Years","Hamilton West","North Island general electorates","Employed Full-time",1095
"Male","60–64 Years","Hamilton West","North Island general electorates","Employed Full-time",1017
"Female","60–64 Years","Hamilton West","North Island general electorates","Employed Full-time",762
"Male","65–69 Years","Hamilton West","North Island general electorates","Employed Full-time",483
"Female","65–69 Years","Hamilton West","North Island general electorates","Employed Full-time",255
"Male","70–74 Years","Hamilton West","North Island general electorates","Employed Full-time",120
"Female","70–74 Years","Hamilton West","North Island general electorates","Employed Full-time",45
"Male","75–79 Years","Hamilton West","North Island general electorates","Employed Full-time",21
"Female","75–79 Years","Hamilton West","North Island general electorates","Employed Full-time",12
"Male","80–84 Years","Hamilton West","North Island general electorates","Employed Full-time",3
"Female","80–84 Years","Hamilton West","North Island general electorates","Employed Full-time",0
"Male","85 Years And Over","Hamilton West","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","Hamilton West","North Island general electorates","Employed Full-time",0
"Male","15–19 Years","Helensville","North Island general electorates","Employed Full-time",366
"Female","15–19 Years","Helensville","North Island general electorates","Employed Full-time",171
"Male","20–24 Years","Helensville","North Island general electorates","Employed Full-time",951
"Female","20–24 Years","Helensville","North Island general electorates","Employed Full-time",699
"Male","25–29 Years","Helensville","North Island general electorates","Employed Full-time",948
"Female","25–29 Years","Helensville","North Island general electorates","Employed Full-time",711
"Male","30–34 Years","Helensville","North Island general electorates","Employed Full-time",1014
"Female","30–34 Years","Helensville","North Island general electorates","Employed Full-time",672
"Male","35–39 Years","Helensville","North Island general electorates","Employed Full-time",1461
"Female","35–39 Years","Helensville","North Island general electorates","Employed Full-time",909
"Male","40–44 Years","Helensville","North Island general electorates","Employed Full-time",2055
"Female","40–44 Years","Helensville","North Island general electorates","Employed Full-time",1341
"Male","45–49 Years","Helensville","North Island general electorates","Employed Full-time",2175
"Female","45–49 Years","Helensville","North Island general electorates","Employed Full-time",1512
"Male","50–54 Years","Helensville","North Island general electorates","Employed Full-time",1962
"Female","50–54 Years","Helensville","North Island general electorates","Employed Full-time",1389
"Male","55–59 Years","Helensville","North Island general electorates","Employed Full-time",1449
"Female","55–59 Years","Helensville","North Island general electorates","Employed Full-time",1035
"Male","60–64 Years","Helensville","North Island general electorates","Employed Full-time",1125
"Female","60–64 Years","Helensville","North Island general electorates","Employed Full-time",678
"Male","65–69 Years","Helensville","North Island general electorates","Employed Full-time",537
"Female","65–69 Years","Helensville","North Island general electorates","Employed Full-time",261
"Male","70–74 Years","Helensville","North Island general electorates","Employed Full-time",177
"Female","70–74 Years","Helensville","North Island general electorates","Employed Full-time",60
"Male","75–79 Years","Helensville","North Island general electorates","Employed Full-time",54
"Female","75–79 Years","Helensville","North Island general electorates","Employed Full-time",21
"Male","80–84 Years","Helensville","North Island general electorates","Employed Full-time",18
"Female","80–84 Years","Helensville","North Island general electorates","Employed Full-time",3
"Male","85 Years And Over","Helensville","North Island general electorates","Employed Full-time",6
"Female","85 Years And Over","Helensville","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Hunua","North Island general electorates","Employed Full-time",414
"Female","15–19 Years","Hunua","North Island general electorates","Employed Full-time",180
"Male","20–24 Years","Hunua","North Island general electorates","Employed Full-time",1044
"Female","20–24 Years","Hunua","North Island general electorates","Employed Full-time",708
"Male","25–29 Years","Hunua","North Island general electorates","Employed Full-time",1053
"Female","25–29 Years","Hunua","North Island general electorates","Employed Full-time",774
"Male","30–34 Years","Hunua","North Island general electorates","Employed Full-time",1251
"Female","30–34 Years","Hunua","North Island general electorates","Employed Full-time",789
"Male","35–39 Years","Hunua","North Island general electorates","Employed Full-time",1635
"Female","35–39 Years","Hunua","North Island general electorates","Employed Full-time",987
"Male","40–44 Years","Hunua","North Island general electorates","Employed Full-time",2076
"Female","40–44 Years","Hunua","North Island general electorates","Employed Full-time",1440
"Male","45–49 Years","Hunua","North Island general electorates","Employed Full-time",2082
"Female","45–49 Years","Hunua","North Island general electorates","Employed Full-time",1380
"Male","50–54 Years","Hunua","North Island general electorates","Employed Full-time",1908
"Female","50–54 Years","Hunua","North Island general electorates","Employed Full-time",1386
"Male","55–59 Years","Hunua","North Island general electorates","Employed Full-time",1506
"Female","55–59 Years","Hunua","North Island general electorates","Employed Full-time",987
"Male","60–64 Years","Hunua","North Island general electorates","Employed Full-time",1137
"Female","60–64 Years","Hunua","North Island general electorates","Employed Full-time",657
"Male","65–69 Years","Hunua","North Island general electorates","Employed Full-time",549
"Female","65–69 Years","Hunua","North Island general electorates","Employed Full-time",264
"Male","70–74 Years","Hunua","North Island general electorates","Employed Full-time",201
"Female","70–74 Years","Hunua","North Island general electorates","Employed Full-time",84
"Male","75–79 Years","Hunua","North Island general electorates","Employed Full-time",60
"Female","75–79 Years","Hunua","North Island general electorates","Employed Full-time",15
"Male","80–84 Years","Hunua","North Island general electorates","Employed Full-time",24
"Female","80–84 Years","Hunua","North Island general electorates","Employed Full-time",9
"Male","85 Years And Over","Hunua","North Island general electorates","Employed Full-time",6
"Female","85 Years And Over","Hunua","North Island general electorates","Employed Full-time",3
"Male","15–19 Years","Hutt South","North Island general electorates","Employed Full-time",279
"Female","15–19 Years","Hutt South","North Island general electorates","Employed Full-time",174
"Male","20–24 Years","Hutt South","North Island general electorates","Employed Full-time",1068
"Female","20–24 Years","Hutt South","North Island general electorates","Employed Full-time",966
"Male","25–29 Years","Hutt South","North Island general electorates","Employed Full-time",1401
"Female","25–29 Years","Hutt South","North Island general electorates","Employed Full-time",1155
"Male","30–34 Years","Hutt South","North Island general electorates","Employed Full-time",1695
"Female","30–34 Years","Hutt South","North Island general electorates","Employed Full-time",1188
"Male","35–39 Years","Hutt South","North Island general electorates","Employed Full-time",1782
"Female","35–39 Years","Hutt South","North Island general electorates","Employed Full-time",1242
"Male","40–44 Years","Hutt South","North Island general electorates","Employed Full-time",2040
"Female","40–44 Years","Hutt South","North Island general electorates","Employed Full-time",1497
"Male","45–49 Years","Hutt South","North Island general electorates","Employed Full-time",1941
"Female","45–49 Years","Hutt South","North Island general electorates","Employed Full-time",1542
"Male","50–54 Years","Hutt South","North Island general electorates","Employed Full-time",1983
"Female","50–54 Years","Hutt South","North Island general electorates","Employed Full-time",1560
"Male","55–59 Years","Hutt South","North Island general electorates","Employed Full-time",1569
"Female","55–59 Years","Hutt South","North Island general electorates","Employed Full-time",1257
"Male","60–64 Years","Hutt South","North Island general electorates","Employed Full-time",1176
"Female","60–64 Years","Hutt South","North Island general electorates","Employed Full-time",825
"Male","65–69 Years","Hutt South","North Island general electorates","Employed Full-time",525
"Female","65–69 Years","Hutt South","North Island general electorates","Employed Full-time",273
"Male","70–74 Years","Hutt South","North Island general electorates","Employed Full-time",150
"Female","70–74 Years","Hutt South","North Island general electorates","Employed Full-time",63
"Male","75–79 Years","Hutt South","North Island general electorates","Employed Full-time",30
"Female","75–79 Years","Hutt South","North Island general electorates","Employed Full-time",9
"Male","80–84 Years","Hutt South","North Island general electorates","Employed Full-time",9
"Female","80–84 Years","Hutt South","North Island general electorates","Employed Full-time",0
"Male","85 Years And Over","Hutt South","North Island general electorates","Employed Full-time",0
"Female","85 Years And Over","Hutt South","North Island general electorates","Employed Full-time",0
"Male","15–19 Years","Kelston","North Island general electorates","Employed Full-time",249
"Female","15–19 Years","Kelston","North Island general electorates","Employed Full-time",120
"Male","20–24 Years","Kelston","North Island general electorates","Employed Full-time",1032
"Female","20–24 Years","Kelston","North Island general electorates","Employed Full-time",807
"Male","25–29 Years","Kelston","North Island general electorates","Employed Full-time",1386
"Female","25–29 Years","Kelston","North Island general electorates","Employed Full-time",1155
"Male","30–34 Years","Kelston","North Island general electorates","Employed Full-time",1632
"Female","30–34 Years","Kelston","North Island general electorates","Employed Full-time",1170
"Male","35–39 Years","Kelston","North Island general electorates","Employed Full-time",1608
"Female","35–39 Years","Kelston","North Island general electorates","Employed Full-time",1119
"Male","40–44 Years","Kelston","North Island general electorates","Employed Full-time",1629
"Female","40–44 Years","Kelston","North Island general electorates","Employed Full-time",1242
"Male","45–49 Years","Kelston","North Island general electorates","Employed Full-time",1368
"Female","45–49 Years","Kelston","North Island general electorates","Employed Full-time",1152
"Male","50–54 Years","Kelston","North Island general electorates","Employed Full-time",1260
"Female","50–54 Years","Kelston","North Island general electorates","Employed Full-time",1125
"Male","55–59 Years","Kelston","North Island general electorates","Employed Full-time",966
"Female","55–59 Years","Kelston","North Island general electorates","Employed Full-time",867
"Male","60–64 Years","Kelston","North Island general electorates","Employed Full-time",654
"Female","60–64 Years","Kelston","North Island general electorates","Employed Full-time",453
"Male","65–69 Years","Kelston","North Island general electorates","Employed Full-time",264
"Female","65–69 Years","Kelston","North Island general electorates","Employed Full-time",168
"Male","70–74 Years","Kelston","North Island general electorates","Employed Full-time",84
"Female","70–74 Years","Kelston","North Island general electorates","Employed Full-time",42
"Male","75–79 Years","Kelston","North Island general electorates","Employed Full-time",24
"Female","75–79 Years","Kelston","North Island general electorates","Employed Full-time",9
"Male","80–84 Years","Kelston","North Island general electorates","Employed Full-time",3
"Female","80–84 Years","Kelston","North Island general electorates","Employed Full-time",0
"Male","85 Years And Over","Kelston","North Island general electorates","Employed Full-time",3
"Female","85 Years And Over","Kelston","North Island general electorates","Employed Full-time",0
"Male","15–19 Years","Mana","North Island general electorates","Employed Full-time",288
"Female","15–19 Years","Mana","North Island general electorates","Employed Full-time",189
