"level0","level1","level2","Total personal income(1)","count"
"Male","25–29 Years","Tāmaki Makaurau","Loss",18
"Female","25–29 Years","Tāmaki Makaurau","Loss",15
"Male","30–34 Years","Tāmaki Makaurau","Loss",18
"Female","30–34 Years","Tāmaki Makaurau","Loss",15
"Male","35–39 Years","Tāmaki Makaurau","Loss",21
"Female","35–39 Years","Tāmaki Makaurau","Loss",18
"Male","40–44 Years","Tāmaki Makaurau","Loss",18
"Female","40–44 Years","Tāmaki Makaurau","Loss",12
"Male","45–49 Years","Tāmaki Makaurau","Loss",12
"Female","45–49 Years","Tāmaki Makaurau","Loss",9
"Male","50–54 Years","Tāmaki Makaurau","Loss",15
"Female","50–54 Years","Tāmaki Makaurau","Loss",15
"Male","55–59 Years","Tāmaki Makaurau","Loss",12
"Female","55–59 Years","Tāmaki Makaurau","Loss",9
"Male","60–64 Years","Tāmaki Makaurau","Loss",6
"Female","60–64 Years","Tāmaki Makaurau","Loss",6
"Male","65–69 Years","Tāmaki Makaurau","Loss",3
"Female","65–69 Years","Tāmaki Makaurau","Loss",6
"Male","70–74 Years","Tāmaki Makaurau","Loss",3
"Female","70–74 Years","Tāmaki Makaurau","Loss",3
"Male","75–79 Years","Tāmaki Makaurau","Loss",3
"Female","75–79 Years","Tāmaki Makaurau","Loss",3
"Male","80–84 Years","Tāmaki Makaurau","Loss",0
"Female","80–84 Years","Tāmaki Makaurau","Loss",0
"Male","85 Years And Over","Tāmaki Makaurau","Loss",0
"Female","85 Years And Over","Tāmaki Makaurau","Loss",0
"Male","15–19 Years","Te Tai Hauāuru","Loss",54
"Female","15–19 Years","Te Tai Hauāuru","Loss",36
"Male","20–24 Years","Te Tai Hauāuru","Loss",36
"Female","20–24 Years","Te Tai Hauāuru","Loss",21
"Male","25–29 Years","Te Tai Hauāuru","Loss",15
"Female","25–29 Years","Te Tai Hauāuru","Loss",18
"Male","30–34 Years","Te Tai Hauāuru","Loss",18
"Female","30–34 Years","Te Tai Hauāuru","Loss",18
"Male","35–39 Years","Te Tai Hauāuru","Loss",15
"Female","35–39 Years","Te Tai Hauāuru","Loss",15
"Male","40–44 Years","Te Tai Hauāuru","Loss",12
"Female","40–44 Years","Te Tai Hauāuru","Loss",9
"Male","45–49 Years","Te Tai Hauāuru","Loss",12
"Female","45–49 Years","Te Tai Hauāuru","Loss",15
"Male","50–54 Years","Te Tai Hauāuru","Loss",12
"Female","50–54 Years","Te Tai Hauāuru","Loss",12
"Male","55–59 Years","Te Tai Hauāuru","Loss",18
"Female","55–59 Years","Te Tai Hauāuru","Loss",9
"Male","60–64 Years","Te Tai Hauāuru","Loss",12
"Female","60–64 Years","Te Tai Hauāuru","Loss",6
"Male","65–69 Years","Te Tai Hauāuru","Loss",6
"Female","65–69 Years","Te Tai Hauāuru","Loss",6
"Male","70–74 Years","Te Tai Hauāuru","Loss",0
"Female","70–74 Years","Te Tai Hauāuru","Loss",0
"Male","75–79 Years","Te Tai Hauāuru","Loss",3
"Female","75–79 Years","Te Tai Hauāuru","Loss",0
"Male","80–84 Years","Te Tai Hauāuru","Loss",0
"Female","80–84 Years","Te Tai Hauāuru","Loss",0
"Male","85 Years And Over","Te Tai Hauāuru","Loss",0
"Female","85 Years And Over","Te Tai Hauāuru","Loss",0
"Male","15–19 Years","Te Tai Tokerau","Loss",51
"Female","15–19 Years","Te Tai Tokerau","Loss",42
"Male","20–24 Years","Te Tai Tokerau","Loss",27
"Female","20–24 Years","Te Tai Tokerau","Loss",21
"Male","25–29 Years","Te Tai Tokerau","Loss",15
"Female","25–29 Years","Te Tai Tokerau","Loss",15
"Male","30–34 Years","Te Tai Tokerau","Loss",12
"Female","30–34 Years","Te Tai Tokerau","Loss",12
"Male","35–39 Years","Te Tai Tokerau","Loss",9
"Female","35–39 Years","Te Tai Tokerau","Loss",15
"Male","40–44 Years","Te Tai Tokerau","Loss",18
"Female","40–44 Years","Te Tai Tokerau","Loss",21
"Male","45–49 Years","Te Tai Tokerau","Loss",24
"Female","45–49 Years","Te Tai Tokerau","Loss",18
"Male","50–54 Years","Te Tai Tokerau","Loss",27
"Female","50–54 Years","Te Tai Tokerau","Loss",12
"Male","55–59 Years","Te Tai Tokerau","Loss",12
"Female","55–59 Years","Te Tai Tokerau","Loss",15
"Male","60–64 Years","Te Tai Tokerau","Loss",9
"Female","60–64 Years","Te Tai Tokerau","Loss",9
"Male","65–69 Years","Te Tai Tokerau","Loss",3
"Female","65–69 Years","Te Tai Tokerau","Loss",0
"Male","70–74 Years","Te Tai Tokerau","Loss",0
"Female","70–74 Years","Te Tai Tokerau","Loss",3
"Male","75–79 Years","Te Tai Tokerau","Loss",3
"Female","75–79 Years","Te Tai Tokerau","Loss",0
"Male","80–84 Years","Te Tai Tokerau","Loss",0
"Female","80–84 Years","Te Tai Tokerau","Loss",0
"Male","85 Years And Over","Te Tai Tokerau","Loss",0
"Female","85 Years And Over","Te Tai Tokerau","Loss",0
"Male","15–19 Years","Te Tai Tonga","Loss",42
"Female","15–19 Years","Te Tai Tonga","Loss",48
"Male","20–24 Years","Te Tai Tonga","Loss",39
"Female","20–24 Years","Te Tai Tonga","Loss",21
"Male","25–29 Years","Te Tai Tonga","Loss",21
"Female","25–29 Years","Te Tai Tonga","Loss",12
"Male","30–34 Years","Te Tai Tonga","Loss",12
"Female","30–34 Years","Te Tai Tonga","Loss",18
"Male","35–39 Years","Te Tai Tonga","Loss",21
"Female","35–39 Years","Te Tai Tonga","Loss",18
"Male","40–44 Years","Te Tai Tonga","Loss",15
"Female","40–44 Years","Te Tai Tonga","Loss",27
"Male","45–49 Years","Te Tai Tonga","Loss",21
"Female","45–49 Years","Te Tai Tonga","Loss",18
"Male","50–54 Years","Te Tai Tonga","Loss",15
"Female","50–54 Years","Te Tai Tonga","Loss",21
"Male","55–59 Years","Te Tai Tonga","Loss",21
"Female","55–59 Years","Te Tai Tonga","Loss",9
"Male","60–64 Years","Te Tai Tonga","Loss",3
"Female","60–64 Years","Te Tai Tonga","Loss",9
"Male","65–69 Years","Te Tai Tonga","Loss",6
"Female","65–69 Years","Te Tai Tonga","Loss",3
"Male","70–74 Years","Te Tai Tonga","Loss",3
"Female","70–74 Years","Te Tai Tonga","Loss",3
"Male","75–79 Years","Te Tai Tonga","Loss",0
"Female","75–79 Years","Te Tai Tonga","Loss",0
"Male","80–84 Years","Te Tai Tonga","Loss",0
"Female","80–84 Years","Te Tai Tonga","Loss",0
"Male","85 Years And Over","Te Tai Tonga","Loss",0
"Female","85 Years And Over","Te Tai Tonga","Loss",0
"Male","15–19 Years","Waiariki","Loss",45
"Female","15–19 Years","Waiariki","Loss",39
"Male","20–24 Years","Waiariki","Loss",21
"Female","20–24 Years","Waiariki","Loss",9
"Male","25–29 Years","Waiariki","Loss",15
"Female","25–29 Years","Waiariki","Loss",12
"Male","30–34 Years","Waiariki","Loss",18
"Female","30–34 Years","Waiariki","Loss",9
"Male","35–39 Years","Waiariki","Loss",21
"Female","35–39 Years","Waiariki","Loss",12
"Male","40–44 Years","Waiariki","Loss",18
"Female","40–44 Years","Waiariki","Loss",12
"Male","45–49 Years","Waiariki","Loss",15
"Female","45–49 Years","Waiariki","Loss",12
"Male","50–54 Years","Waiariki","Loss",12
"Female","50–54 Years","Waiariki","Loss",21
"Male","55–59 Years","Waiariki","Loss",12
"Female","55–59 Years","Waiariki","Loss",12
"Male","60–64 Years","Waiariki","Loss",12
"Female","60–64 Years","Waiariki","Loss",6
"Male","65–69 Years","Waiariki","Loss",3
"Female","65–69 Years","Waiariki","Loss",3
"Male","70–74 Years","Waiariki","Loss",3
"Female","70–74 Years","Waiariki","Loss",6
"Male","75–79 Years","Waiariki","Loss",0
"Female","75–79 Years","Waiariki","Loss",3
"Male","80–84 Years","Waiariki","Loss",0
"Female","80–84 Years","Waiariki","Loss",0
"Male","85 Years And Over","Waiariki","Loss",0
"Female","85 Years And Over","Waiariki","Loss",0
"Male","15–19 Years","Area Outside Māori Electorate","Loss",NA
"Female","15–19 Years","Area Outside Māori Electorate","Loss",NA
"Male","20–24 Years","Area Outside Māori Electorate","Loss",NA
"Female","20–24 Years","Area Outside Māori Electorate","Loss",NA
"Male","25–29 Years","Area Outside Māori Electorate","Loss",NA
"Female","25–29 Years","Area Outside Māori Electorate","Loss",NA
"Male","30–34 Years","Area Outside Māori Electorate","Loss",NA
"Female","30–34 Years","Area Outside Māori Electorate","Loss",NA
"Male","35–39 Years","Area Outside Māori Electorate","Loss",NA
"Female","35–39 Years","Area Outside Māori Electorate","Loss",NA
"Male","40–44 Years","Area Outside Māori Electorate","Loss",NA
"Female","40–44 Years","Area Outside Māori Electorate","Loss",NA
"Male","45–49 Years","Area Outside Māori Electorate","Loss",NA
"Female","45–49 Years","Area Outside Māori Electorate","Loss",NA
"Male","50–54 Years","Area Outside Māori Electorate","Loss",NA
"Female","50–54 Years","Area Outside Māori Electorate","Loss",NA
"Male","55–59 Years","Area Outside Māori Electorate","Loss",NA
"Female","55–59 Years","Area Outside Māori Electorate","Loss",NA
"Male","60–64 Years","Area Outside Māori Electorate","Loss",NA
"Female","60–64 Years","Area Outside Māori Electorate","Loss",NA
"Male","65–69 Years","Area Outside Māori Electorate","Loss",NA
"Female","65–69 Years","Area Outside Māori Electorate","Loss",NA
"Male","70–74 Years","Area Outside Māori Electorate","Loss",NA
"Female","70–74 Years","Area Outside Māori Electorate","Loss",NA
"Male","75–79 Years","Area Outside Māori Electorate","Loss",NA
"Female","75–79 Years","Area Outside Māori Electorate","Loss",NA
"Male","80–84 Years","Area Outside Māori Electorate","Loss",NA
"Female","80–84 Years","Area Outside Māori Electorate","Loss",NA
"Male","85 Years And Over","Area Outside Māori Electorate","Loss",NA
"Female","85 Years And Over","Area Outside Māori Electorate","Loss",NA
"Male","15–19 Years","Hauraki-Waikato","Zero income",2100
"Female","15–19 Years","Hauraki-Waikato","Zero income",2067
"Male","20–24 Years","Hauraki-Waikato","Zero income",210
"Female","20–24 Years","Hauraki-Waikato","Zero income",186
"Male","25–29 Years","Hauraki-Waikato","Zero income",90
"Female","25–29 Years","Hauraki-Waikato","Zero income",141
"Male","30–34 Years","Hauraki-Waikato","Zero income",75
"Female","30–34 Years","Hauraki-Waikato","Zero income",144
"Male","35–39 Years","Hauraki-Waikato","Zero income",75
"Female","35–39 Years","Hauraki-Waikato","Zero income",135
"Male","40–44 Years","Hauraki-Waikato","Zero income",69
"Female","40–44 Years","Hauraki-Waikato","Zero income",141
"Male","45–49 Years","Hauraki-Waikato","Zero income",69
"Female","45–49 Years","Hauraki-Waikato","Zero income",126
"Male","50–54 Years","Hauraki-Waikato","Zero income",54
"Female","50–54 Years","Hauraki-Waikato","Zero income",138
"Male","55–59 Years","Hauraki-Waikato","Zero income",54
"Female","55–59 Years","Hauraki-Waikato","Zero income",120
"Male","60–64 Years","Hauraki-Waikato","Zero income",39
"Female","60–64 Years","Hauraki-Waikato","Zero income",108
"Male","65–69 Years","Hauraki-Waikato","Zero income",6
"Female","65–69 Years","Hauraki-Waikato","Zero income",12
"Male","70–74 Years","Hauraki-Waikato","Zero income",9
"Female","70–74 Years","Hauraki-Waikato","Zero income",9
"Male","75–79 Years","Hauraki-Waikato","Zero income",6
"Female","75–79 Years","Hauraki-Waikato","Zero income",3
"Male","80–84 Years","Hauraki-Waikato","Zero income",3
"Female","80–84 Years","Hauraki-Waikato","Zero income",3
"Male","85 Years And Over","Hauraki-Waikato","Zero income",3
"Female","85 Years And Over","Hauraki-Waikato","Zero income",0
"Male","15–19 Years","Ikaroa-Rāwhiti","Zero income",1737
"Female","15–19 Years","Ikaroa-Rāwhiti","Zero income",1656
"Male","20–24 Years","Ikaroa-Rāwhiti","Zero income",159
"Female","20–24 Years","Ikaroa-Rāwhiti","Zero income",147
"Male","25–29 Years","Ikaroa-Rāwhiti","Zero income",105
"Female","25–29 Years","Ikaroa-Rāwhiti","Zero income",105
"Male","30–34 Years","Ikaroa-Rāwhiti","Zero income",90
"Female","30–34 Years","Ikaroa-Rāwhiti","Zero income",111
"Male","35–39 Years","Ikaroa-Rāwhiti","Zero income",87
"Female","35–39 Years","Ikaroa-Rāwhiti","Zero income",111
"Male","40–44 Years","Ikaroa-Rāwhiti","Zero income",81
"Female","40–44 Years","Ikaroa-Rāwhiti","Zero income",99
"Male","45–49 Years","Ikaroa-Rāwhiti","Zero income",63
"Female","45–49 Years","Ikaroa-Rāwhiti","Zero income",99
"Male","50–54 Years","Ikaroa-Rāwhiti","Zero income",54
"Female","50–54 Years","Ikaroa-Rāwhiti","Zero income",117
"Male","55–59 Years","Ikaroa-Rāwhiti","Zero income",48
"Female","55–59 Years","Ikaroa-Rāwhiti","Zero income",117
"Male","60–64 Years","Ikaroa-Rāwhiti","Zero income",45
"Female","60–64 Years","Ikaroa-Rāwhiti","Zero income",93
"Male","65–69 Years","Ikaroa-Rāwhiti","Zero income",12
"Female","65–69 Years","Ikaroa-Rāwhiti","Zero income",18
"Male","70–74 Years","Ikaroa-Rāwhiti","Zero income",6
"Female","70–74 Years","Ikaroa-Rāwhiti","Zero income",9
"Male","75–79 Years","Ikaroa-Rāwhiti","Zero income",3
"Female","75–79 Years","Ikaroa-Rāwhiti","Zero income",3
"Male","80–84 Years","Ikaroa-Rāwhiti","Zero income",3
"Female","80–84 Years","Ikaroa-Rāwhiti","Zero income",6
"Male","85 Years And Over","Ikaroa-Rāwhiti","Zero income",0
"Female","85 Years And Over","Ikaroa-Rāwhiti","Zero income",3
"Male","15–19 Years","Tāmaki Makaurau","Zero income",2151
"Female","15–19 Years","Tāmaki Makaurau","Zero income",2112
"Male","20–24 Years","Tāmaki Makaurau","Zero income",258
"Female","20–24 Years","Tāmaki Makaurau","Zero income",195
"Male","25–29 Years","Tāmaki Makaurau","Zero income",108
"Female","25–29 Years","Tāmaki Makaurau","Zero income",105
"Male","30–34 Years","Tāmaki Makaurau","Zero income",96
"Female","30–34 Years","Tāmaki Makaurau","Zero income",129
"Male","35–39 Years","Tāmaki Makaurau","Zero income",93
"Female","35–39 Years","Tāmaki Makaurau","Zero income",150
"Male","40–44 Years","Tāmaki Makaurau","Zero income",75
"Female","40–44 Years","Tāmaki Makaurau","Zero income",156
"Male","45–49 Years","Tāmaki Makaurau","Zero income",66
"Female","45–49 Years","Tāmaki Makaurau","Zero income",120
"Male","50–54 Years","Tāmaki Makaurau","Zero income",57
"Female","50–54 Years","Tāmaki Makaurau","Zero income",132
"Male","55–59 Years","Tāmaki Makaurau","Zero income",48
"Female","55–59 Years","Tāmaki Makaurau","Zero income",123
"Male","60–64 Years","Tāmaki Makaurau","Zero income",30
"Female","60–64 Years","Tāmaki Makaurau","Zero income",99
"Male","65–69 Years","Tāmaki Makaurau","Zero income",9
"Female","65–69 Years","Tāmaki Makaurau","Zero income",15
"Male","70–74 Years","Tāmaki Makaurau","Zero income",6
"Female","70–74 Years","Tāmaki Makaurau","Zero income",12
"Male","75–79 Years","Tāmaki Makaurau","Zero income",3
"Female","75–79 Years","Tāmaki Makaurau","Zero income",9
"Male","80–84 Years","Tāmaki Makaurau","Zero income",6
"Female","80–84 Years","Tāmaki Makaurau","Zero income",6
"Male","85 Years And Over","Tāmaki Makaurau","Zero income",0
"Female","85 Years And Over","Tāmaki Makaurau","Zero income",0
"Male","15–19 Years","Te Tai Hauāuru","Zero income",2187
"Female","15–19 Years","Te Tai Hauāuru","Zero income",2055
"Male","20–24 Years","Te Tai Hauāuru","Zero income",204
"Female","20–24 Years","Te Tai Hauāuru","Zero income",195
"Male","25–29 Years","Te Tai Hauāuru","Zero income",93
"Female","25–29 Years","Te Tai Hauāuru","Zero income",153
"Male","30–34 Years","Te Tai Hauāuru","Zero income",87
"Female","30–34 Years","Te Tai Hauāuru","Zero income",183
"Male","35–39 Years","Te Tai Hauāuru","Zero income",75
"Female","35–39 Years","Te Tai Hauāuru","Zero income",147
"Male","40–44 Years","Te Tai Hauāuru","Zero income",93
"Female","40–44 Years","Te Tai Hauāuru","Zero income",141
"Male","45–49 Years","Te Tai Hauāuru","Zero income",60
"Female","45–49 Years","Te Tai Hauāuru","Zero income",117
"Male","50–54 Years","Te Tai Hauāuru","Zero income",84
"Female","50–54 Years","Te Tai Hauāuru","Zero income",102
"Male","55–59 Years","Te Tai Hauāuru","Zero income",51
"Female","55–59 Years","Te Tai Hauāuru","Zero income",129
"Male","60–64 Years","Te Tai Hauāuru","Zero income",51
"Female","60–64 Years","Te Tai Hauāuru","Zero income",114
"Male","65–69 Years","Te Tai Hauāuru","Zero income",15
"Female","65–69 Years","Te Tai Hauāuru","Zero income",15
"Male","70–74 Years","Te Tai Hauāuru","Zero income",9
"Female","70–74 Years","Te Tai Hauāuru","Zero income",6
"Male","75–79 Years","Te Tai Hauāuru","Zero income",3
"Female","75–79 Years","Te Tai Hauāuru","Zero income",6
"Male","80–84 Years","Te Tai Hauāuru","Zero income",3
"Female","80–84 Years","Te Tai Hauāuru","Zero income",3
"Male","85 Years And Over","Te Tai Hauāuru","Zero income",3
"Female","85 Years And Over","Te Tai Hauāuru","Zero income",3
"Male","15–19 Years","Te Tai Tokerau","Zero income",2082
"Female","15–19 Years","Te Tai Tokerau","Zero income",2022
"Male","20–24 Years","Te Tai Tokerau","Zero income",210
"Female","20–24 Years","Te Tai Tokerau","Zero income",162
"Male","25–29 Years","Te Tai Tokerau","Zero income",102
"Female","25–29 Years","Te Tai Tokerau","Zero income",129
"Male","30–34 Years","Te Tai Tokerau","Zero income",84
"Female","30–34 Years","Te Tai Tokerau","Zero income",171
"Male","35–39 Years","Te Tai Tokerau","Zero income",87
"Female","35–39 Years","Te Tai Tokerau","Zero income",174
"Male","40–44 Years","Te Tai Tokerau","Zero income",93
"Female","40–44 Years","Te Tai Tokerau","Zero income",174
"Male","45–49 Years","Te Tai Tokerau","Zero income",105
"Female","45–49 Years","Te Tai Tokerau","Zero income",144
"Male","50–54 Years","Te Tai Tokerau","Zero income",81
"Female","50–54 Years","Te Tai Tokerau","Zero income",168
"Male","55–59 Years","Te Tai Tokerau","Zero income",75
"Female","55–59 Years","Te Tai Tokerau","Zero income",135
"Male","60–64 Years","Te Tai Tokerau","Zero income",45
"Female","60–64 Years","Te Tai Tokerau","Zero income",126
"Male","65–69 Years","Te Tai Tokerau","Zero income",12
"Female","65–69 Years","Te Tai Tokerau","Zero income",12
"Male","70–74 Years","Te Tai Tokerau","Zero income",3
"Female","70–74 Years","Te Tai Tokerau","Zero income",12
"Male","75–79 Years","Te Tai Tokerau","Zero income",9
"Female","75–79 Years","Te Tai Tokerau","Zero income",9
"Male","80–84 Years","Te Tai Tokerau","Zero income",6
"Female","80–84 Years","Te Tai Tokerau","Zero income",9
"Male","85 Years And Over","Te Tai Tokerau","Zero income",3
"Female","85 Years And Over","Te Tai Tokerau","Zero income",6
"Male","15–19 Years","Te Tai Tonga","Zero income",2190
"Female","15–19 Years","Te Tai Tonga","Zero income",1959
"Male","20–24 Years","Te Tai Tonga","Zero income",183
"Female","20–24 Years","Te Tai Tonga","Zero income",192
"Male","25–29 Years","Te Tai Tonga","Zero income",81
"Female","25–29 Years","Te Tai Tonga","Zero income",162
"Male","30–34 Years","Te Tai Tonga","Zero income",72
"Female","30–34 Years","Te Tai Tonga","Zero income",198
"Male","35–39 Years","Te Tai Tonga","Zero income",75
"Female","35–39 Years","Te Tai Tonga","Zero income",204
"Male","40–44 Years","Te Tai Tonga","Zero income",72
"Female","40–44 Years","Te Tai Tonga","Zero income",177
"Male","45–49 Years","Te Tai Tonga","Zero income",69
"Female","45–49 Years","Te Tai Tonga","Zero income",165
"Male","50–54 Years","Te Tai Tonga","Zero income",69
"Female","50–54 Years","Te Tai Tonga","Zero income",141
"Male","55–59 Years","Te Tai Tonga","Zero income",48
"Female","55–59 Years","Te Tai Tonga","Zero income",114
"Male","60–64 Years","Te Tai Tonga","Zero income",54
"Female","60–64 Years","Te Tai Tonga","Zero income",93
"Male","65–69 Years","Te Tai Tonga","Zero income",9
"Female","65–69 Years","Te Tai Tonga","Zero income",9
"Male","70–74 Years","Te Tai Tonga","Zero income",6
"Female","70–74 Years","Te Tai Tonga","Zero income",6
"Male","75–79 Years","Te Tai Tonga","Zero income",9
"Female","75–79 Years","Te Tai Tonga","Zero income",6
"Male","80–84 Years","Te Tai Tonga","Zero income",6
"Female","80–84 Years","Te Tai Tonga","Zero income",3
"Male","85 Years And Over","Te Tai Tonga","Zero income",3
"Female","85 Years And Over","Te Tai Tonga","Zero income",6
"Male","15–19 Years","Waiariki","Zero income",1770
"Female","15–19 Years","Waiariki","Zero income",1647
"Male","20–24 Years","Waiariki","Zero income",165
"Female","20–24 Years","Waiariki","Zero income",156
"Male","25–29 Years","Waiariki","Zero income",102
"Female","25–29 Years","Waiariki","Zero income",120
"Male","30–34 Years","Waiariki","Zero income",72
"Female","30–34 Years","Waiariki","Zero income",108
"Male","35–39 Years","Waiariki","Zero income",78
"Female","35–39 Years","Waiariki","Zero income",129
"Male","40–44 Years","Waiariki","Zero income",69
"Female","40–44 Years","Waiariki","Zero income",93
"Male","45–49 Years","Waiariki","Zero income",60
"Female","45–49 Years","Waiariki","Zero income",114
"Male","50–54 Years","Waiariki","Zero income",66
"Female","50–54 Years","Waiariki","Zero income",126
"Male","55–59 Years","Waiariki","Zero income",57
"Female","55–59 Years","Waiariki","Zero income",111
"Male","60–64 Years","Waiariki","Zero income",60
"Female","60–64 Years","Waiariki","Zero income",96
"Male","65–69 Years","Waiariki","Zero income",15
"Female","65–69 Years","Waiariki","Zero income",12
"Male","70–74 Years","Waiariki","Zero income",9
"Female","70–74 Years","Waiariki","Zero income",12
"Male","75–79 Years","Waiariki","Zero income",9
"Female","75–79 Years","Waiariki","Zero income",6
"Male","80–84 Years","Waiariki","Zero income",3
"Female","80–84 Years","Waiariki","Zero income",3
"Male","85 Years And Over","Waiariki","Zero income",0
"Female","85 Years And Over","Waiariki","Zero income",12
"Male","15–19 Years","Area Outside Māori Electorate","Zero income",NA
"Female","15–19 Years","Area Outside Māori Electorate","Zero income",NA
"Male","20–24 Years","Area Outside Māori Electorate","Zero income",NA
"Female","20–24 Years","Area Outside Māori Electorate","Zero income",NA
"Male","25–29 Years","Area Outside Māori Electorate","Zero income",NA
"Female","25–29 Years","Area Outside Māori Electorate","Zero income",NA
"Male","30–34 Years","Area Outside Māori Electorate","Zero income",NA
"Female","30–34 Years","Area Outside Māori Electorate","Zero income",NA
"Male","35–39 Years","Area Outside Māori Electorate","Zero income",NA
"Female","35–39 Years","Area Outside Māori Electorate","Zero income",NA
"Male","40–44 Years","Area Outside Māori Electorate","Zero income",NA
"Female","40–44 Years","Area Outside Māori Electorate","Zero income",NA
"Male","45–49 Years","Area Outside Māori Electorate","Zero income",NA
"Female","45–49 Years","Area Outside Māori Electorate","Zero income",NA
"Male","50–54 Years","Area Outside Māori Electorate","Zero income",NA
"Female","50–54 Years","Area Outside Māori Electorate","Zero income",NA
"Male","55–59 Years","Area Outside Māori Electorate","Zero income",NA
"Female","55–59 Years","Area Outside Māori Electorate","Zero income",NA
"Male","60–64 Years","Area Outside Māori Electorate","Zero income",NA
"Female","60–64 Years","Area Outside Māori Electorate","Zero income",NA
"Male","65–69 Years","Area Outside Māori Electorate","Zero income",NA
"Female","65–69 Years","Area Outside Māori Electorate","Zero income",NA
"Male","70–74 Years","Area Outside Māori Electorate","Zero income",NA
"Female","70–74 Years","Area Outside Māori Electorate","Zero income",NA
"Male","75–79 Years","Area Outside Māori Electorate","Zero income",NA
"Female","75–79 Years","Area Outside Māori Electorate","Zero income",NA
"Male","80–84 Years","Area Outside Māori Electorate","Zero income",NA
"Female","80–84 Years","Area Outside Māori Electorate","Zero income",NA
"Male","85 Years And Over","Area Outside Māori Electorate","Zero income",NA
"Female","85 Years And Over","Area Outside Māori Electorate","Zero income",NA
"Male","15–19 Years","Hauraki-Waikato","$1–$5,000",861
