"level0","level1","level2","Sources of personal income(1)(2)","count"
"Not Stated","Bay of Plenty","North Island general electorates","Male",1413
"Wages, Salary, Commissions, Bonuses etc","Botany","North Island general electorates","Male",13317
"Self–employment or Business","Botany","North Island general electorates","Male",3978
"Interest, Dividends, Rent, Other Invest.","Botany","North Island general electorates","Male",4419
"Payments from a Work Accident Insurer","Botany","North Island general electorates","Male",186
"NZ Superannuation or Veterans Pension","Botany","North Island general electorates","Male",2421
"Other Super., Pensions, Annuities","Botany","North Island general electorates","Male",474
"Unemployment Benefit","Botany","North Island general electorates","Male",531
"Sickness Benefit","Botany","North Island general electorates","Male",480
"Domestic Purposes Benefit","Botany","North Island general electorates","Male",72
"Invalids Benefit","Botany","North Island general electorates","Male",240
"Student Allowance","Botany","North Island general electorates","Male",744
"Other Govt Benefits, Payments or Pension","Botany","North Island general electorates","Male",444
"Other Sources of Income","Botany","North Island general electorates","Male",234
"No Source of Income During That Time(3)","Botany","North Island general electorates","Male",2250
"Not Stated","Botany","North Island general electorates","Male",1413
"Wages, Salary, Commissions, Bonuses etc","Coromandel","North Island general electorates","Male",10983
"Self–employment or Business","Coromandel","North Island general electorates","Male",6693
"Interest, Dividends, Rent, Other Invest.","Coromandel","North Island general electorates","Male",6051
"Payments from a Work Accident Insurer","Coromandel","North Island general electorates","Male",450
"NZ Superannuation or Veterans Pension","Coromandel","North Island general electorates","Male",6750
"Other Super., Pensions, Annuities","Coromandel","North Island general electorates","Male",906
"Unemployment Benefit","Coromandel","North Island general electorates","Male",591
"Sickness Benefit","Coromandel","North Island general electorates","Male",753
"Domestic Purposes Benefit","Coromandel","North Island general electorates","Male",150
"Invalids Benefit","Coromandel","North Island general electorates","Male",822
"Student Allowance","Coromandel","North Island general electorates","Male",192
"Other Govt Benefits, Payments or Pension","Coromandel","North Island general electorates","Male",483
"Other Sources of Income","Coromandel","North Island general electorates","Male",192
"No Source of Income During That Time(3)","Coromandel","North Island general electorates","Male",1092
"Not Stated","Coromandel","North Island general electorates","Male",1659
"Wages, Salary, Commissions, Bonuses etc","East Coast","North Island general electorates","Male",16896
"Self–employment or Business","East Coast","North Island general electorates","Male",5658
"Interest, Dividends, Rent, Other Invest.","East Coast","North Island general electorates","Male",5430
"Payments from a Work Accident Insurer","East Coast","North Island general electorates","Male",603
"NZ Superannuation or Veterans Pension","East Coast","North Island general electorates","Male",5604
"Other Super., Pensions, Annuities","East Coast","North Island general electorates","Male",837
"Unemployment Benefit","East Coast","North Island general electorates","Male",1932
"Sickness Benefit","East Coast","North Island general electorates","Male",1149
"Domestic Purposes Benefit","East Coast","North Island general electorates","Male",387
"Invalids Benefit","East Coast","North Island general electorates","Male",1101
"Student Allowance","East Coast","North Island general electorates","Male",507
"Other Govt Benefits, Payments or Pension","East Coast","North Island general electorates","Male",603
"Other Sources of Income","East Coast","North Island general electorates","Male",288
"No Source of Income During That Time(3)","East Coast","North Island general electorates","Male",1923
"Not Stated","East Coast","North Island general electorates","Male",3744
"Wages, Salary, Commissions, Bonuses etc","East Coast Bays","North Island general electorates","Male",12876
"Self–employment or Business","East Coast Bays","North Island general electorates","Male",4923
"Interest, Dividends, Rent, Other Invest.","East Coast Bays","North Island general electorates","Male",5142
"Payments from a Work Accident Insurer","East Coast Bays","North Island general electorates","Male",198
"NZ Superannuation or Veterans Pension","East Coast Bays","North Island general electorates","Male",2694
"Other Super., Pensions, Annuities","East Coast Bays","North Island general electorates","Male",747
"Unemployment Benefit","East Coast Bays","North Island general electorates","Male",315
"Sickness Benefit","East Coast Bays","North Island general electorates","Male",285
"Domestic Purposes Benefit","East Coast Bays","North Island general electorates","Male",42
"Invalids Benefit","East Coast Bays","North Island general electorates","Male",171
"Student Allowance","East Coast Bays","North Island general electorates","Male",741
"Other Govt Benefits, Payments or Pension","East Coast Bays","North Island general electorates","Male",498
"Other Sources of Income","East Coast Bays","North Island general electorates","Male",378
"No Source of Income During That Time(3)","East Coast Bays","North Island general electorates","Male",1878
"Not Stated","East Coast Bays","North Island general electorates","Male",1347
"Wages, Salary, Commissions, Bonuses etc","Epsom","North Island general electorates","Male",12927
"Self–employment or Business","Epsom","North Island general electorates","Male",5964
"Interest, Dividends, Rent, Other Invest.","Epsom","North Island general electorates","Male",7755
"Payments from a Work Accident Insurer","Epsom","North Island general electorates","Male",138
"NZ Superannuation or Veterans Pension","Epsom","North Island general electorates","Male",2577
"Other Super., Pensions, Annuities","Epsom","North Island general electorates","Male",540
"Unemployment Benefit","Epsom","North Island general electorates","Male",483
"Sickness Benefit","Epsom","North Island general electorates","Male",369
"Domestic Purposes Benefit","Epsom","North Island general electorates","Male",51
"Invalids Benefit","Epsom","North Island general electorates","Male",225
"Student Allowance","Epsom","North Island general electorates","Male",891
"Other Govt Benefits, Payments or Pension","Epsom","North Island general electorates","Male",342
"Other Sources of Income","Epsom","North Island general electorates","Male",546
"No Source of Income During That Time(3)","Epsom","North Island general electorates","Male",2334
"Not Stated","Epsom","North Island general electorates","Male",1683
"Wages, Salary, Commissions, Bonuses etc","Hamilton East","North Island general electorates","Male",15282
"Self–employment or Business","Hamilton East","North Island general electorates","Male",3354
"Interest, Dividends, Rent, Other Invest.","Hamilton East","North Island general electorates","Male",5025
"Payments from a Work Accident Insurer","Hamilton East","North Island general electorates","Male",300
"NZ Superannuation or Veterans Pension","Hamilton East","North Island general electorates","Male",3081
"Other Super., Pensions, Annuities","Hamilton East","North Island general electorates","Male",783
"Unemployment Benefit","Hamilton East","North Island general electorates","Male",1128
"Sickness Benefit","Hamilton East","North Island general electorates","Male",654
"Domestic Purposes Benefit","Hamilton East","North Island general electorates","Male",162
"Invalids Benefit","Hamilton East","North Island general electorates","Male",720
"Student Allowance","Hamilton East","North Island general electorates","Male",1650
"Other Govt Benefits, Payments or Pension","Hamilton East","North Island general electorates","Male",690
"Other Sources of Income","Hamilton East","North Island general electorates","Male",597
"No Source of Income During That Time(3)","Hamilton East","North Island general electorates","Male",1881
"Not Stated","Hamilton East","North Island general electorates","Male",1998
"Wages, Salary, Commissions, Bonuses etc","Hamilton West","North Island general electorates","Male",15810
"Self–employment or Business","Hamilton West","North Island general electorates","Male",3183
"Interest, Dividends, Rent, Other Invest.","Hamilton West","North Island general electorates","Male",4056
"Payments from a Work Accident Insurer","Hamilton West","North Island general electorates","Male",378
"NZ Superannuation or Veterans Pension","Hamilton West","North Island general electorates","Male",2949
"Other Super., Pensions, Annuities","Hamilton West","North Island general electorates","Male",582
"Unemployment Benefit","Hamilton West","North Island general electorates","Male",1131
"Sickness Benefit","Hamilton West","North Island general electorates","Male",852
"Domestic Purposes Benefit","Hamilton West","North Island general electorates","Male",213
"Invalids Benefit","Hamilton West","North Island general electorates","Male",717
"Student Allowance","Hamilton West","North Island general electorates","Male",852
"Other Govt Benefits, Payments or Pension","Hamilton West","North Island general electorates","Male",633
"Other Sources of Income","Hamilton West","North Island general electorates","Male",294
"No Source of Income During That Time(3)","Hamilton West","North Island general electorates","Male",1530
"Not Stated","Hamilton West","North Island general electorates","Male",1893
"Wages, Salary, Commissions, Bonuses etc","Helensville","North Island general electorates","Male",11889
"Self–employment or Business","Helensville","North Island general electorates","Male",6654
"Interest, Dividends, Rent, Other Invest.","Helensville","North Island general electorates","Male",5007
"Payments from a Work Accident Insurer","Helensville","North Island general electorates","Male",333
"NZ Superannuation or Veterans Pension","Helensville","North Island general electorates","Male",2667
"Other Super., Pensions, Annuities","Helensville","North Island general electorates","Male",537
"Unemployment Benefit","Helensville","North Island general electorates","Male",384
"Sickness Benefit","Helensville","North Island general electorates","Male",471
"Domestic Purposes Benefit","Helensville","North Island general electorates","Male",81
"Invalids Benefit","Helensville","North Island general electorates","Male",297
"Student Allowance","Helensville","North Island general electorates","Male",372
"Other Govt Benefits, Payments or Pension","Helensville","North Island general electorates","Male",378
"Other Sources of Income","Helensville","North Island general electorates","Male",228
"No Source of Income During That Time(3)","Helensville","North Island general electorates","Male",1431
"Not Stated","Helensville","North Island general electorates","Male",2184
"Wages, Salary, Commissions, Bonuses etc","Hunua","North Island general electorates","Male",13425
"Self–employment or Business","Hunua","North Island general electorates","Male",5388
"Interest, Dividends, Rent, Other Invest.","Hunua","North Island general electorates","Male",4917
"Payments from a Work Accident Insurer","Hunua","North Island general electorates","Male",336
"NZ Superannuation or Veterans Pension","Hunua","North Island general electorates","Male",3309
"Other Super., Pensions, Annuities","Hunua","North Island general electorates","Male",642
"Unemployment Benefit","Hunua","North Island general electorates","Male",516
"Sickness Benefit","Hunua","North Island general electorates","Male",456
"Domestic Purposes Benefit","Hunua","North Island general electorates","Male",87
"Invalids Benefit","Hunua","North Island general electorates","Male",315
"Student Allowance","Hunua","North Island general electorates","Male",339
"Other Govt Benefits, Payments or Pension","Hunua","North Island general electorates","Male",363
"Other Sources of Income","Hunua","North Island general electorates","Male",165
"No Source of Income During That Time(3)","Hunua","North Island general electorates","Male",1428
"Not Stated","Hunua","North Island general electorates","Male",1602
"Wages, Salary, Commissions, Bonuses etc","Hutt South","North Island general electorates","Male",15699
"Self–employment or Business","Hutt South","North Island general electorates","Male",4395
"Interest, Dividends, Rent, Other Invest.","Hutt South","North Island general electorates","Male",5985
"Payments from a Work Accident Insurer","Hutt South","North Island general electorates","Male",279
"NZ Superannuation or Veterans Pension","Hutt South","North Island general electorates","Male",3471
"Other Super., Pensions, Annuities","Hutt South","North Island general electorates","Male",975
"Unemployment Benefit","Hutt South","North Island general electorates","Male",939
"Sickness Benefit","Hutt South","North Island general electorates","Male",489
"Domestic Purposes Benefit","Hutt South","North Island general electorates","Male",144
"Invalids Benefit","Hutt South","North Island general electorates","Male",549
"Student Allowance","Hutt South","North Island general electorates","Male",537
"Other Govt Benefits, Payments or Pension","Hutt South","North Island general electorates","Male",501
"Other Sources of Income","Hutt South","North Island general electorates","Male",285
"No Source of Income During That Time(3)","Hutt South","North Island general electorates","Male",1536
"Not Stated","Hutt South","North Island general electorates","Male",1545
"Wages, Salary, Commissions, Bonuses etc","Kelston","North Island general electorates","Male",12627
"Self–employment or Business","Kelston","North Island general electorates","Male",2925
"Interest, Dividends, Rent, Other Invest.","Kelston","North Island general electorates","Male",2304
"Payments from a Work Accident Insurer","Kelston","North Island general electorates","Male",261
"NZ Superannuation or Veterans Pension","Kelston","North Island general electorates","Male",2016
"Other Super., Pensions, Annuities","Kelston","North Island general electorates","Male",309
"Unemployment Benefit","Kelston","North Island general electorates","Male",1014
"Sickness Benefit","Kelston","North Island general electorates","Male",903
"Domestic Purposes Benefit","Kelston","North Island general electorates","Male",180
"Invalids Benefit","Kelston","North Island general electorates","Male",621
"Student Allowance","Kelston","North Island general electorates","Male",753
"Other Govt Benefits, Payments or Pension","Kelston","North Island general electorates","Male",606
"Other Sources of Income","Kelston","North Island general electorates","Male",237
"No Source of Income During That Time(3)","Kelston","North Island general electorates","Male",1878
"Not Stated","Kelston","North Island general electorates","Male",2202
"Wages, Salary, Commissions, Bonuses etc","Mana","North Island general electorates","Male",13875
"Self–employment or Business","Mana","North Island general electorates","Male",3927
"Interest, Dividends, Rent, Other Invest.","Mana","North Island general electorates","Male",4698
"Payments from a Work Accident Insurer","Mana","North Island general electorates","Male",267
"NZ Superannuation or Veterans Pension","Mana","North Island general electorates","Male",3138
"Other Super., Pensions, Annuities","Mana","North Island general electorates","Male",999
"Unemployment Benefit","Mana","North Island general electorates","Male",1038
"Sickness Benefit","Mana","North Island general electorates","Male",582
"Domestic Purposes Benefit","Mana","North Island general electorates","Male",159
"Invalids Benefit","Mana","North Island general electorates","Male",690
"Student Allowance","Mana","North Island general electorates","Male",489
"Other Govt Benefits, Payments or Pension","Mana","North Island general electorates","Male",492
"Other Sources of Income","Mana","North Island general electorates","Male",249
"No Source of Income During That Time(3)","Mana","North Island general electorates","Male",1650
"Not Stated","Mana","North Island general electorates","Male",2046
"Wages, Salary, Commissions, Bonuses etc","Mangere","North Island general electorates","Male",11064
"Self–employment or Business","Mangere","North Island general electorates","Male",1440
"Interest, Dividends, Rent, Other Invest.","Mangere","North Island general electorates","Male",1113
"Payments from a Work Accident Insurer","Mangere","North Island general electorates","Male",180
"NZ Superannuation or Veterans Pension","Mangere","North Island general electorates","Male",1743
"Other Super., Pensions, Annuities","Mangere","North Island general electorates","Male",303
"Unemployment Benefit","Mangere","North Island general electorates","Male",954
"Sickness Benefit","Mangere","North Island general electorates","Male",960
"Domestic Purposes Benefit","Mangere","North Island general electorates","Male",231
"Invalids Benefit","Mangere","North Island general electorates","Male",573
"Student Allowance","Mangere","North Island general electorates","Male",735
"Other Govt Benefits, Payments or Pension","Mangere","North Island general electorates","Male",525
"Other Sources of Income","Mangere","North Island general electorates","Male",177
"No Source of Income During That Time(3)","Mangere","North Island general electorates","Male",2436
"Not Stated","Mangere","North Island general electorates","Male",3378
"Wages, Salary, Commissions, Bonuses etc","Manukau East","North Island general electorates","Male",11640
"Self–employment or Business","Manukau East","North Island general electorates","Male",1722
"Interest, Dividends, Rent, Other Invest.","Manukau East","North Island general electorates","Male",1248
"Payments from a Work Accident Insurer","Manukau East","North Island general electorates","Male",180
"NZ Superannuation or Veterans Pension","Manukau East","North Island general electorates","Male",1695
"Other Super., Pensions, Annuities","Manukau East","North Island general electorates","Male",321
"Unemployment Benefit","Manukau East","North Island general electorates","Male",1131
"Sickness Benefit","Manukau East","North Island general electorates","Male",1164
"Domestic Purposes Benefit","Manukau East","North Island general electorates","Male",219
"Invalids Benefit","Manukau East","North Island general electorates","Male",633
"Student Allowance","Manukau East","North Island general electorates","Male",705
"Other Govt Benefits, Payments or Pension","Manukau East","North Island general electorates","Male",513
"Other Sources of Income","Manukau East","North Island general electorates","Male",186
"No Source of Income During That Time(3)","Manukau East","North Island general electorates","Male",2448
"Not Stated","Manukau East","North Island general electorates","Male",3054
"Wages, Salary, Commissions, Bonuses etc","Manurewa","North Island general electorates","Male",12951
"Self–employment or Business","Manurewa","North Island general electorates","Male",2007
"Interest, Dividends, Rent, Other Invest.","Manurewa","North Island general electorates","Male",1584
"Payments from a Work Accident Insurer","Manurewa","North Island general electorates","Male",249
"NZ Superannuation or Veterans Pension","Manurewa","North Island general electorates","Male",1875
"Other Super., Pensions, Annuities","Manurewa","North Island general electorates","Male",300
"Unemployment Benefit","Manurewa","North Island general electorates","Male",1275
"Sickness Benefit","Manurewa","North Island general electorates","Male",1143
"Domestic Purposes Benefit","Manurewa","North Island general electorates","Male",282
"Invalids Benefit","Manurewa","North Island general electorates","Male",600
"Student Allowance","Manurewa","North Island general electorates","Male",681
"Other Govt Benefits, Payments or Pension","Manurewa","North Island general electorates","Male",492
"Other Sources of Income","Manurewa","North Island general electorates","Male",168
"No Source of Income During That Time(3)","Manurewa","North Island general electorates","Male",2436
"Not Stated","Manurewa","North Island general electorates","Male",3498
"Wages, Salary, Commissions, Bonuses etc","Maungakiekie","North Island general electorates","Male",14589
"Self–employment or Business","Maungakiekie","North Island general electorates","Male",3276
"Interest, Dividends, Rent, Other Invest.","Maungakiekie","North Island general electorates","Male",3855
"Payments from a Work Accident Insurer","Maungakiekie","North Island general electorates","Male",207
"NZ Superannuation or Veterans Pension","Maungakiekie","North Island general electorates","Male",2358
"Other Super., Pensions, Annuities","Maungakiekie","North Island general electorates","Male",402
"Unemployment Benefit","Maungakiekie","North Island general electorates","Male",891
"Sickness Benefit","Maungakiekie","North Island general electorates","Male",849
"Domestic Purposes Benefit","Maungakiekie","North Island general electorates","Male",141
"Invalids Benefit","Maungakiekie","North Island general electorates","Male",504
"Student Allowance","Maungakiekie","North Island general electorates","Male",744
"Other Govt Benefits, Payments or Pension","Maungakiekie","North Island general electorates","Male",549
"Other Sources of Income","Maungakiekie","North Island general electorates","Male",303
"No Source of Income During That Time(3)","Maungakiekie","North Island general electorates","Male",1677
"Not Stated","Maungakiekie","North Island general electorates","Male",2556
"Wages, Salary, Commissions, Bonuses etc","Mt Albert","North Island general electorates","Male",14646
"Self–employment or Business","Mt Albert","North Island general electorates","Male",5157
"Interest, Dividends, Rent, Other Invest.","Mt Albert","North Island general electorates","Male",5247
"Payments from a Work Accident Insurer","Mt Albert","North Island general electorates","Male",195
"NZ Superannuation or Veterans Pension","Mt Albert","North Island general electorates","Male",1824
"Other Super., Pensions, Annuities","Mt Albert","North Island general electorates","Male",360
"Unemployment Benefit","Mt Albert","North Island general electorates","Male",741
"Sickness Benefit","Mt Albert","North Island general electorates","Male",687
"Domestic Purposes Benefit","Mt Albert","North Island general electorates","Male",66
"Invalids Benefit","Mt Albert","North Island general electorates","Male",537
"Student Allowance","Mt Albert","North Island general electorates","Male",993
"Other Govt Benefits, Payments or Pension","Mt Albert","North Island general electorates","Male",489
"Other Sources of Income","Mt Albert","North Island general electorates","Male",543
"No Source of Income During That Time(3)","Mt Albert","North Island general electorates","Male",1530
"Not Stated","Mt Albert","North Island general electorates","Male",1794
"Wages, Salary, Commissions, Bonuses etc","Mt Roskill","North Island general electorates","Male",12762
"Self–employment or Business","Mt Roskill","North Island general electorates","Male",3849
"Interest, Dividends, Rent, Other Invest.","Mt Roskill","North Island general electorates","Male",4242
"Payments from a Work Accident Insurer","Mt Roskill","North Island general electorates","Male",147
"NZ Superannuation or Veterans Pension","Mt Roskill","North Island general electorates","Male",2331
"Other Super., Pensions, Annuities","Mt Roskill","North Island general electorates","Male",411
"Unemployment Benefit","Mt Roskill","North Island general electorates","Male",747
"Sickness Benefit","Mt Roskill","North Island general electorates","Male",720
"Domestic Purposes Benefit","Mt Roskill","North Island general electorates","Male",108
"Invalids Benefit","Mt Roskill","North Island general electorates","Male",426
"Student Allowance","Mt Roskill","North Island general electorates","Male",936
"Other Govt Benefits, Payments or Pension","Mt Roskill","North Island general electorates","Male",510
"Other Sources of Income","Mt Roskill","North Island general electorates","Male",363
"No Source of Income During That Time(3)","Mt Roskill","North Island general electorates","Male",2049
"Not Stated","Mt Roskill","North Island general electorates","Male",1656
"Wages, Salary, Commissions, Bonuses etc","Napier","North Island general electorates","Male",14355
"Self–employment or Business","Napier","North Island general electorates","Male",4284
"Interest, Dividends, Rent, Other Invest.","Napier","North Island general electorates","Male",5298
"Payments from a Work Accident Insurer","Napier","North Island general electorates","Male",453
"NZ Superannuation or Veterans Pension","Napier","North Island general electorates","Male",5037
"Other Super., Pensions, Annuities","Napier","North Island general electorates","Male",927
"Unemployment Benefit","Napier","North Island general electorates","Male",1008
"Sickness Benefit","Napier","North Island general electorates","Male",744
"Domestic Purposes Benefit","Napier","North Island general electorates","Male",183
"Invalids Benefit","Napier","North Island general electorates","Male",789
"Student Allowance","Napier","North Island general electorates","Male",429
"Other Govt Benefits, Payments or Pension","Napier","North Island general electorates","Male",543
"Other Sources of Income","Napier","North Island general electorates","Male",231
"No Source of Income During That Time(3)","Napier","North Island general electorates","Male",1248
"Not Stated","Napier","North Island general electorates","Male",1791
"Wages, Salary, Commissions, Bonuses etc","New Lynn","North Island general electorates","Male",12522
"Self–employment or Business","New Lynn","North Island general electorates","Male",3777
"Interest, Dividends, Rent, Other Invest.","New Lynn","North Island general electorates","Male",3813
"Payments from a Work Accident Insurer","New Lynn","North Island general electorates","Male",189
"NZ Superannuation or Veterans Pension","New Lynn","North Island general electorates","Male",2901
"Other Super., Pensions, Annuities","New Lynn","North Island general electorates","Male",474
"Unemployment Benefit","New Lynn","North Island general electorates","Male",702
"Sickness Benefit","New Lynn","North Island general electorates","Male",762
"Domestic Purposes Benefit","New Lynn","North Island general electorates","Male",132
"Invalids Benefit","New Lynn","North Island general electorates","Male",462
"Student Allowance","New Lynn","North Island general electorates","Male",783
"Other Govt Benefits, Payments or Pension","New Lynn","North Island general electorates","Male",576
"Other Sources of Income","New Lynn","North Island general electorates","Male",303
"No Source of Income During That Time(3)","New Lynn","North Island general electorates","Male",2010
"Not Stated","New Lynn","North Island general electorates","Male",1860
"Wages, Salary, Commissions, Bonuses etc","New Plymouth","North Island general electorates","Male",14835
"Self–employment or Business","New Plymouth","North Island general electorates","Male",4443
"Interest, Dividends, Rent, Other Invest.","New Plymouth","North Island general electorates","Male",5727
"Payments from a Work Accident Insurer","New Plymouth","North Island general electorates","Male",405
"NZ Superannuation or Veterans Pension","New Plymouth","North Island general electorates","Male",4509
"Other Super., Pensions, Annuities","New Plymouth","North Island general electorates","Male",768
"Unemployment Benefit","New Plymouth","North Island general electorates","Male",561
"Sickness Benefit","New Plymouth","North Island general electorates","Male",585
"Domestic Purposes Benefit","New Plymouth","North Island general electorates","Male",138
"Invalids Benefit","New Plymouth","North Island general electorates","Male",807
"Student Allowance","New Plymouth","North Island general electorates","Male",285
"Other Govt Benefits, Payments or Pension","New Plymouth","North Island general electorates","Male",450
"Other Sources of Income","New Plymouth","North Island general electorates","Male",201
"No Source of Income During That Time(3)","New Plymouth","North Island general electorates","Male",1176
"Not Stated","New Plymouth","North Island general electorates","Male",1782
"Wages, Salary, Commissions, Bonuses etc","North Shore","North Island general electorates","Male",13527
"Self–employment or Business","North Shore","North Island general electorates","Male",5838
"Interest, Dividends, Rent, Other Invest.","North Shore","North Island general electorates","Male",7269
"Payments from a Work Accident Insurer","North Shore","North Island general electorates","Male",165
"NZ Superannuation or Veterans Pension","North Shore","North Island general electorates","Male",3696
"Other Super., Pensions, Annuities","North Shore","North Island general electorates","Male",945
"Unemployment Benefit","North Shore","North Island general electorates","Male",420
"Sickness Benefit","North Shore","North Island general electorates","Male",267
"Domestic Purposes Benefit","North Shore","North Island general electorates","Male",63
"Invalids Benefit","North Shore","North Island general electorates","Male",234
"Student Allowance","North Shore","North Island general electorates","Male",651
"Other Govt Benefits, Payments or Pension","North Shore","North Island general electorates","Male",495
"Other Sources of Income","North Shore","North Island general electorates","Male",381
"No Source of Income During That Time(3)","North Shore","North Island general electorates","Male",1773
"Not Stated","North Shore","North Island general electorates","Male",1125
"Wages, Salary, Commissions, Bonuses etc","Northcote","North Island general electorates","Male",14379
"Self–employment or Business","Northcote","North Island general electorates","Male",4563
"Interest, Dividends, Rent, Other Invest.","Northcote","North Island general electorates","Male",4803
"Payments from a Work Accident Insurer","Northcote","North Island general electorates","Male",243
"NZ Superannuation or Veterans Pension","Northcote","North Island general electorates","Male",2913
"Other Super., Pensions, Annuities","Northcote","North Island general electorates","Male",627
"Unemployment Benefit","Northcote","North Island general electorates","Male",594
"Sickness Benefit","Northcote","North Island general electorates","Male",495
"Domestic Purposes Benefit","Northcote","North Island general electorates","Male",81
"Invalids Benefit","Northcote","North Island general electorates","Male",306
"Student Allowance","Northcote","North Island general electorates","Male",750
"Other Govt Benefits, Payments or Pension","Northcote","North Island general electorates","Male",591
"Other Sources of Income","Northcote","North Island general electorates","Male",348
"No Source of Income During That Time(3)","Northcote","North Island general electorates","Male",1680
"Not Stated","Northcote","North Island general electorates","Male",1608
"Wages, Salary, Commissions, Bonuses etc","Northland","North Island general electorates","Male",11811
"Self–employment or Business","Northland","North Island general electorates","Male",7335
"Interest, Dividends, Rent, Other Invest.","Northland","North Island general electorates","Male",5229
"Payments from a Work Accident Insurer","Northland","North Island general electorates","Male",570
"NZ Superannuation or Veterans Pension","Northland","North Island general electorates","Male",6258
"Other Super., Pensions, Annuities","Northland","North Island general electorates","Male",939
"Unemployment Benefit","Northland","North Island general electorates","Male",1539
"Sickness Benefit","Northland","North Island general electorates","Male",1125
"Domestic Purposes Benefit","Northland","North Island general electorates","Male",354
"Invalids Benefit","Northland","North Island general electorates","Male",1161
"Student Allowance","Northland","North Island general electorates","Male",354
"Other Govt Benefits, Payments or Pension","Northland","North Island general electorates","Male",570
"Other Sources of Income","Northland","North Island general electorates","Male",273
"No Source of Income During That Time(3)","Northland","North Island general electorates","Male",1818
"Not Stated","Northland","North Island general electorates","Male",3708
"Wages, Salary, Commissions, Bonuses etc","Ohariu","North Island general electorates","Male",14802
"Self–employment or Business","Ohariu","North Island general electorates","Male",4239
"Interest, Dividends, Rent, Other Invest.","Ohariu","North Island general electorates","Male",6900
"Payments from a Work Accident Insurer","Ohariu","North Island general electorates","Male",183
"NZ Superannuation or Veterans Pension","Ohariu","North Island general electorates","Male",2535
"Other Super., Pensions, Annuities","Ohariu","North Island general electorates","Male",1068
"Unemployment Benefit","Ohariu","North Island general electorates","Male",471
"Sickness Benefit","Ohariu","North Island general electorates","Male",249
"Domestic Purposes Benefit","Ohariu","North Island general electorates","Male",63
"Invalids Benefit","Ohariu","North Island general electorates","Male",234
"Student Allowance","Ohariu","North Island general electorates","Male",438
"Other Govt Benefits, Payments or Pension","Ohariu","North Island general electorates","Male",393
"Other Sources of Income","Ohariu","North Island general electorates","Male",294
"No Source of Income During That Time(3)","Ohariu","North Island general electorates","Male",1260
"Not Stated","Ohariu","North Island general electorates","Male",1065
"Wages, Salary, Commissions, Bonuses etc","Otaki","North Island general electorates","Male",10572
"Self–employment or Business","Otaki","North Island general electorates","Male",4239
"Interest, Dividends, Rent, Other Invest.","Otaki","North Island general electorates","Male",5553
"Payments from a Work Accident Insurer","Otaki","North Island general electorates","Male",387
"NZ Superannuation or Veterans Pension","Otaki","North Island general electorates","Male",6798
"Other Super., Pensions, Annuities","Otaki","North Island general electorates","Male",1512
"Unemployment Benefit","Otaki","North Island general electorates","Male",1020
"Sickness Benefit","Otaki","North Island general electorates","Male",576
"Domestic Purposes Benefit","Otaki","North Island general electorates","Male",177
"Invalids Benefit","Otaki","North Island general electorates","Male",855
"Student Allowance","Otaki","North Island general electorates","Male",279
"Other Govt Benefits, Payments or Pension","Otaki","North Island general electorates","Male",456
"Other Sources of Income","Otaki","North Island general electorates","Male",213
"No Source of Income During That Time(3)","Otaki","North Island general electorates","Male",1176
"Not Stated","Otaki","North Island general electorates","Male",1533
