"level0","level1","level2","Number of children born alive","count"
"25–29 Years","East Coast Bays","North Island general electorates","No Children",1164
"30–34 Years","East Coast Bays","North Island general electorates","No Children",600
"35–39 Years","East Coast Bays","North Island general electorates","No Children",306
"40–44 Years","East Coast Bays","North Island general electorates","No Children",297
"45–49 Years","East Coast Bays","North Island general electorates","No Children",234
"50–54 Years","East Coast Bays","North Island general electorates","No Children",201
"55–59 Years","East Coast Bays","North Island general electorates","No Children",153
"60–64 Years","East Coast Bays","North Island general electorates","No Children",123
"65–69 Years","East Coast Bays","North Island general electorates","No Children",84
"70–74 Years","East Coast Bays","North Island general electorates","No Children",63
"75–79 Years","East Coast Bays","North Island general electorates","No Children",33
"80–84 Years","East Coast Bays","North Island general electorates","No Children",39
"85 Years And Over","East Coast Bays","North Island general electorates","No Children",51
"15–19 Years","Epsom","North Island general electorates","No Children",2292
"20–24 Years","Epsom","North Island general electorates","No Children",2415
"25–29 Years","Epsom","North Island general electorates","No Children",1890
"30–34 Years","Epsom","North Island general electorates","No Children",1131
"35–39 Years","Epsom","North Island general electorates","No Children",531
"40–44 Years","Epsom","North Island general electorates","No Children",426
"45–49 Years","Epsom","North Island general electorates","No Children",348
"50–54 Years","Epsom","North Island general electorates","No Children",309
"55–59 Years","Epsom","North Island general electorates","No Children",234
"60–64 Years","Epsom","North Island general electorates","No Children",225
"65–69 Years","Epsom","North Island general electorates","No Children",171
"70–74 Years","Epsom","North Island general electorates","No Children",114
"75–79 Years","Epsom","North Island general electorates","No Children",63
"80–84 Years","Epsom","North Island general electorates","No Children",48
"85 Years And Over","Epsom","North Island general electorates","No Children",78
"15–19 Years","Hamilton East","North Island general electorates","No Children",2970
"20–24 Years","Hamilton East","North Island general electorates","No Children",2967
"25–29 Years","Hamilton East","North Island general electorates","No Children",1332
"30–34 Years","Hamilton East","North Island general electorates","No Children",747
"35–39 Years","Hamilton East","North Island general electorates","No Children",408
"40–44 Years","Hamilton East","North Island general electorates","No Children",357
"45–49 Years","Hamilton East","North Island general electorates","No Children",312
"50–54 Years","Hamilton East","North Island general electorates","No Children",267
"55–59 Years","Hamilton East","North Island general electorates","No Children",177
"60–64 Years","Hamilton East","North Island general electorates","No Children",144
"65–69 Years","Hamilton East","North Island general electorates","No Children",105
"70–74 Years","Hamilton East","North Island general electorates","No Children",72
"75–79 Years","Hamilton East","North Island general electorates","No Children",60
"80–84 Years","Hamilton East","North Island general electorates","No Children",51
"85 Years And Over","Hamilton East","North Island general electorates","No Children",78
"15–19 Years","Hamilton West","North Island general electorates","No Children",2091
"20–24 Years","Hamilton West","North Island general electorates","No Children",2124
"25–29 Years","Hamilton West","North Island general electorates","No Children",1581
"30–34 Years","Hamilton West","North Island general electorates","No Children",822
"35–39 Years","Hamilton West","North Island general electorates","No Children",456
"40–44 Years","Hamilton West","North Island general electorates","No Children",369
"45–49 Years","Hamilton West","North Island general electorates","No Children",318
"50–54 Years","Hamilton West","North Island general electorates","No Children",282
"55–59 Years","Hamilton West","North Island general electorates","No Children",207
"60–64 Years","Hamilton West","North Island general electorates","No Children",162
"65–69 Years","Hamilton West","North Island general electorates","No Children",102
"70–74 Years","Hamilton West","North Island general electorates","No Children",63
"75–79 Years","Hamilton West","North Island general electorates","No Children",48
"80–84 Years","Hamilton West","North Island general electorates","No Children",48
"85 Years And Over","Hamilton West","North Island general electorates","No Children",45
"15–19 Years","Helensville","North Island general electorates","No Children",1851
"20–24 Years","Helensville","North Island general electorates","No Children",1269
"25–29 Years","Helensville","North Island general electorates","No Children",768
"30–34 Years","Helensville","North Island general electorates","No Children",528
"35–39 Years","Helensville","North Island general electorates","No Children",429
"40–44 Years","Helensville","North Island general electorates","No Children",414
"45–49 Years","Helensville","North Island general electorates","No Children",393
"50–54 Years","Helensville","North Island general electorates","No Children",348
"55–59 Years","Helensville","North Island general electorates","No Children",246
"60–64 Years","Helensville","North Island general electorates","No Children",186
"65–69 Years","Helensville","North Island general electorates","No Children",108
"70–74 Years","Helensville","North Island general electorates","No Children",54
"75–79 Years","Helensville","North Island general electorates","No Children",27
"80–84 Years","Helensville","North Island general electorates","No Children",15
"85 Years And Over","Helensville","North Island general electorates","No Children",12
"15–19 Years","Hunua","North Island general electorates","No Children",1875
"20–24 Years","Hunua","North Island general electorates","No Children",1176
"25–29 Years","Hunua","North Island general electorates","No Children",729
"30–34 Years","Hunua","North Island general electorates","No Children",438
"35–39 Years","Hunua","North Island general electorates","No Children",303
"40–44 Years","Hunua","North Island general electorates","No Children",348
"45–49 Years","Hunua","North Island general electorates","No Children",324
"50–54 Years","Hunua","North Island general electorates","No Children",282
"55–59 Years","Hunua","North Island general electorates","No Children",216
"60–64 Years","Hunua","North Island general electorates","No Children",150
"65–69 Years","Hunua","North Island general electorates","No Children",102
"70–74 Years","Hunua","North Island general electorates","No Children",78
"75–79 Years","Hunua","North Island general electorates","No Children",42
"80–84 Years","Hunua","North Island general electorates","No Children",21
"85 Years And Over","Hunua","North Island general electorates","No Children",36
"15–19 Years","Hutt South","North Island general electorates","No Children",1932
"20–24 Years","Hutt South","North Island general electorates","No Children",1635
"25–29 Years","Hutt South","North Island general electorates","No Children",1143
"30–34 Years","Hutt South","North Island general electorates","No Children",774
"35–39 Years","Hutt South","North Island general electorates","No Children",525
"40–44 Years","Hutt South","North Island general electorates","No Children",477
"45–49 Years","Hutt South","North Island general electorates","No Children",420
"50–54 Years","Hutt South","North Island general electorates","No Children",390
"55–59 Years","Hutt South","North Island general electorates","No Children",273
"60–64 Years","Hutt South","North Island general electorates","No Children",168
"65–69 Years","Hutt South","North Island general electorates","No Children",150
"70–74 Years","Hutt South","North Island general electorates","No Children",99
"75–79 Years","Hutt South","North Island general electorates","No Children",78
"80–84 Years","Hutt South","North Island general electorates","No Children",72
"85 Years And Over","Hutt South","North Island general electorates","No Children",48
"15–19 Years","Kelston","North Island general electorates","No Children",1923
"20–24 Years","Kelston","North Island general electorates","No Children",1668
"25–29 Years","Kelston","North Island general electorates","No Children",1212
"30–34 Years","Kelston","North Island general electorates","No Children",780
"35–39 Years","Kelston","North Island general electorates","No Children",495
"40–44 Years","Kelston","North Island general electorates","No Children",423
"45–49 Years","Kelston","North Island general electorates","No Children",324
"50–54 Years","Kelston","North Island general electorates","No Children",297
"55–59 Years","Kelston","North Island general electorates","No Children",213
"60–64 Years","Kelston","North Island general electorates","No Children",156
"65–69 Years","Kelston","North Island general electorates","No Children",72
"70–74 Years","Kelston","North Island general electorates","No Children",51
"75–79 Years","Kelston","North Island general electorates","No Children",45
"80–84 Years","Kelston","North Island general electorates","No Children",30
"85 Years And Over","Kelston","North Island general electorates","No Children",27
"15–19 Years","Mana","North Island general electorates","No Children",2043
"20–24 Years","Mana","North Island general electorates","No Children",1389
"25–29 Years","Mana","North Island general electorates","No Children",789
"30–34 Years","Mana","North Island general electorates","No Children",606
"35–39 Years","Mana","North Island general electorates","No Children",459
"40–44 Years","Mana","North Island general electorates","No Children",447
"45–49 Years","Mana","North Island general electorates","No Children",441
"50–54 Years","Mana","North Island general electorates","No Children",354
"55–59 Years","Mana","North Island general electorates","No Children",234
"60–64 Years","Mana","North Island general electorates","No Children",180
"65–69 Years","Mana","North Island general electorates","No Children",99
"70–74 Years","Mana","North Island general electorates","No Children",78
"75–79 Years","Mana","North Island general electorates","No Children",60
"80–84 Years","Mana","North Island general electorates","No Children",33
"85 Years And Over","Mana","North Island general electorates","No Children",45
"15–19 Years","Mangere","North Island general electorates","No Children",2235
"20–24 Years","Mangere","North Island general electorates","No Children",1677
"25–29 Years","Mangere","North Island general electorates","No Children",918
"30–34 Years","Mangere","North Island general electorates","No Children",477
"35–39 Years","Mangere","North Island general electorates","No Children",354
"40–44 Years","Mangere","North Island general electorates","No Children",324
"45–49 Years","Mangere","North Island general electorates","No Children",267
"50–54 Years","Mangere","North Island general electorates","No Children",192
"55–59 Years","Mangere","North Island general electorates","No Children",159
"60–64 Years","Mangere","North Island general electorates","No Children",120
"65–69 Years","Mangere","North Island general electorates","No Children",75
"70–74 Years","Mangere","North Island general electorates","No Children",57
"75–79 Years","Mangere","North Island general electorates","No Children",36
"80–84 Years","Mangere","North Island general electorates","No Children",21
"85 Years And Over","Mangere","North Island general electorates","No Children",12
"15–19 Years","Manukau East","North Island general electorates","No Children",2103
"20–24 Years","Manukau East","North Island general electorates","No Children",1746
"25–29 Years","Manukau East","North Island general electorates","No Children",1074
"30–34 Years","Manukau East","North Island general electorates","No Children",537
"35–39 Years","Manukau East","North Island general electorates","No Children",333
"40–44 Years","Manukau East","North Island general electorates","No Children",315
"45–49 Years","Manukau East","North Island general electorates","No Children",276
"50–54 Years","Manukau East","North Island general electorates","No Children",243
"55–59 Years","Manukau East","North Island general electorates","No Children",153
"60–64 Years","Manukau East","North Island general electorates","No Children",129
"65–69 Years","Manukau East","North Island general electorates","No Children",75
"70–74 Years","Manukau East","North Island general electorates","No Children",69
"75–79 Years","Manukau East","North Island general electorates","No Children",48
"80–84 Years","Manukau East","North Island general electorates","No Children",39
"85 Years And Over","Manukau East","North Island general electorates","No Children",39
"15–19 Years","Manurewa","North Island general electorates","No Children",2349
"20–24 Years","Manurewa","North Island general electorates","No Children",1749
"25–29 Years","Manurewa","North Island general electorates","No Children",1050
"30–34 Years","Manurewa","North Island general electorates","No Children",573
"35–39 Years","Manurewa","North Island general electorates","No Children",357
"40–44 Years","Manurewa","North Island general electorates","No Children",321
"45–49 Years","Manurewa","North Island general electorates","No Children",267
"50–54 Years","Manurewa","North Island general electorates","No Children",261
"55–59 Years","Manurewa","North Island general electorates","No Children",186
"60–64 Years","Manurewa","North Island general electorates","No Children",108
"65–69 Years","Manurewa","North Island general electorates","No Children",75
"70–74 Years","Manurewa","North Island general electorates","No Children",45
"75–79 Years","Manurewa","North Island general electorates","No Children",27
"80–84 Years","Manurewa","North Island general electorates","No Children",21
"85 Years And Over","Manurewa","North Island general electorates","No Children",18
"15–19 Years","Maungakiekie","North Island general electorates","No Children",1587
"20–24 Years","Maungakiekie","North Island general electorates","No Children",1980
"25–29 Years","Maungakiekie","North Island general electorates","No Children",1998
"30–34 Years","Maungakiekie","North Island general electorates","No Children",1467
"35–39 Years","Maungakiekie","North Island general electorates","No Children",771
"40–44 Years","Maungakiekie","North Island general electorates","No Children",618
"45–49 Years","Maungakiekie","North Island general electorates","No Children",474
"50–54 Years","Maungakiekie","North Island general electorates","No Children",393
"55–59 Years","Maungakiekie","North Island general electorates","No Children",282
"60–64 Years","Maungakiekie","North Island general electorates","No Children",210
"65–69 Years","Maungakiekie","North Island general electorates","No Children",171
"70–74 Years","Maungakiekie","North Island general electorates","No Children",93
"75–79 Years","Maungakiekie","North Island general electorates","No Children",57
"80–84 Years","Maungakiekie","North Island general electorates","No Children",45
"85 Years And Over","Maungakiekie","North Island general electorates","No Children",75
"15–19 Years","Mt Albert","North Island general electorates","No Children",1599
"20–24 Years","Mt Albert","North Island general electorates","No Children",2355
"25–29 Years","Mt Albert","North Island general electorates","No Children",2445
"30–34 Years","Mt Albert","North Island general electorates","No Children",1710
"35–39 Years","Mt Albert","North Island general electorates","No Children",984
"40–44 Years","Mt Albert","North Island general electorates","No Children",639
"45–49 Years","Mt Albert","North Island general electorates","No Children",504
"50–54 Years","Mt Albert","North Island general electorates","No Children",477
"55–59 Years","Mt Albert","North Island general electorates","No Children",315
"60–64 Years","Mt Albert","North Island general electorates","No Children",186
"65–69 Years","Mt Albert","North Island general electorates","No Children",123
"70–74 Years","Mt Albert","North Island general electorates","No Children",69
"75–79 Years","Mt Albert","North Island general electorates","No Children",63
"80–84 Years","Mt Albert","North Island general electorates","No Children",42
"85 Years And Over","Mt Albert","North Island general electorates","No Children",75
"15–19 Years","Mt Roskill","North Island general electorates","No Children",1896
"20–24 Years","Mt Roskill","North Island general electorates","No Children",2178
"25–29 Years","Mt Roskill","North Island general electorates","No Children",1710
"30–34 Years","Mt Roskill","North Island general electorates","No Children",1002
"35–39 Years","Mt Roskill","North Island general electorates","No Children",498
"40–44 Years","Mt Roskill","North Island general electorates","No Children",444
"45–49 Years","Mt Roskill","North Island general electorates","No Children",312
"50–54 Years","Mt Roskill","North Island general electorates","No Children",291
"55–59 Years","Mt Roskill","North Island general electorates","No Children",270
"60–64 Years","Mt Roskill","North Island general electorates","No Children",192
"65–69 Years","Mt Roskill","North Island general electorates","No Children",129
"70–74 Years","Mt Roskill","North Island general electorates","No Children",87
"75–79 Years","Mt Roskill","North Island general electorates","No Children",66
"80–84 Years","Mt Roskill","North Island general electorates","No Children",69
"85 Years And Over","Mt Roskill","North Island general electorates","No Children",78
"15–19 Years","Napier","North Island general electorates","No Children",1929
"20–24 Years","Napier","North Island general electorates","No Children",1170
"25–29 Years","Napier","North Island general electorates","No Children",741
"30–34 Years","Napier","North Island general electorates","No Children",465
"35–39 Years","Napier","North Island general electorates","No Children",315
"40–44 Years","Napier","North Island general electorates","No Children",336
"45–49 Years","Napier","North Island general electorates","No Children",315
"50–54 Years","Napier","North Island general electorates","No Children",321
"55–59 Years","Napier","North Island general electorates","No Children",243
"60–64 Years","Napier","North Island general electorates","No Children",234
"65–69 Years","Napier","North Island general electorates","No Children",162
"70–74 Years","Napier","North Island general electorates","No Children",129
"75–79 Years","Napier","North Island general electorates","No Children",84
"80–84 Years","Napier","North Island general electorates","No Children",81
"85 Years And Over","Napier","North Island general electorates","No Children",105
"15–19 Years","New Lynn","North Island general electorates","No Children",1815
"20–24 Years","New Lynn","North Island general electorates","No Children",1698
"25–29 Years","New Lynn","North Island general electorates","No Children",1302
"30–34 Years","New Lynn","North Island general electorates","No Children",822
"35–39 Years","New Lynn","North Island general electorates","No Children",471
"40–44 Years","New Lynn","North Island general electorates","No Children",387
"45–49 Years","New Lynn","North Island general electorates","No Children",390
"50–54 Years","New Lynn","North Island general electorates","No Children",261
"55–59 Years","New Lynn","North Island general electorates","No Children",192
"60–64 Years","New Lynn","North Island general electorates","No Children",159
"65–69 Years","New Lynn","North Island general electorates","No Children",99
"70–74 Years","New Lynn","North Island general electorates","No Children",78
"75–79 Years","New Lynn","North Island general electorates","No Children",63
"80–84 Years","New Lynn","North Island general electorates","No Children",75
"85 Years And Over","New Lynn","North Island general electorates","No Children",84
"15–19 Years","New Plymouth","North Island general electorates","No Children",1815
"20–24 Years","New Plymouth","North Island general electorates","No Children",1203
"25–29 Years","New Plymouth","North Island general electorates","No Children",843
"30–34 Years","New Plymouth","North Island general electorates","No Children",474
"35–39 Years","New Plymouth","North Island general electorates","No Children",372
"40–44 Years","New Plymouth","North Island general electorates","No Children",309
"45–49 Years","New Plymouth","North Island general electorates","No Children",294
"50–54 Years","New Plymouth","North Island general electorates","No Children",270
"55–59 Years","New Plymouth","North Island general electorates","No Children",237
"60–64 Years","New Plymouth","North Island general electorates","No Children",168
"65–69 Years","New Plymouth","North Island general electorates","No Children",117
"70–74 Years","New Plymouth","North Island general electorates","No Children",81
"75–79 Years","New Plymouth","North Island general electorates","No Children",60
"80–84 Years","New Plymouth","North Island general electorates","No Children",69
"85 Years And Over","New Plymouth","North Island general electorates","No Children",96
"15–19 Years","North Shore","North Island general electorates","No Children",2055
"20–24 Years","North Shore","North Island general electorates","No Children",1830
"25–29 Years","North Shore","North Island general electorates","No Children",1314
"30–34 Years","North Shore","North Island general electorates","No Children",840
"35–39 Years","North Shore","North Island general electorates","No Children",483
"40–44 Years","North Shore","North Island general electorates","No Children",369
"45–49 Years","North Shore","North Island general electorates","No Children",330
"50–54 Years","North Shore","North Island general electorates","No Children",327
"55–59 Years","North Shore","North Island general electorates","No Children",243
"60–64 Years","North Shore","North Island general electorates","No Children",201
"65–69 Years","North Shore","North Island general electorates","No Children",159
"70–74 Years","North Shore","North Island general electorates","No Children",84
"75–79 Years","North Shore","North Island general electorates","No Children",60
"80–84 Years","North Shore","North Island general electorates","No Children",63
"85 Years And Over","North Shore","North Island general electorates","No Children",102
"15–19 Years","Northcote","North Island general electorates","No Children",1821
"20–24 Years","Northcote","North Island general electorates","No Children",1959
"25–29 Years","Northcote","North Island general electorates","No Children",1575
"30–34 Years","Northcote","North Island general electorates","No Children",1140
"35–39 Years","Northcote","North Island general electorates","No Children",687
"40–44 Years","Northcote","North Island general electorates","No Children",531
"45–49 Years","Northcote","North Island general electorates","No Children",417
"50–54 Years","Northcote","North Island general electorates","No Children",312
"55–59 Years","Northcote","North Island general electorates","No Children",252
"60–64 Years","Northcote","North Island general electorates","No Children",177
"65–69 Years","Northcote","North Island general electorates","No Children",123
"70–74 Years","Northcote","North Island general electorates","No Children",93
"75–79 Years","Northcote","North Island general electorates","No Children",57
"80–84 Years","Northcote","North Island general electorates","No Children",54
"85 Years And Over","Northcote","North Island general electorates","No Children",60
"15–19 Years","Northland","North Island general electorates","No Children",2016
"20–24 Years","Northland","North Island general electorates","No Children",858
"25–29 Years","Northland","North Island general electorates","No Children",480
"30–34 Years","Northland","North Island general electorates","No Children",318
"35–39 Years","Northland","North Island general electorates","No Children",288
"40–44 Years","Northland","North Island general electorates","No Children",339
"45–49 Years","Northland","North Island general electorates","No Children",390
"50–54 Years","Northland","North Island general electorates","No Children",408
"55–59 Years","Northland","North Island general electorates","No Children",390
"60–64 Years","Northland","North Island general electorates","No Children",318
"65–69 Years","Northland","North Island general electorates","No Children",231
"70–74 Years","Northland","North Island general electorates","No Children",129
"75–79 Years","Northland","North Island general electorates","No Children",78
"80–84 Years","Northland","North Island general electorates","No Children",69
"85 Years And Over","Northland","North Island general electorates","No Children",84
"15–19 Years","Ohariu","North Island general electorates","No Children",1671
"20–24 Years","Ohariu","North Island general electorates","No Children",1383
"25–29 Years","Ohariu","North Island general electorates","No Children",1254
"30–34 Years","Ohariu","North Island general electorates","No Children",882
"35–39 Years","Ohariu","North Island general electorates","No Children",558
"40–44 Years","Ohariu","North Island general electorates","No Children",510
"45–49 Years","Ohariu","North Island general electorates","No Children",495
"50–54 Years","Ohariu","North Island general electorates","No Children",384
"55–59 Years","Ohariu","North Island general electorates","No Children",303
"60–64 Years","Ohariu","North Island general electorates","No Children",195
"65–69 Years","Ohariu","North Island general electorates","No Children",141
"70–74 Years","Ohariu","North Island general electorates","No Children",87
"75–79 Years","Ohariu","North Island general electorates","No Children",48
"80–84 Years","Ohariu","North Island general electorates","No Children",42
"85 Years And Over","Ohariu","North Island general electorates","No Children",51
"15–19 Years","Otaki","North Island general electorates","No Children",1584
"20–24 Years","Otaki","North Island general electorates","No Children",783
"25–29 Years","Otaki","North Island general electorates","No Children",423
"30–34 Years","Otaki","North Island general electorates","No Children",291
"35–39 Years","Otaki","North Island general electorates","No Children",252
"40–44 Years","Otaki","North Island general electorates","No Children",327
"45–49 Years","Otaki","North Island general electorates","No Children",345
"50–54 Years","Otaki","North Island general electorates","No Children",357
"55–59 Years","Otaki","North Island general electorates","No Children",288
"60–64 Years","Otaki","North Island general electorates","No Children",270
"65–69 Years","Otaki","North Island general electorates","No Children",240
"70–74 Years","Otaki","North Island general electorates","No Children",192
"75–79 Years","Otaki","North Island general electorates","No Children",114
"80–84 Years","Otaki","North Island general electorates","No Children",132
"85 Years And Over","Otaki","North Island general electorates","No Children",138
"15–19 Years","Pakuranga","North Island general electorates","No Children",2151
"20–24 Years","Pakuranga","North Island general electorates","No Children",1587
"25–29 Years","Pakuranga","North Island general electorates","No Children",1065
"30–34 Years","Pakuranga","North Island general electorates","No Children",609
"35–39 Years","Pakuranga","North Island general electorates","No Children",363
"40–44 Years","Pakuranga","North Island general electorates","No Children",297
"45–49 Years","Pakuranga","North Island general electorates","No Children",243
"50–54 Years","Pakuranga","North Island general electorates","No Children",222
"55–59 Years","Pakuranga","North Island general electorates","No Children",165
"60–64 Years","Pakuranga","North Island general electorates","No Children",126
"65–69 Years","Pakuranga","North Island general electorates","No Children",108
"70–74 Years","Pakuranga","North Island general electorates","No Children",78
"75–79 Years","Pakuranga","North Island general electorates","No Children",36
"80–84 Years","Pakuranga","North Island general electorates","No Children",45
"85 Years And Over","Pakuranga","North Island general electorates","No Children",66
"15–19 Years","Palmerston North","North Island general electorates","No Children",2331
"20–24 Years","Palmerston North","North Island general electorates","No Children",2646
"25–29 Years","Palmerston North","North Island general electorates","No Children",1302
"30–34 Years","Palmerston North","North Island general electorates","No Children",717
"35–39 Years","Palmerston North","North Island general electorates","No Children",408
"40–44 Years","Palmerston North","North Island general electorates","No Children",312
"45–49 Years","Palmerston North","North Island general electorates","No Children",276
"50–54 Years","Palmerston North","North Island general electorates","No Children",282
"55–59 Years","Palmerston North","North Island general electorates","No Children",204
"60–64 Years","Palmerston North","North Island general electorates","No Children",168
"65–69 Years","Palmerston North","North Island general electorates","No Children",129
"70–74 Years","Palmerston North","North Island general electorates","No Children",111
"75–79 Years","Palmerston North","North Island general electorates","No Children",69
"80–84 Years","Palmerston North","North Island general electorates","No Children",57
"85 Years And Over","Palmerston North","North Island general electorates","No Children",78
"15–19 Years","Papakura","North Island general electorates","No Children",2226
"20–24 Years","Papakura","North Island general electorates","No Children",1641
"25–29 Years","Papakura","North Island general electorates","No Children",1056
"30–34 Years","Papakura","North Island general electorates","No Children",576
"35–39 Years","Papakura","North Island general electorates","No Children",396
"40–44 Years","Papakura","North Island general electorates","No Children",378
"45–49 Years","Papakura","North Island general electorates","No Children",318
"50–54 Years","Papakura","North Island general electorates","No Children",294
"55–59 Years","Papakura","North Island general electorates","No Children",222
"60–64 Years","Papakura","North Island general electorates","No Children",126
"65–69 Years","Papakura","North Island general electorates","No Children",87
"70–74 Years","Papakura","North Island general electorates","No Children",69
"75–79 Years","Papakura","North Island general electorates","No Children",48
"80–84 Years","Papakura","North Island general electorates","No Children",36
"85 Years And Over","Papakura","North Island general electorates","No Children",33
"15–19 Years","Rangitikei","North Island general electorates","No Children",2214
"20–24 Years","Rangitikei","North Island general electorates","No Children",1206
"25–29 Years","Rangitikei","North Island general electorates","No Children",720
"30–34 Years","Rangitikei","North Island general electorates","No Children",420
"35–39 Years","Rangitikei","North Island general electorates","No Children",300
"40–44 Years","Rangitikei","North Island general electorates","No Children",309
"45–49 Years","Rangitikei","North Island general electorates","No Children",312
"50–54 Years","Rangitikei","North Island general electorates","No Children",300
"55–59 Years","Rangitikei","North Island general electorates","No Children",222
"60–64 Years","Rangitikei","North Island general electorates","No Children",144
"65–69 Years","Rangitikei","North Island general electorates","No Children",108
"70–74 Years","Rangitikei","North Island general electorates","No Children",81
"75–79 Years","Rangitikei","North Island general electorates","No Children",48
"80–84 Years","Rangitikei","North Island general electorates","No Children",33
"85 Years And Over","Rangitikei","North Island general electorates","No Children",39
"15–19 Years","Rimutaka","North Island general electorates","No Children",1995
"20–24 Years","Rimutaka","North Island general electorates","No Children",1347
"25–29 Years","Rimutaka","North Island general electorates","No Children",900
"30–34 Years","Rimutaka","North Island general electorates","No Children",579
"35–39 Years","Rimutaka","North Island general electorates","No Children",441
"40–44 Years","Rimutaka","North Island general electorates","No Children",405
"45–49 Years","Rimutaka","North Island general electorates","No Children",366
"50–54 Years","Rimutaka","North Island general electorates","No Children",339
"55–59 Years","Rimutaka","North Island general electorates","No Children",192
"60–64 Years","Rimutaka","North Island general electorates","No Children",150
"65–69 Years","Rimutaka","North Island general electorates","No Children",105
"70–74 Years","Rimutaka","North Island general electorates","No Children",84
"75–79 Years","Rimutaka","North Island general electorates","No Children",87
"80–84 Years","Rimutaka","North Island general electorates","No Children",72
