"level0","level1","Number of motor vehicles","count"
"Helensville","North Island general electorates","One Motor Vehicle",9186
"Hunua","North Island general electorates","One Motor Vehicle",12129
"Hutt South","North Island general electorates","One Motor Vehicle",23076
"Kelston","North Island general electorates","One Motor Vehicle",18183
"Mana","North Island general electorates","One Motor Vehicle",21792
"Mangere","North Island general electorates","One Motor Vehicle",16242
"Manukau East","North Island general electorates","One Motor Vehicle",18384
"Manurewa","North Island general electorates","One Motor Vehicle",18537
"Maungakiekie","North Island general electorates","One Motor Vehicle",19791
"Mt Albert","North Island general electorates","One Motor Vehicle",18339
"Mt Roskill","North Island general electorates","One Motor Vehicle",16563
"Napier","North Island general electorates","One Motor Vehicle",21942
"New Lynn","North Island general electorates","One Motor Vehicle",16158
"New Plymouth","North Island general electorates","One Motor Vehicle",20457
"North Shore","North Island general electorates","One Motor Vehicle",16854
"Northcote","North Island general electorates","One Motor Vehicle",16338
"Northland","North Island general electorates","One Motor Vehicle",25527
"Ohariu","North Island general electorates","One Motor Vehicle",21807
"Otaki","North Island general electorates","One Motor Vehicle",22524
"Pakuranga","North Island general electorates","One Motor Vehicle",12636
"Palmerston North","North Island general electorates","One Motor Vehicle",22881
"Papakura","North Island general electorates","One Motor Vehicle",16644
"Rangitikei","North Island general electorates","One Motor Vehicle",17970
"Rimutaka","North Island general electorates","One Motor Vehicle",22656
"Rodney","North Island general electorates","One Motor Vehicle",15396
"Rongotai","North Island general electorates","One Motor Vehicle",26565
"Rotorua","North Island general electorates","One Motor Vehicle",22977
"Tamaki","North Island general electorates","One Motor Vehicle",13551
"Taranaki-King Country","North Island general electorates","One Motor Vehicle",16062
"Taupo","North Island general electorates","One Motor Vehicle",21780
"Tauranga","North Island general electorates","One Motor Vehicle",20004
"Te Atatu","North Island general electorates","One Motor Vehicle",18351
"Tukituki","North Island general electorates","One Motor Vehicle",20472
"Upper Harbour","North Island general electorates","One Motor Vehicle",14319
"Waikato","North Island general electorates","One Motor Vehicle",17514
"Wairarapa","North Island general electorates","One Motor Vehicle",20049
"Wellington Central","North Island general electorates","One Motor Vehicle",24831
"Whanganui","North Island general electorates","One Motor Vehicle",23610
"Whangarei","North Island general electorates","One Motor Vehicle",21711
"Christchurch Central","South Island general electorates","One Motor Vehicle",20544
"Christchurch East","South Island general electorates","One Motor Vehicle",17271
"Clutha-Southland","South Island general electorates","One Motor Vehicle",15609
"Dunedin North","South Island general electorates","One Motor Vehicle",19248
"Dunedin South","South Island general electorates","One Motor Vehicle",17721
"Ilam","South Island general electorates","One Motor Vehicle",15024
"Invercargill","South Island general electorates","One Motor Vehicle",18141
"Kaikoura","South Island general electorates","One Motor Vehicle",15957
"Nelson","South Island general electorates","One Motor Vehicle",20148
"Port Hills","South Island general electorates","One Motor Vehicle",15408
"Rangitata","South Island general electorates","One Motor Vehicle",17910
"Selwyn","South Island general electorates","One Motor Vehicle",9141
"Waimakariri","South Island general electorates","One Motor Vehicle",11964
"Waitaki","South Island general electorates","One Motor Vehicle",16281
"West Coast-Tasman","South Island general electorates","One Motor Vehicle",16926
"Wigram","South Island general electorates","One Motor Vehicle",16950
"Area Outside General Electorate","South Island general electorates","One Motor Vehicle",NA
"Auckland Central","North Island general electorates","Two Motor Vehicles",13038
"Bay of Plenty","North Island general electorates","Two Motor Vehicles",29778
"Botany","North Island general electorates","Two Motor Vehicles",29835
"Coromandel","North Island general electorates","Two Motor Vehicles",27207
"East Coast","North Island general electorates","Two Motor Vehicles",34863
"East Coast Bays","North Island general electorates","Two Motor Vehicles",27309
"Epsom","North Island general electorates","Two Motor Vehicles",25296
"Hamilton East","North Island general electorates","Two Motor Vehicles",27738
"Hamilton West","North Island general electorates","Two Motor Vehicles",27486
"Helensville","North Island general electorates","Two Motor Vehicles",26139
"Hunua","North Island general electorates","Two Motor Vehicles",28344
"Hutt South","North Island general electorates","Two Motor Vehicles",26799
"Kelston","North Island general electorates","Two Motor Vehicles",24396
"Mana","North Island general electorates","Two Motor Vehicles",26796
"Mangere","North Island general electorates","Two Motor Vehicles",22011
"Manukau East","North Island general electorates","Two Motor Vehicles",21282
"Manurewa","North Island general electorates","Two Motor Vehicles",24705
"Maungakiekie","North Island general electorates","Two Motor Vehicles",25809
"Mt Albert","North Island general electorates","Two Motor Vehicles",25932
"Mt Roskill","North Island general electorates","Two Motor Vehicles",24840
"Napier","North Island general electorates","Two Motor Vehicles",28389
"New Lynn","North Island general electorates","Two Motor Vehicles",25026
"New Plymouth","North Island general electorates","Two Motor Vehicles",28575
"North Shore","North Island general electorates","Two Motor Vehicles",28536
"Northcote","North Island general electorates","Two Motor Vehicles",28428
"Northland","North Island general electorates","Two Motor Vehicles",31800
"Ohariu","North Island general electorates","Two Motor Vehicles",25494
"Otaki","North Island general electorates","Two Motor Vehicles",23481
"Pakuranga","North Island general electorates","Two Motor Vehicles",28692
"Palmerston North","North Island general electorates","Two Motor Vehicles",24366
"Papakura","North Island general electorates","Two Motor Vehicles",28167
"Rangitikei","North Island general electorates","Two Motor Vehicles",28908
"Rimutaka","North Island general electorates","Two Motor Vehicles",25635
"Rodney","North Island general electorates","Two Motor Vehicles",27924
"Rongotai","North Island general electorates","Two Motor Vehicles",20307
"Rotorua","North Island general electorates","Two Motor Vehicles",28992
"Tamaki","North Island general electorates","Two Motor Vehicles",27375
"Taranaki-King Country","North Island general electorates","Two Motor Vehicles",29703
"Taupo","North Island general electorates","Two Motor Vehicles",30747
"Tauranga","North Island general electorates","Two Motor Vehicles",26508
"Te Atatu","North Island general electorates","Two Motor Vehicles",26877
"Tukituki","North Island general electorates","Two Motor Vehicles",29202
"Upper Harbour","North Island general electorates","Two Motor Vehicles",28947
"Waikato","North Island general electorates","Two Motor Vehicles",30834
"Wairarapa","North Island general electorates","Two Motor Vehicles",27171
"Wellington Central","North Island general electorates","Two Motor Vehicles",15327
"Whanganui","North Island general electorates","Two Motor Vehicles",26961
"Whangarei","North Island general electorates","Two Motor Vehicles",28611
"Christchurch Central","South Island general electorates","Two Motor Vehicles",23085
"Christchurch East","South Island general electorates","Two Motor Vehicles",25590
"Clutha-Southland","South Island general electorates","Two Motor Vehicles",27606
"Dunedin North","South Island general electorates","Two Motor Vehicles",20178
"Dunedin South","South Island general electorates","Two Motor Vehicles",24402
"Ilam","South Island general electorates","Two Motor Vehicles",25494
"Invercargill","South Island general electorates","Two Motor Vehicles",25629
"Kaikoura","South Island general electorates","Two Motor Vehicles",27387
"Nelson","South Island general electorates","Two Motor Vehicles",25620
"Port Hills","South Island general electorates","Two Motor Vehicles",28398
"Rangitata","South Island general electorates","Two Motor Vehicles",26604
"Selwyn","South Island general electorates","Two Motor Vehicles",27081
"Waimakariri","South Island general electorates","Two Motor Vehicles",26127
"Waitaki","South Island general electorates","Two Motor Vehicles",27504
"West Coast-Tasman","South Island general electorates","Two Motor Vehicles",25665
"Wigram","South Island general electorates","Two Motor Vehicles",21921
"Area Outside General Electorate","South Island general electorates","Two Motor Vehicles",NA
"Auckland Central","North Island general electorates","Three or More Motor Vehicles",4785
"Bay of Plenty","North Island general electorates","Three or More Motor Vehicles",12363
"Botany","North Island general electorates","Three or More Motor Vehicles",19044
"Coromandel","North Island general electorates","Three or More Motor Vehicles",11124
"East Coast","North Island general electorates","Three or More Motor Vehicles",14721
"East Coast Bays","North Island general electorates","Three or More Motor Vehicles",17112
"Epsom","North Island general electorates","Three or More Motor Vehicles",13626
"Hamilton East","North Island general electorates","Three or More Motor Vehicles",13518
"Hamilton West","North Island general electorates","Three or More Motor Vehicles",12936
"Helensville","North Island general electorates","Three or More Motor Vehicles",20058
"Hunua","North Island general electorates","Three or More Motor Vehicles",18984
"Hutt South","North Island general electorates","Three or More Motor Vehicles",11388
"Kelston","North Island general electorates","Three or More Motor Vehicles",13029
"Mana","North Island general electorates","Three or More Motor Vehicles",11232
"Mangere","North Island general electorates","Three or More Motor Vehicles",17280
"Manukau East","North Island general electorates","Three or More Motor Vehicles",14001
"Manurewa","North Island general electorates","Three or More Motor Vehicles",17601
"Maungakiekie","North Island general electorates","Three or More Motor Vehicles",12141
"Mt Albert","North Island general electorates","Three or More Motor Vehicles",11727
"Mt Roskill","North Island general electorates","Three or More Motor Vehicles",13863
"Napier","North Island general electorates","Three or More Motor Vehicles",11268
"New Lynn","North Island general electorates","Three or More Motor Vehicles",13575
"New Plymouth","North Island general electorates","Three or More Motor Vehicles",11529
"North Shore","North Island general electorates","Three or More Motor Vehicles",14370
"Northcote","North Island general electorates","Three or More Motor Vehicles",14226
"Northland","North Island general electorates","Three or More Motor Vehicles",13158
"Ohariu","North Island general electorates","Three or More Motor Vehicles",8862
"Otaki","North Island general electorates","Three or More Motor Vehicles",9477
"Pakuranga","North Island general electorates","Three or More Motor Vehicles",17082
"Palmerston North","North Island general electorates","Three or More Motor Vehicles",10077
"Papakura","North Island general electorates","Three or More Motor Vehicles",19047
"Rangitikei","North Island general electorates","Three or More Motor Vehicles",13398
"Rimutaka","North Island general electorates","Three or More Motor Vehicles",10689
"Rodney","North Island general electorates","Three or More Motor Vehicles",13752
"Rongotai","North Island general electorates","Three or More Motor Vehicles",6975
"Rotorua","North Island general electorates","Three or More Motor Vehicles",13299
"Tamaki","North Island general electorates","Three or More Motor Vehicles",12672
"Taranaki-King Country","North Island general electorates","Three or More Motor Vehicles",14970
"Taupo","North Island general electorates","Three or More Motor Vehicles",12954
"Tauranga","North Island general electorates","Three or More Motor Vehicles",10287
"Te Atatu","North Island general electorates","Three or More Motor Vehicles",15000
"Tukituki","North Island general electorates","Three or More Motor Vehicles",13230
"Upper Harbour","North Island general electorates","Three or More Motor Vehicles",17787
"Waikato","North Island general electorates","Three or More Motor Vehicles",17358
"Wairarapa","North Island general electorates","Three or More Motor Vehicles",11922
"Wellington Central","North Island general electorates","Three or More Motor Vehicles",4599
"Whanganui","North Island general electorates","Three or More Motor Vehicles",10980
"Whangarei","North Island general electorates","Three or More Motor Vehicles",12153
"Christchurch Central","South Island general electorates","Three or More Motor Vehicles",10803
"Christchurch East","South Island general electorates","Three or More Motor Vehicles",13572
"Clutha-Southland","South Island general electorates","Three or More Motor Vehicles",15468
"Dunedin North","South Island general electorates","Three or More Motor Vehicles",9468
"Dunedin South","South Island general electorates","Three or More Motor Vehicles",11535
"Ilam","South Island general electorates","Three or More Motor Vehicles",14376
"Invercargill","South Island general electorates","Three or More Motor Vehicles",13017
"Kaikoura","South Island general electorates","Three or More Motor Vehicles",13314
"Nelson","South Island general electorates","Three or More Motor Vehicles",11049
"Port Hills","South Island general electorates","Three or More Motor Vehicles",14331
"Rangitata","South Island general electorates","Three or More Motor Vehicles",13437
"Selwyn","South Island general electorates","Three or More Motor Vehicles",18399
"Waimakariri","South Island general electorates","Three or More Motor Vehicles",17205
"Waitaki","South Island general electorates","Three or More Motor Vehicles",14454
"West Coast-Tasman","South Island general electorates","Three or More Motor Vehicles",12255
"Wigram","South Island general electorates","Three or More Motor Vehicles",13350
"Area Outside General Electorate","South Island general electorates","Three or More Motor Vehicles",NA
"Auckland Central","North Island general electorates","Not Elsewhere Included(3)",4275
"Bay of Plenty","North Island general electorates","Not Elsewhere Included(3)",2439
"Botany","North Island general electorates","Not Elsewhere Included(3)",2313
"Coromandel","North Island general electorates","Not Elsewhere Included(3)",2481
"East Coast","North Island general electorates","Not Elsewhere Included(3)",6663
"East Coast Bays","North Island general electorates","Not Elsewhere Included(3)",2037
"Epsom","North Island general electorates","Not Elsewhere Included(3)",2541
"Hamilton East","North Island general electorates","Not Elsewhere Included(3)",3342
"Hamilton West","North Island general electorates","Not Elsewhere Included(3)",3267
"Helensville","North Island general electorates","Not Elsewhere Included(3)",3195
"Hunua","North Island general electorates","Not Elsewhere Included(3)",2871
"Hutt South","North Island general electorates","Not Elsewhere Included(3)",2709
"Kelston","North Island general electorates","Not Elsewhere Included(3)",4155
"Mana","North Island general electorates","Not Elsewhere Included(3)",3231
"Mangere","North Island general electorates","Not Elsewhere Included(3)",5934
"Manukau East","North Island general electorates","Not Elsewhere Included(3)",5640
"Manurewa","North Island general electorates","Not Elsewhere Included(3)",6537
"Maungakiekie","North Island general electorates","Not Elsewhere Included(3)",4584
"Mt Albert","North Island general electorates","Not Elsewhere Included(3)",2808
"Mt Roskill","North Island general electorates","Not Elsewhere Included(3)",2820
"Napier","North Island general electorates","Not Elsewhere Included(3)",2991
"New Lynn","North Island general electorates","Not Elsewhere Included(3)",3156
"New Plymouth","North Island general electorates","Not Elsewhere Included(3)",2499
"North Shore","North Island general electorates","Not Elsewhere Included(3)",1770
"Northcote","North Island general electorates","Not Elsewhere Included(3)",2628
"Northland","North Island general electorates","Not Elsewhere Included(3)",7020
"Ohariu","North Island general electorates","Not Elsewhere Included(3)",1614
"Otaki","North Island general electorates","Not Elsewhere Included(3)",2538
"Pakuranga","North Island general electorates","Not Elsewhere Included(3)",1776
"Palmerston North","North Island general electorates","Not Elsewhere Included(3)",2895
"Papakura","North Island general electorates","Not Elsewhere Included(3)",4578
"Rangitikei","North Island general electorates","Not Elsewhere Included(3)",2034
"Rimutaka","North Island general electorates","Not Elsewhere Included(3)",3171
"Rodney","North Island general electorates","Not Elsewhere Included(3)",2271
"Rongotai","North Island general electorates","Not Elsewhere Included(3)",2775
"Rotorua","North Island general electorates","Not Elsewhere Included(3)",5547
"Tamaki","North Island general electorates","Not Elsewhere Included(3)",3171
"Taranaki-King Country","North Island general electorates","Not Elsewhere Included(3)",3078
"Taupo","North Island general electorates","Not Elsewhere Included(3)",3540
"Tauranga","North Island general electorates","Not Elsewhere Included(3)",2370
"Te Atatu","North Island general electorates","Not Elsewhere Included(3)",4077
"Tukituki","North Island general electorates","Not Elsewhere Included(3)",3771
"Upper Harbour","North Island general electorates","Not Elsewhere Included(3)",3384
"Waikato","North Island general electorates","Not Elsewhere Included(3)",3570
"Wairarapa","North Island general electorates","Not Elsewhere Included(3)",2442
"Wellington Central","North Island general electorates","Not Elsewhere Included(3)",2487
"Whanganui","North Island general electorates","Not Elsewhere Included(3)",3474
"Whangarei","North Island general electorates","Not Elsewhere Included(3)",4413
"Christchurch Central","South Island general electorates","Not Elsewhere Included(3)",2856
"Christchurch East","South Island general electorates","Not Elsewhere Included(3)",3222
"Clutha-Southland","South Island general electorates","Not Elsewhere Included(3)",2649
"Dunedin North","South Island general electorates","Not Elsewhere Included(3)",2781
"Dunedin South","South Island general electorates","Not Elsewhere Included(3)",1860
"Ilam","South Island general electorates","Not Elsewhere Included(3)",1365
"Invercargill","South Island general electorates","Not Elsewhere Included(3)",2244
"Kaikoura","South Island general electorates","Not Elsewhere Included(3)",2265
"Nelson","South Island general electorates","Not Elsewhere Included(3)",1728
"Port Hills","South Island general electorates","Not Elsewhere Included(3)",1995
"Rangitata","South Island general electorates","Not Elsewhere Included(3)",1746
"Selwyn","South Island general electorates","Not Elsewhere Included(3)",1599
"Waimakariri","South Island general electorates","Not Elsewhere Included(3)",1515
"Waitaki","South Island general electorates","Not Elsewhere Included(3)",2244
"West Coast-Tasman","South Island general electorates","Not Elsewhere Included(3)",2919
"Wigram","South Island general electorates","Not Elsewhere Included(3)",2622
"Area Outside General Electorate","South Island general electorates","Not Elsewhere Included(3)",NA
